Acringe,,Richard,,fl 1577,1577,,Churchwarden of Haughton Le Skerne,,"Register 31, fol. 33 v",,? Richard; R. as written,
Adamson,,William,,fl 1577,1577,,Churchwarden of Auckland St Andrew,,"Register 31, fol. 33 v",,Perhaps the William Addamson whose probate bond was dated 1587 (North East Inheritance database),
Addison,,James,,fl 1577,1577,,Churchwarden of Escomb,,"Register 31, fol. 33 v",Adson,,
Addy,,Bartholomew,,fl 1577,1577,,? Parishioner of Haughton Le Skerne,,"Register 31, fol. 33 v",,,
Ainsley,,Bartholomew,,d 1588,1577,,Churchwarden of Egglescliffe,,"Register 31, fol. 32 v",Hainsley,"Will of Bartholomewe Aynsleye, husbandman of Aislabie, Egglescliffe, made and ?proved in 1588 (1587 given here) (North East Inheritance database)",
Ainsley,,William,,fl 1577,1577,,Churchwarden of Egglescliffe,,"Register 31, fol. 32 v",,,
Albon,,William,,fl 1577,1577,,Churchwarden of Hebburn,,"Register 31, fol. 30 r",Awban,,
Albon,,George,,fl 1577,1577,,Churchwarden of Hebburn,,"Register 31, fol. 30 r",Awban,,
Alder,,Thomas,,fl 1577,1577,,Churchwarden of Longframlington,,"Register 31, fol. 31 r",,,
Alder,,William,,fl 1577,1577,,Churchwarden of Longframlington,,"Register 31, fol. 31 r",,,
Alder,,John,,fl 1577,1577,,? Churchwarden of Alnwick,,"Register 31, fol. 31 v",,,
Alder,,Thomas,,fl 1577,1577,,? Churchwarden of Longframlington,,"Register 31, fol. 31 v",,,
Alder,,William,,fl 1577,1577,,? Churchwarden of Longframlington,,"Register 31, fol. 31 v",,,
Aldred,,William,,d 1628,1569-1628,,Rector of Colwick,,CCEd Person ID: 112897,,"Vicar of Ruddington, 1572-1573",
Allaby,,James,,d ? 1613,1592-1613,,Rector of Fledborough,,CCEd Person ID: 112960,,,
Allanson,,John,,d 1600,1564-1600,,Vicar of Tuxford,,CCEd Person ID: 112957,,"Vicar of Egmanton, 1571-1578; Rector of Treswell, West Moiety, 1578-1587; Rector of Trowell, Second Moiety, 1600",
Allanson,,Christopher,,fl 1577,1577,,? Churchwarden of Eggleston,,"Register 31, fol. 33 r",,,
Allerton,,John,,d 1620,1611-1620,,Rector of Long Marston,,CCEd Person ID: 113053,,,
Allerton,,William,,d ? 1585,1559-c 1585,,Rector of Eastwood,,CCEd Person ID: 116971,,,
Allison,,George,,fl 1577,1577,,? Churchwarden of Belford,,"Register 31, fol. 31 v",,,
Alured,,Benjamin,,d ? 1628,1625-1628,,Rector of Rise,,CCEd Person ID: 113083,,"Vicar of Flintham, 1620-1622",
Amars,,William,,fl 1577,1577,,? Churchwarden of Chatton,,"Register 31, fol. 31 r",,Presumably churchwarden,
Anderson,,Cuthbert,,fl 1577,1577,,Curate of Houghton Le Spring,,CCEd Person ID: 113093,,,
Anderson,,Clement,,fl 1577,1577,,Churchwarden of Ponteland,,"Register 31, fol. 29 r",,,
Anderson,,Richard,,fl 1577,1577,,Churchwarden of Ponteland,,"Register 31, fol. 29 r",Andreson,,
Anderson,,Andrew,,fl 1577,1577,,Churchwarden of Ponteland,,"Register 31, fol. 29 r",,,
Andrew,,Robert,,fl 1577,1577,,Churchwarden of Whickham,,"Register 31, fol. 30 v",Andrewe,,
Angus,,David,,fl 1577,1577,,Churchwarden of Slaley,,"Register 31, fol. 29 v",,,
Appleby,,Philip,,fl 1577,1577,,Churchwarden of Middleton in Teesdale,,"Register 31, fol. 33 r",,,
Appleby,,John,,fl 1577,1577,,? Parishioner of Winston,,"Register 31, fol. 33 v",,"Perhaps the John Applebee of Barefoote on the More, Winston, whose will was made in 1605 and proved in 1606 (North East Inheritance database)",
Appleton,,Henry,,d ? 1641,0000-1641,,Over Poppleton,,Register 32,,,
Appleton,,Robert,,,,,Bramham,,Register 32,,"Ck date of probate, 11 Aug 1716, and register",
Armstrong,,Hugh,,d 1642,1633-1642,,Rector of Rempstone,,CCEd Person ID: 113131,,"Rector of Thorpe in the Glebe, 1625-1642; Curate of East Leake, 1625; Preacher throughout the diocese of York, 1638",
Arne,,Nicholas,,fl 1577,1577,,Curate of Cornhill on Tweed,,CCEd Person ID: 113139,,Scotus',
Arnott,,George,,fl 1577,1577,,Curate of Branxton,,"Register 31, fol. 31 r",Arnet,Scotus',
Arrowsmith,,Anthony,,fl 1577,1577,,? Parishioner of Aycliffe,,"Register 31, fol. 33 r",,,
Ashbold,,Richard,,fl 1577,1577,,of Cornhill on Tweed,,"Register 31, fol. 31 r",Ashbolde,Testators named Archbald in this place (North East Inheritance database),
Ashton,,Christopher,,d ? 1617,1591-1613,,Vicar of Thorney,,CCEd Person ID: 113189,,,
Ashton,,William,,d ? 1613,1577,,Vicar of Bywell St Andrew,,CCEd Person ID: Not found,,"CCEd: Not found; Will dated 1612, proved 1613 (North East Inheritance database)",
Askham,,Andrew,,fl 1577,1577,,? Churchwarden of Bedlington,,"Register 31, fol. 30 v",Ashkam,"Presumably churchwarden, but not named as such",
Askwith,,John,,d 1578,1565-1578,,Rector of Hawnby,,CCEd Person ID: 113197,,"Vicar of Kirkby Fleetham, 1571-1576; Rector of Scawton, 1572-1575; Rector of Oswaldkirk, 1575-1578",
Aslaby,,George,,d ? 1595,1565-1595,,Vicar of Tickhill,,CCEd Person ID: 67358,,"Rector of Benefield, 1560-1577",
Aspden,,Miles,,d ? 1612,1609-1612,,Rector of Dinnington,,CCEd Person ID: 113215,Arspden,,
Aspinall,,Miles,,d ? 1578,,,"of Great Mereley, near Clitheroe",,Register 31,Haspinall,,
Aston,,John,,d 1614,1608-1614,,Rector of Plumtree,,CCEd Person ID: 113232,,"Vicar of Plumtree, 1610",
Atcheson,,John,,fl 1577,1577,,Churchwarden of Mitford,,"Register 31, fol. 30 v",,,
Atherton,,John,,d 1598,1572-1598,,Rector of Gilling,,CCEd Person ID: 113226,,"Vicar of Lastingham, 1570-1598",
Athey,,Robert,,fl 1577,1577,,Churchwarden of Lowick,,"Register 31, fol. 31 r",Athy,,
Atkinson,,William,,d ? 1593,1566-1593,,Rector of Hickling,,CCEd Person ID: 113242,,"Vicar of Wighill, 1562-1567",
Atkinson,,John,,fl 1577,1577,,Churchwarden of Ebchester,,"Register 31, fol. 27 r",,,
Atkinson,,John,,fl 1577,1577,,Churchwarden of Sadberge,,"Register 31, fol. 33 v",,,
Bacon,,Henry,,d ? 1623,1587-1623,,Rector of Clifton,,CCEd Person ID: 113269,,,
Bacon,,Roger,,d ? 1628,1587-1628,,Rector of Winthorpe,,CCEd Person ID: 113270,,,
Bainbridge,,Daniel,,d 1629,1610-1629,,Rector of Wickersley,,CCEd Person ID: 137678,Baynebrigg,,
Bainbridge,,Robert,,fl 1577,1577,,Churchwarden of Whitburn,,"Register 31, fol. 26 v",Bainbrigge,,
Bainbridge,,Henry,,fl 1577,1577,,? Churchwarden of Eggleston,,"Register 31, fol. 33 r",,,
Baines,,Giles,,d ? 1589,1573-1589,,Vicar of North Ferriby,,CCEd Person ID: 113386,,,
Baines,,William,,fl 1577,1577,,? Parishioner of Auckland St Andrew,,"Register 31, fol. 33 v",,"Perhaps the William Baines, gentleman, of Midleston, Auckland St Andrew, whose will was dated in 1584 and proved in 1585 (North East Inheritance database)",
Baker,,Robert,,fl 1577,1577,,Vicar of Norham,,CCEd Person ID: 113432,,,
Baker,,Edward,,d ? 1587,c 1583-1587,,Vicar of Burstwick,,CCEd Person ID: 29077,,"Rector of Winestead, 1580; Vicar of Humbleton with Elsternwick, 1581-1584",
Baker,,William,,fl 1577,1577,,Churchwarden of Durham St Mary le Bow,,"Register 31, fol. 27 r",,,
Balderston,,William,,d 1612,1591-1612,,Rector of Nuttall,,CCEd Person ID: 113396,,"Vicar of Swineshead, 1585",
Bales,,Samuel,,d 1620,1612-1620,,Vicar of Yedingham,,CCEd Person ID: 113291,Bayles,,
Bales,,Christopher,,after 1617,1576-1612,,Rector of Nunnington,,CCEd Person ID: 20221,Bayles,,
Baley,,Thomas,,d 1636,,,"of Hive, Yeoman",,Register 32,,"Buried at Eastrington, 17 April 1636",
Bampton,,John,,fl 1577,1577,,? Churchwarden of Lesbury,,"Register 31, fol. 31 v",,,
Bankhouse,,Richard,,fl 1577,1577,,"Minor Canon, Durham Cathedral",,Register 31,Bankhous; Blankhous,,
Banks,,Edward,,fl 1577,1577,,Rector of Wolsingham,,CCEd Person ID: 113507,Bankes,,
Banks,,Thomas,,d 1616,1591-1616,,Rector of Slaidburn,,CCEd Person ID: 113510,Bancks,,
Banks,,Edward,,fl 1577,1577,,Rector of Long Newton,,CCEd Person ID: 114166,Bankes,(Binkes in CCEd),
Barber,,Robert,,d ? 1590,1571-1590,,Vicar of Conisbrough,,CCEd Person ID: 113423,,"Curate of Coatham Mundeville, 1577",
Barker,,George,,fl 1577,1577,,Churchwarden of Newcastle St Andrew,,"Register 31, fol. 29 r",,,
Barker,,Robert,,fl 1577,1577,,Churchwarden of Long Benton,,"Register 31, fol. 29 r",,,
Barker,,George,,fl 1577,1577,,? Churchwarden of Shilbottle,,"Register 31, fol. 31 v",,,
Barnard,,George,,d 1639,1616-1639,,"Prebendary of Normanton, Southwell Minster",,CCEd Person ID: 113722,Barnerd,"Rector of West Heslerton, 1615-1632; Rector of Cowlam, 1617-1632",
Barnes,,George,,d 1617,1602-1617,,Rector of Middleton on the Wolds,,CCEd Person ID: 113728,,,
Barnes,,James,,fl 1577,1577,,Churchwarden of Durham St Mary the Less,,"Register 31, fol. 27 r",,,
Barnes,,Ralph,,fl 1577,1577,,Churchwarden of Barnard Castle,,"Register 31, fol. 33 v",,,
Barnsley,,George,,d ? 1578,1566-1578,,Vicar of Tankersley,,CCEd Person ID: 113730,Barnesleye,CCEd gives Rector,
Baron,,Christopher,,fl 1577,1577,,? Churchwarden of Castle Eden,,"Register 31, fol. 27 r",,,
Barras,,Anthony,,fl 1577,1577,,Churchwarden of Whickham,,"Register 31, fol. 30 v",Barris,Perhaps the Anthony Barras yeoman of Whickham whose will was made in Nov 1594 and proved in Jan 1595 (North East Inheritance database),
Barrell,,Richard,,fl 1577,1577,,Churchwarden of Escomb,,"Register 31, fol. 33 v",,? Richard; R. as written,
Barrow,,Francis,,d 1638,1637-1638,,Rector of Langar,,CCEd Person ID: 115223,Barrough,"Rector of Woolsthorpe with Stainworth, 1621-1634",
Barrow,,Anthony,,fl 1577-1584,1577,,Curate of Bellingham,,CCEd Person ID: 115232,Barroe,,
Barton,,Brian,,d ? 1627,1578-1627,,Rector of South Collingham,,CCEd Person ID: 115201,,,
Barwick,,Robert,,d ? 1609,1573-1609,,Rector of Staunton,,CCEd Person ID: 122729,,"Rector of Kilvington, 1592-1609",
Barwick,,Lancelot,,d ? 1614,1582-? 1614,,Vicar of Harewood,,CCEd Person ID: 134870,,,
Basnet,,Richard,,fl 1577,1577,,Churchwarden of Haydon,,"Register 31, fol. 29 v",,,
Bate,,John,,fl 1577,1577,,Churchwarden of Bywell St Andrew,,"Register 31, fol. 29 v",,,
Battersby,,Anthony,,d ? 1618,1569-1592,,Vicar of Hooton Pagnell,,CCEd Person ID: 35609,,"Perpetual Vicar of Clapham, 1574-1589",
Batts,,John,,d 1613,1602-1613,,Perpetual Vicar of Newark,,CCEd Person ID: 113858,,,
Bawhynny,,William,,fl 1577,1577,,Curate of Kirkharle,,CCEd Person ID: 113437,Bawghymy,Name as written (Bawhynny in CCEd),
Baxter,,William,,fl 1577,1577,,Churchwarden of Tynemouth,,"Register 31, fol. 29 r",,,
Beale,,Richard,,fl 1577,1577,,Churchwarden of Kyloe,,"Register 31, fol. 31 r",Beele,,
Beard,,William,,d ? 1598,1575-1598,,Rector of Kirk Smeaton,,CCEd Person ID: 113945,,,
Beck,,James,,fl 1577,1577,,"Vicar of Ovingham; Clerk, at Heddon on the Wall",,CCEd Person ID: 113953,Becke,,
Beckbank,,John,,fl 1577,1577,,Churchwarden of Whorlton,,"Register 31, fol. 33 r",Beckbanke,,
Bee,,Richard,,fl 1577,1577,,Churchwarden of Seaham,,"Register 31, fol. 27 r",,,
Beedham,,Thomas,,d 1636,,,"of Norwell, Joiner",,,Beedam,,
Bell,,Thomas,,d ? 1620,1593-1620,,Vicar of Scalby,,CCEd Person ID: 113879,,,
Bell,,Guy,,d 1635,1626-1635,,Rector of Thormanby,,CCEd Person ID: 113967,,,
Bell,,Thomas,,d ? 1619,1611-1619,,Vicar of Felixkirk,,Register 31,,"CCEd Person ID: 113978 is for Thomas Bell, Prebendary of South Newbald, 1614-1637 and contains the entry relating to a Thomas Bell who was Vicar of Felixkirk whose will is dated 1618 and proved ? 1619, therefore that part of the entry cannot relate to the Prebendary.",
Bell,,Robert,,fl 1577,1577,,? Churchwarden of Howick,,"Register 31, fol. 31 v",,,
Bell,,George,,fl 1577,1577,,Churchwarden of Dinsdale,,"Register 31, fol. 32 v",,,
Bell,,Anthony,,fl 1577,1577,,? Parishioner of Gainford,,"Register 31, fol. 33 r",,,
Bellard,,Thomas,,d 1605,1578-1605,,Vicar of North Cave,,CCEd Person ID: 113984,,"Vicar of Conisbrough, 1591-1592",
