Abbot,,George,,1562-1633,1611-1633,,Archbishop of Canterbury,,Fasti; ODNB,,"Also Bishop of London, 1610-1611"
Bancroft,,Richard,,c 1544-1610,1604-1610,,Archbishop of Canterbury,,Fasti; ODNB,,"Also Bishop of London, 1597-1604"
Cranmer,,Thomas,,1489-1556,1533-1553,,Archbishop of Canterbury,,Fasti; ODNB,,
Laud,,William,,1573-1645,1633-1645,,Archbishop of Canterbury,,Fasti; ODNB,,"Also Bishop of London, 1628-1633"
Parker,,Matthew,,1504-1575,1559-1575,,Archbishop of Canterbury,,Fasti; ODNB,,
Whitgift,,John,,c 1530-1604,1583-1604,,Archbishop of Canterbury,,Fasti; ODNB,,"Bishop of Worcester, 1577-1583; Dean of Lincoln, 1571-1577"
Pole,,Reginald,,1500-1558,1555-1558,,Archbishop of Canterbury; Cardinal priest of Santa Maria in Cosmedin,,Fasti; ODNB,,
Aldridge,,Robert,,c 1488-1556,1537-1556,,Bishop of Carlisle,,Fasti; ODNB,Aldrich (ODNB),
Best,,John,,0000-1570,1561-1570,,Bishop of Carlisle,,Fasti,,
Gilpin,,Bernard,,1516-1584,1560-1560,,Bishop of Carlisle,,Fasti; ODNB,,
Milborne,,Richard,,0000-1624,1621-1624,,Bishop of Carlisle,,Fasti; ODNB,Milbourne (ODNB),
Oglethorpe,,Owen,,c 1502-1559,1557-1559,,Bishop of Carlisle,,Fasti; ODNB,,
Potter,,Barnabas,,c 1577-1642,1629-1642,,Bishop of Carlisle,,Fasti; ODNB,Barnaby (ODNB),
Robinson,,Henry,,c 1551-1616,1598-1616,,Bishop of Carlisle,,Fasti; ODNB,,
Senhouse,,Richard,,0000-1626,1624-1626,,Bishop of Carlisle,,Fasti,,
Snowden,,Robert,,0000-1621,1616-1621,,Bishop of Carlisle,,Fasti; ODNB,Snoden (ODNB),
Usher,,James,,1581-1656,1642-1656,,Bishop of Carlisle,,Fasti,Ussher (ODNB),"held in commendam with Archbishopric of Armagh, 1625-1656"
White,,Francis,,c 1563-1638,1626-1629,,Bishop of Carlisle,,Fasti; ODNB,,
Bellot,,Hugh,,1542-1596,1595-1596,,Bishop of Chester,,Fasti; ODNB,,
Birde,,John,,0000-0000,1541-1554,,Bishop of Chester,,Fasti; ODNB,Bird (ODNB),Order of Carmelites; also Bishop of Bangor before 1541
Bridgeman,,John,,c 1577-c 1652,1619-1652,,Bishop of Chester,,Fasti; ODNB,,
Cotes,,George,,0000-0000,1554-1556,,Bishop of Chester,,Fasti,,
Downham,,William,,c 1510-1577,1561-1577,,Bishop of Chester,,Fasti; ODNB,,
Lloyd,,George,,c 1560-1615,1605-1615,,Bishop of Chester,,Fasti; ODNB,,"Also Bishop of Sodor and Man, 1600-1605"
Massie,,Gerard,,0000-1616,1616-1616,,Bishop of Chester,,Fasti,,Died before consecration
Scott,,Cuthbert,,0000-1565,1556-1559,,Bishop of Chester,,Fasti; ODNB,,
Howson,,John,,c 1556-1632,1628-1632,,Bishop of Durham,,Fasti,,
James,,William,,1542-1617,1606-1617,,Bishop of Durham,,Fasti; ODNB,,
Morton,,Thomas,,c 1564-1659,1632-1659,,Bishop of Durham,,Fasti; ODNB,,"Also Prebendary of Husthwaite, 1610-1632; Bishop of Chester, 1616-1618; Bishop of Coventry and Lichfield, 1618-1632"
Pilkington,,James,,1520-1576,1561-1576,,Bishop of Durham,,Fasti; ODNB,,
Tunstall,,Cuthbert,,1474-1559,1530-1559,,Bishop of Durham,,Fasti; ODNB,,"Also President of the Council of the North, 1530-1533; 1537-1538"
