AB KETTLEBY,ecclesiastical parish,21,
ABBEY WITHIN,ecclesiastical parish,7,
ABERFORD,ecclesiastical parish,43,
ABY WITH GREENFIELD,ecclesiastical parish,22,
ACASTER MALBIS,ecclesiastical parish,43,
ACKLAM,ecclesiastical parish,41,
ACKWORTH,ecclesiastical parish,43,
ACLE,ecclesiastical parish,25,
ACOMB,ecclesiastical parish,43,
ACTON,ecclesiastical parish,5,
ADDINGHAM,ecclesiastical parish,7,
ADDINGHAM,ecclesiastical parish,43,
ADEL,ecclesiastical parish,43,
ADLINGFLEET,ecclesiastical parish,43,
ADWICK LE STREET,ecclesiastical parish,43,
ADWICK UPON DEARNE,ecclesiastical parish,43,
AIKTON,ecclesiastical parish,7,
AINDERBY STEEPLE,ecclesiastical parish,42,
AINSTABLE,ecclesiastical parish,7,
ALDBOROUGH,ecclesiastical parish,42,
ALDBOROUGH,ecclesiastical parish,43,
ALDBROUGH,ecclesiastical parish,41,
ALDERLEY,ecclesiastical parish,5,
ALDERMINSTER,ecclesiastical parish,40,
ALDFORD,ecclesiastical parish,5,
ALFORD,ecclesiastical parish,22,
ALFRETON,ecclesiastical parish,8,
ALL SAINTS,ecclesiastical parish,27,
ALLENDALE,ecclesiastical parish,27,
ALLERSTON,ecclesiastical parish,42,
ALLERTON MAULEVERER,ecclesiastical parish,43,
ALLEXTON,ecclesiastical parish,21,
ALLHALLOWS,ecclesiastical parish,7,
ALLHALLOWS,ecclesiastical parish,23,
ALLHALLOWS BARKING,ecclesiastical parish,23,
ALLHALLOWS THE GREAT,ecclesiastical parish,23,
ALLHALLOWS THE LESS,ecclesiastical parish,23,
ALMONDBURY,ecclesiastical parish,43,
ALNE,ecclesiastical parish,42,
ALNHAM,ecclesiastical parish,27,
ALNWICK,ecclesiastical parish,27,
ALSTON,ecclesiastical parish,7,
ALTCAR,ecclesiastical parish,20,
ALTHORPE,ecclesiastical parish,22,
ALVERSTOKE,ecclesiastical parish,14,
ALWINTON,ecclesiastical parish,27,
AMPLEFORTH,ecclesiastical parish,42,
ANCASTER,ecclesiastical parish,22,
ANDOVER,ecclesiastical parish,14,
ANDREAS,ecclesiastical parish,45,
ANNESLEY,ecclesiastical parish,28,
ANSTON CUM MEMBRIS,ecclesiastical parish,43,
ANWICK,ecclesiastical parish,22,
APESTHORPE,ecclesiastical parish,28,
APLEY,ecclesiastical parish,22,
APPLEBY,ecclesiastical parish,22,
APPLETON-LE-STREET,ecclesiastical parish,42,
ARBORY,ecclesiastical parish,45,
ARGAM,ecclesiastical parish,41,
ARKENGARTHDALE,ecclesiastical parish,42,
ARKSEY,ecclesiastical parish,43,
ARLECDON,ecclesiastical parish,7,
ARMTHORPE,ecclesiastical parish,43,
ARNCLIFFE,ecclesiastical parish,43,
ARNOLD,ecclesiastical parish,28,
ARTHURET,ecclesiastical parish,7,
ARUNDEL,ecclesiastical parish,36,
ASBY,ecclesiastical parish,38,
ASHBOURNE,ecclesiastical parish,8,
ASHBY DE LA ZOUCH,ecclesiastical parish,21,
ASHFORD,ecclesiastical parish,19,
ASHTON UNDER LYNE,ecclesiastical parish,20,
ASHTON UPON MERSEY,ecclesiastical parish,5,
ASKHAM,ecclesiastical parish,28,
ASKHAM,ecclesiastical parish,38,
ASKHAM BRYAN,ecclesiastical parish,43,
ASKHAM RICHARD,ecclesiastical parish,43,
ASKRIGG,ecclesiastical parish,42,
ASPATRIA,ecclesiastical parish,7,
ASTBURY,ecclesiastical parish,5,
ASTON,ecclesiastical parish,37,
ASTON WITH AUGHTON,ecclesiastical parish,43,
ATTENBOROUGH,ecclesiastical parish,28,
ATTERCLIFFE,ecclesiastical parish,43,
ATWICK,ecclesiastical parish,41,
AUCKLAND ST ANDREW,ecclesiastical parish,11,
