Accidents and disasters,Collapses,,"Accidents, types, A-Z; Disasters, types, A-Z; Collapses, use for buildings",,,,,,,,,,
Accidents and disasters,Falls,,Use for people,,,,,,,,,,
Accidents and disasters,Fires,,,,,,,,,,,,
Accidents and disasters,Floods,,,,,,,,,,,,
Accidents and disasters,Shipwrecks,,,,,,,,,,,,
Acts of Parliament and Statutes,Acts of Parliament,,,,,,,,,,,,
Acts of Parliament and Statutes,Statute of Provisors (1350-1),Statutes,,,,,,,,,,,
Acts of Parliament and Statutes,Statutes,Statutes of Praemunire; Statute of Provisors (1350-1),"Statutes, named, A-Z; add details in standard form",,,,,,,,,,
Acts of Parliament and Statutes,Statutes of Praemunire,Praemunire; Statutes,,,,,,,,,,,
"Administrative Units, Civil",Boroughs,,"See Organisations and Associations, Lay and Ecclesiastical, for communities of. See also Occupations, offices and status for more specific types of inhabitants, officers, etc",,,,,,,,,,
"Administrative Units, Civil",Cities,,,,,,,,,,,,
"Administrative Units, Civil",Towns,,,,,,,,,,,,
"Administrative Units, Ecclesiastical",Archdeaconries,,"Administrative Units, Ecclesiastical, A-Z",,,,,,,,,,
"Administrative Units, Ecclesiastical",Archdioceses,,,,,,,,,,,,
"Administrative Units, Ecclesiastical",Chapelries,,"See also Churches, chapels and chantries",,,,,,,,,,
"Administrative Units, Ecclesiastical",Deaneries,Rural deaneries,,,,,,,,,,,
"Administrative Units, Ecclesiastical",Dioceses,,,,,,,,,,,,
"Administrative Units, Ecclesiastical",Ecclesiastical Peculiars,Peculiars,"For eg: over which Dean and Chapter of York/Precentor of York/a rector or vicar, etc., had probate jurisdiction",,,,,,,,,,
"Administrative Units, Ecclesiastical",Extra Parochial places,Non parochial places,,,,,,,,,,,
"Administrative Units, Ecclesiastical",Lay Peculiars,Peculiars,Including Manorial Peculiars,,,,,,,,,,
"Administrative Units, Ecclesiastical",Parishes,,"See also Churches, chapels and chantries; Buildings and structures",,,,,,,,,,
"Administrative Units, Ecclesiastical",Peculiars,Ecclesiastical Peculiars; Lay Peculiars; Royal Peculiars,General,,,,,,,,,,
"Administrative Units, Ecclesiastical",Provinces,,,,,,,,,,,,
"Administrative Units, Ecclesiastical",Rectories,,"See also Benefices, portions",,,,,,,,,,
"Administrative Units, Ecclesiastical",Royal Peculiars,Peculiars,,,,,,,,,,,
"Administrative Units, Ecclesiastical",Vicarages,,,,,,,,,,,,
"Advowsons, patrons and patronage",Advowsons,,See also Benefice and Office holding,,,,,,,,,,
"Advowsons, patrons and patronage",Crown Patrons,Patrons,,,,,,,,,,,
"Advowsons, patrons and patronage",Ecclesiastical Patrons ,Patrons,,,,,,,,,,,
"Advowsons, patrons and patronage",Lay Patrons,Patrons,,,,,,,,,,,
"Advowsons, patrons and patronage",Patronage,,"See also Benefices, Presentations",,,,,,,,,,
"Advowsons, patrons and patronage",Patrons,Crown Patrons; Ecclesiastical Patrons; Lay Patrons; Religious Patrons,"See also Benefices, Presentations",,,,,,,,,,
"Advowsons, patrons and patronage",Religious Patrons,Patrons,,,,,,,,,,,
Age,Age of majority,,"See also Diseases, Health and Medicine; Women, girls and children",,,,,,,,,,
Age,Canonical age,,,,,,,,,,,,
Age,Marriageable age,,,,,,,,,,,,
Age,Old age,,,,,,,,,,,,
Agriculture and Land Use,Assarts,,"Agricultural equipment, by type, A-Z; Agricutural processes, by type, A-Z; Land used for agriculture, by type, A-Z; Crops, named, A-Z; see also Animals, fish and birds, incl game and livestock; Farming, Fishery and food production; Tithes",,,,,,,,,,
Agriculture and Land Use,Barley,,,,,,,,,,,,
Agriculture and Land Use,Beans,,,,,,,,,,,,
Agriculture and Land Use,Carts,,,,,,,,,,,,
Agriculture and Land Use,Closes,,,,,,,,,,,,
Agriculture and Land Use,Commons,,,,,,,,,,,,
Agriculture and Land Use,Corn,,,,,,,,,,,,
Agriculture and Land Use,Crops,,,,,,,,,,,,
Agriculture and Land Use,Drage,,,,,,,,,,,,
Agriculture and Land Use,Fields,,,,,,,,,,,,
Agriculture and Land Use,Flax,,,,,,,,,,,,
Agriculture and Land Use,Fleeces,,,,,,,,,,,,
Agriculture and Land Use,Gardens,,,,,,,,,,,,
Agriculture and Land Use,Garths,,,,,,,,,,,,
Agriculture and Land Use,Grass,,,,,,,,,,,,
