"Image 
",Folio,Recto/Verso,Membrane,Face/Dorse,Notes,UV,PID
Abp_Reg_01A_0001,,,,,Front cover for index (recto); Paper,,york:892130
Abp_Reg_01A_0002,,,,,Front cover for index (verso); Paper,,york:892131
Abp_Reg_01A_0003,i,r,,,Index; Paper,,york:892132
Abp_Reg_01A_0004,i,v,,,Index; Paper,,york:892133
Abp_Reg_01A_0005,ii,r,,,Index; Paper,,york:892134
Abp_Reg_01A_0006,ii,v,,,Index; Paper,,york:892135
Abp_Reg_01A_0007,iii,r,,,Index; Paper,,york:892136
Abp_Reg_01A_0008,iii,v,,,Index; Paper,,york:892137
Abp_Reg_01A_0009,,,,,Back cover for index (recto); Paper,,york:892138
Abp_Reg_01A_0010,,,,,Back cover for index (verso); Paper,,york:892139
Abp_Reg_01A_0011,,,,,Inside of cloth cover attached to top of roll,,york:892140
Abp_Reg_01A_0012,,,1,f,,,york:892141
Abp_Reg_01A_0013,,,2,f,,,york:892142
Abp_Reg_01A_0014,,,3,f,,,york:892143
Abp_Reg_01A_0015,,,4,f,,,york:892144
Abp_Reg_01A_0016,,,5,f,,,york:892145
Abp_Reg_01A_0017,,,6,f,,,york:892146
Abp_Reg_01A_0018,,,7,f,,,york:892147
Abp_Reg_01A_0019,,,8,f,,,york:892148
Abp_Reg_01A_0020,,,9,f,,,york:892149
Abp_Reg_01A_0021,,,10,f,,,york:892150
Abp_Reg_01A_0022,,,11,f,,,york:892151
Abp_Reg_01A_0023,,,12,f,,,york:892152
Abp_Reg_01A_0024,,,13,f,,,york:892153
Abp_Reg_01A_0025,,,14,f,,,york:892154
Abp_Reg_01A_0026,,,15,f,,,york:892155
Abp_Reg_01A_0027,,,16,f,,,york:892156
Abp_Reg_01A_0028,,,17,f,,,york:892157
Abp_Reg_01A_0029,,,18,f,,,york:892158
Abp_Reg_01A_0030,,,19,f,,,york:892159
Abp_Reg_01A_0031,,,20,f,,,york:892160
Abp_Reg_01A_0032,,,21,f,,,york:892161
Abp_Reg_01A_0033,,,22,f,,,york:892162
Abp_Reg_01A_0034,,,23,f,,,york:892163
Abp_Reg_01A_0035,,,24,f,,,york:892164
Abp_Reg_01A_0036,,,25,f,,,york:892165
Abp_Reg_01A_0037,,,26,f,,,york:892166
Abp_Reg_01A_0038,,,,,Outside of cloth cover attached to top of roll,,york:892167
Abp_Reg_01A_0039,,,1,d,,,york:892168
Abp_Reg_01A_0040,,,2,d,,,york:892169
Abp_Reg_01A_0041,,,3,d,,,york:892170
Abp_Reg_01A_0042,,,4,d,,,york:892171
Abp_Reg_01A_0043,,,5,d,,,york:892172
Abp_Reg_01A_0044,,,6,d,,,york:892173
Abp_Reg_01A_0045,,,7,d,,,york:892174
Abp_Reg_01A_0046,,,8,d,,,york:892175
Abp_Reg_01A_0047,,,9,d,,,york:892176
Abp_Reg_01A_0048,,,10,d,,,york:892177
Abp_Reg_01A_0049,,,11,d,,,york:892178
Abp_Reg_01A_0050,,,12,d,,,york:892179
Abp_Reg_01A_0051,,,13,d,,,york:892180
Abp_Reg_01A_0052,,,14,d,,,york:892181
Abp_Reg_01A_0053,,,15,d,,,york:892182
Abp_Reg_01A_0054,,,16,d,,,york:892183
Abp_Reg_01A_0055,,,17,d,,,york:892184
Abp_Reg_01A_0056,,,18,d,,,york:892185
Abp_Reg_01A_0057,,,19,d,,,york:892186
Abp_Reg_01A_0058,,,20,d,,,york:892187
Abp_Reg_01A_0059,,,21,d,,,york:892188
Abp_Reg_01A_0060,,,22,d,,,york:892189
Abp_Reg_01A_0061,,,23,d,,,york:892190
Abp_Reg_01A_0062,,,24,d,,,york:892191
Abp_Reg_01A_0063,,,25,d,,,york:892192
Abp_Reg_01A_0064,,,26,d,,,york:892193
Abp_Reg_01A_2000,,,,,Colour reference image,,york:892194
