"Image 
",Folio,Recto/Verso,Membrane,Face/Dorse,Notes,UV,PID
Abp_Reg_01B_0001,,,,,Front cover for index (recto); Paper,,york:892195
Abp_Reg_01B_0002,,,,,Front cover for index (verso); Paper,,york:892196
Abp_Reg_01B_0003,i,r,,,Index; Paper,,york:892197
Abp_Reg_01B_0004,i,v,,,Index; Paper,,york:892198
Abp_Reg_01B_0005,ii,r,,,Index; Paper,,york:892199
Abp_Reg_01B_0006,ii,v,,,Index; Paper,,york:892200
Abp_Reg_01B_0007,iii,r,,,Index; Paper,,york:892201
Abp_Reg_01B_0008,iii,v,,,Index; Paper,,york:892202
Abp_Reg_01B_0009,,,,,Back cover for index (recto); Paper,,york:892203
Abp_Reg_01B_0010,,,,,Back cover for index (verso); Paper,,york:892204
Abp_Reg_01B_0011,,,,,Inside of cloth cover attached to top of roll,,york:892205
Abp_Reg_01B_0012,,,1,f,,,york:892206
Abp_Reg_01B_0013,,,2,f,,,york:892207
Abp_Reg_01B_0014,,,3,f,,,york:892208
Abp_Reg_01B_0015,,,4,f,,,york:892209
Abp_Reg_01B_0016,,,5,f,,,york:892210
Abp_Reg_01B_0017,,,6,f,,,york:892211
Abp_Reg_01B_0018,,,7,f,,,york:892212
Abp_Reg_01B_0019,,,8,f,,,york:892213
Abp_Reg_01B_0020,,,9,f,,,york:892214
Abp_Reg_01B_0021,,,10,f,,,york:892215
Abp_Reg_01B_0022,,,11,f,,,york:892216
Abp_Reg_01B_0023,,,12,f,,,york:892217
Abp_Reg_01B_0024,,,13,f,,,york:892218
Abp_Reg_01B_0025,,,14,f,,,york:892219
Abp_Reg_01B_0026,,,14,f,,,york:892220
Abp_Reg_01B_0027,,,15,f,,,york:892221
Abp_Reg_01B_0028,,,16,f,,,york:892222
Abp_Reg_01B_0029,,,17,f,Index,,york:892223
Abp_Reg_01B_0030,,,18,f,Index,,york:892224
Abp_Reg_01B_0031,,,19,f,Index,,york:892225
Abp_Reg_01B_0032,,,,,Outside of cloth cover attached to top of roll,,york:892226
Abp_Reg_01B_0033,,,1,d,,,york:892227
Abp_Reg_01B_0034,,,2,d,,,york:892228
Abp_Reg_01B_0035,,,3,d,,,york:892229
Abp_Reg_01B_0036,,,4,d,,,york:892230
Abp_Reg_01B_0037,,,5,d,,,york:892231
Abp_Reg_01B_0038,,,6,d,,,york:892232
Abp_Reg_01B_0039,,,7,d,,,york:892233
Abp_Reg_01B_0040,,,8,d,,,york:892234
Abp_Reg_01B_0041,,,9,d,,,york:892235
Abp_Reg_01B_0042,,,10,d,,,york:892236
Abp_Reg_01B_0043,,,11,d,,,york:892237
Abp_Reg_01B_0044,,,12,d,,,york:892238
Abp_Reg_01B_0045,,,13,d,,,york:892239
Abp_Reg_01B_0046,,,14,d,,,york:892240
Abp_Reg_01B_0047,,,15,d,,,york:892241
Abp_Reg_01B_0048,,,16,d,,,york:892242
Abp_Reg_01B_0049,,,17,d,,,york:892243
Abp_Reg_01B_0050,,,18,d,,,york:892244
Abp_Reg_01B_0051,,,19,d,,,york:892245
Abp_Reg_01B_2000,,,,,Colour reference image,,york:892246
