"Image 
",Folio,Recto/Verso,Notes,UV,PID
Abp_Reg_07_0001,,,Outside of front board,,york:914128
Abp_Reg_07_0002,,,Pastedown on inside of front board,,york:914129
Abp_Reg_07_0003,,,Front flyleaf 1 (recto),,york:914130
Abp_Reg_07_0004,,,Front flyleaf 1 (verso),,york:914131
Abp_Reg_07_0005,,,Front flyleaf 2 (recto),,york:914132
Abp_Reg_07_0006,,,Front flyleaf 2 (verso),,york:914133
Abp_Reg_07_0007,1,r,,,york:914134
Abp_Reg_07_0008,1,v,,,york:914135
Abp_Reg_07_0009,2,r,,,york:914136
Abp_Reg_07_0010,2,v,,,york:914137
Abp_Reg_07_0011,3,r,,,york:914138
Abp_Reg_07_0012,3,v,,,york:914139
Abp_Reg_07_0013,4,r,,,york:914140
Abp_Reg_07_0014,4,v,,,york:914141
Abp_Reg_07_0015,5,r,,,york:914142
Abp_Reg_07_0016,5,v,,,york:914143
Abp_Reg_07_0017,6,r,,,york:914144
Abp_Reg_07_0018,6,v,,,york:914145
Abp_Reg_07_0019,7,r,,,york:914146
Abp_Reg_07_0020,7,v,,,york:914147
Abp_Reg_07_0021,8,r,,,york:914148
Abp_Reg_07_0022,8,v,,,york:914149
Abp_Reg_07_0023,9,r,,,york:914150
Abp_Reg_07_0024,9,v,,,york:914151
Abp_Reg_07_0025,10,r,,,york:914152
Abp_Reg_07_0026,10,v,,,york:914153
Abp_Reg_07_0027,11,r,,,york:914154
Abp_Reg_07_0028,11,v,,,york:914155
Abp_Reg_07_0029,12,r,,,york:914156
Abp_Reg_07_0030,12,v,,,york:914157
Abp_Reg_07_0031,13,r,,,york:914158
Abp_Reg_07_0032,13,v,,,york:914159
Abp_Reg_07_0033,14,r,,,york:914160
Abp_Reg_07_0034,14,v,,,york:914161
Abp_Reg_07_0035,15,r,,,york:914162
Abp_Reg_07_0036,15,v,,,york:914163
Abp_Reg_07_0037,16,r,,,york:914164
Abp_Reg_07_0038,16,v,,,york:914165
Abp_Reg_07_0039,17,r,,,york:914166
Abp_Reg_07_0040,17,v,,,york:914167
Abp_Reg_07_0041,18,r,,,york:914168
Abp_Reg_07_0042,18,v,,,york:914169
Abp_Reg_07_0043,19,r,,,york:914170
Abp_Reg_07_0044,19,v,,,york:914171
Abp_Reg_07_0045,20,r,,,york:914172
Abp_Reg_07_0046,20,v,,,york:914173
Abp_Reg_07_0047,21,r,,,york:914174
Abp_Reg_07_0048,21,v,,,york:914175
Abp_Reg_07_0049,22,r,,,york:914176
Abp_Reg_07_0050,22,v,,,york:914177
Abp_Reg_07_0051,23,r,,,york:914178
Abp_Reg_07_0052,23,v,,,york:914179
Abp_Reg_07_0053,24,r,,,york:914180
Abp_Reg_07_0054,24,v,,,york:914181
Abp_Reg_07_0055,25,r,,,york:914182
Abp_Reg_07_0056,25,v,,,york:914183
Abp_Reg_07_0057,26,r,,,york:914184
Abp_Reg_07_0058,26,v,,,york:914185
Abp_Reg_07_0059,27,r,,,york:914186
Abp_Reg_07_0060,27,v,,,york:914187
Abp_Reg_07_0061,28,r,,,york:914188
Abp_Reg_07_0062,28,v,,,york:914189
Abp_Reg_07_0063,29,r,,,york:914190
Abp_Reg_07_0064,29,v,,,york:914191
Abp_Reg_07_0065,30,r,,,york:914192
Abp_Reg_07_0066,30,v,,,york:914193
Abp_Reg_07_0067,31,r,,,york:914194
Abp_Reg_07_0068,31,v,,,york:914195
Abp_Reg_07_0069,32,r,,,york:914196
Abp_Reg_07_0070,32,v,,,york:914197
Abp_Reg_07_0071,33,r,,,york:914198
Abp_Reg_07_0072,33,v,,,york:914199
Abp_Reg_07_0073,34,r,,,york:914200
Abp_Reg_07_0074,34,v,,,york:914201
Abp_Reg_07_0075,34,v,,,york:914202
Abp_Reg_07_0076,34,v,,,york:914203
Abp_Reg_07_0077,35,r,,,york:914204
Abp_Reg_07_0078,35,v,,,york:914205
Abp_Reg_07_0079,36,r,,,york:914206
Abp_Reg_07_0080,36,v,,,york:914207
Abp_Reg_07_0081,37,r,,,york:914208
Abp_Reg_07_0082,37,v,,,york:914209
Abp_Reg_07_0083,38,r,,,york:914210
Abp_Reg_07_0084,38,v,,,york:914211
Abp_Reg_07_0085,39,r,,,york:914212
Abp_Reg_07_0086,39,v,,,york:914213
Abp_Reg_07_0087,40,r,,,york:914214
Abp_Reg_07_0088,40,v,,,york:914215
Abp_Reg_07_0089,41,r,,,york:914216
Abp_Reg_07_0090,41,v,,,york:914217
Abp_Reg_07_0091,42,r,,,york:914218
Abp_Reg_07_0092,42,v,,,york:914219
Abp_Reg_07_0093,43,r,,,york:914220
Abp_Reg_07_0094,43,v,,,york:914221
Abp_Reg_07_0095,44,r,,,york:914222
Abp_Reg_07_0096,44,v,,,york:914223
Abp_Reg_07_0097,45,r,,,york:914224
Abp_Reg_07_0098,45,v,,,york:914225
Abp_Reg_07_0099,46,r,,,york:914226
Abp_Reg_07_0100,46,v,,,york:914227
Abp_Reg_07_0101,47,r,,,york:914228
Abp_Reg_07_0102,47,v,,,york:914229
Abp_Reg_07_0103,48,r,,,york:914230
Abp_Reg_07_0104,48,v,,,york:914231
Abp_Reg_07_0105,49,r,,,york:914232
Abp_Reg_07_0106,49,v,,,york:914233
Abp_Reg_07_0107,50,r,,,york:914234
Abp_Reg_07_0108,50,v,,,york:914235
Abp_Reg_07_0109,51,r,,,york:914236
Abp_Reg_07_0110,51,v,,,york:914237
Abp_Reg_07_0111,52,r,,,york:914238
Abp_Reg_07_0112,52,v,,,york:914239
Abp_Reg_07_0113,53,r,,,york:914240
Abp_Reg_07_0114,53,v,,,york:914241
Abp_Reg_07_0115,54,r,,,york:914242
Abp_Reg_07_0116,54,v,,,york:914243
Abp_Reg_07_0117,55,r,,,york:914244
Abp_Reg_07_0118,55,v,,,york:914245
Abp_Reg_07_0119,56,r,,,york:914246
Abp_Reg_07_0120,56,v,,,york:914247
Abp_Reg_07_0121,57,r,,,york:914248
Abp_Reg_07_0122,57,v,,,york:914249
Abp_Reg_07_0123,58,r,,,york:914250
Abp_Reg_07_0124,58,v,,,york:914251
Abp_Reg_07_0125,59,r,,,york:914252
Abp_Reg_07_0126,59,v,,,york:914253
Abp_Reg_07_0127,60,r,,,york:914254
Abp_Reg_07_0128,60,v,,,york:914255
Abp_Reg_07_0129,61,r,,,york:914256
Abp_Reg_07_0130,61,v,,,york:914257
Abp_Reg_07_0131,62,r,,,york:914258
Abp_Reg_07_0132,62,v,,,york:914259
Abp_Reg_07_0133,63,r,,,york:914260
Abp_Reg_07_0134,63,v,,,york:914261
Abp_Reg_07_0135,64,r,,,york:914262
Abp_Reg_07_0136,64,v,,,york:914263
Abp_Reg_07_0137,65,r,,,york:914264
Abp_Reg_07_0138,65,v,,,york:914265
Abp_Reg_07_0139,66,r,,,york:914266
Abp_Reg_07_0140,66,v,,,york:914267
Abp_Reg_07_0141,67,r,,,york:914268
Abp_Reg_07_0142,67,v,,,york:914269
Abp_Reg_07_0143,68,r,,,york:914270
