Image,folio,recto/verso,Notes,PID
Abp_Reg_08_0001,,,Contemporary front pastedown (recto),york:894293
Abp_Reg_08_0002,,,Contemporary front pastedown (verso),york:894294
Abp_Reg_08_0003,,,Contemporary front flyleaf (recto),york:894295
Abp_Reg_08_0004,,,Contemporary front flyleaf (verso),york:894296
Abp_Reg_08_0005,1,r,,york:894297
Abp_Reg_08_0006,1,v,,york:894298
Abp_Reg_08_0007,2,r,,york:894299
Abp_Reg_08_0008,2,v,,york:894300
Abp_Reg_08_0009,3,r,,york:894301
Abp_Reg_08_0010,3,v,,york:894302
Abp_Reg_08_0011,4,r,,york:894303
Abp_Reg_08_0012,4,v,,york:894304
Abp_Reg_08_0013,5,r,,york:894305
Abp_Reg_08_0014,5,v,,york:894306
Abp_Reg_08_0015,6,r,,york:894307
Abp_Reg_08_0016,6,v,,york:894308
Abp_Reg_08_0017,7,r,,york:894309
Abp_Reg_08_0018,7,v,,york:894310
Abp_Reg_08_0019,8,r,,york:894311
Abp_Reg_08_0020,8,v,,york:894312
Abp_Reg_08_0021,9,r,,york:894313
Abp_Reg_08_0022,9,v,,york:894314
Abp_Reg_08_0023,10,r,,york:894315
Abp_Reg_08_0024,10,v,,york:894316
Abp_Reg_08_0025,11,r,,york:894317
Abp_Reg_08_0026,11,v,,york:894318
Abp_Reg_08_0027,12,r,,york:894319
Abp_Reg_08_0028,12,v,,york:894320
Abp_Reg_08_0029,13,r,,york:894321
Abp_Reg_08_0030,13,v,,york:894322
Abp_Reg_08_0031,14,r,,york:894323
Abp_Reg_08_0032,14,v,,york:894324
Abp_Reg_08_0033,15,r,,york:894325
Abp_Reg_08_0034,15,v,,york:894326
Abp_Reg_08_0035,16,r,,york:894327
Abp_Reg_08_0036,16,v,,york:894328
Abp_Reg_08_0037,17,r,,york:894329
Abp_Reg_08_0038,17,v,,york:894330
Abp_Reg_08_0039,18,r,,york:894331
Abp_Reg_08_0040,18,v,,york:894332
Abp_Reg_08_0041,19,r,,york:894333
Abp_Reg_08_0042,19,v,,york:894334
Abp_Reg_08_0043,20,r,,york:894335
Abp_Reg_08_0044,20,v,,york:894336
Abp_Reg_08_0045,21,r,,york:894337
Abp_Reg_08_0046,21,v,,york:894338
Abp_Reg_08_0047,22,r,,york:894339
Abp_Reg_08_0048,22,v,,york:894340
Abp_Reg_08_0049,23,r,,york:894341
Abp_Reg_08_0050,23,v,,york:894342
Abp_Reg_08_0051,24,r,,york:894343
Abp_Reg_08_0052,24,v,,york:894344
Abp_Reg_08_0053,25,r,,york:894345
Abp_Reg_08_0054,25,v,,york:894346
Abp_Reg_08_0055,26,r,,york:894347
Abp_Reg_08_0056,26,v,,york:894348
Abp_Reg_08_0057,27,r,,york:894349
Abp_Reg_08_0058,27,v,,york:894350
Abp_Reg_08_0059,28,r,,york:894351
Abp_Reg_08_0060,28,v,,york:894352
Abp_Reg_08_0061,29,r,,york:894353
Abp_Reg_08_0062,29,v,,york:894354
Abp_Reg_08_0063,30,r,,york:894355
Abp_Reg_08_0064,30,v,,york:894356
Abp_Reg_08_0065,31,r,,york:894357
Abp_Reg_08_0066,31,v,,york:894358
Abp_Reg_08_0067,32,r,,york:894359
Abp_Reg_08_0068,32,v,,york:894360
Abp_Reg_08_0069,33,r,,york:894361
Abp_Reg_08_0070,33,v,,york:894362
Abp_Reg_08_0071,34,r,,york:894363
Abp_Reg_08_0072,34,v,,york:894364
Abp_Reg_08_0073,35,r,,york:894365
Abp_Reg_08_0074,35,v,,york:894366
Abp_Reg_08_0075,36,r,,york:894367
Abp_Reg_08_0076,36,v,,york:894368
Abp_Reg_08_0077,37,r,,york:894369
Abp_Reg_08_0078,37,v,,york:894370
Abp_Reg_08_0079,38,r,,york:894371
Abp_Reg_08_0080,38,v,,york:894372
Abp_Reg_08_0081,39,r,,york:894373
Abp_Reg_08_0082,39,v,,york:894374
Abp_Reg_08_0083,40,r,,york:894375
Abp_Reg_08_0084,40,v,,york:894376
Abp_Reg_08_0085,41,r,,york:894377
Abp_Reg_08_0086,41,v,,york:894378
Abp_Reg_08_0087,42,r,,york:894379
Abp_Reg_08_0088,42,v,,york:894380
Abp_Reg_08_0089,43,r,,york:894381
Abp_Reg_08_0090,43,v,,york:894382
Abp_Reg_08_0091,44,r,,york:894383
Abp_Reg_08_0092,44,v,,york:894384
Abp_Reg_08_0093,45,r,,york:894385
Abp_Reg_08_0094,45,v,,york:894386
Abp_Reg_08_0095,46,r,,york:894387
Abp_Reg_08_0096,46,v,,york:894388
Abp_Reg_08_0097,47,r,,york:894389
Abp_Reg_08_0098,47,v,,york:894390
Abp_Reg_08_0099,48,r,,york:894391
Abp_Reg_08_0100,48,v,,york:894392
Abp_Reg_08_0101,49,r,,york:894393
Abp_Reg_08_0102,49,v,,york:894394
Abp_Reg_08_0103,50,r,,york:894395
Abp_Reg_08_0104,50,v,,york:894396
Abp_Reg_08_0105,51,r,,york:894397
Abp_Reg_08_0106,51,v,,york:894398
Abp_Reg_08_0107,52,r,,york:894399
Abp_Reg_08_0108,52,v,,york:894400
Abp_Reg_08_0109,53,r,,york:894401
Abp_Reg_08_0110,53,v,,york:894402
Abp_Reg_08_0111,54,r,,york:894403
Abp_Reg_08_0112,54,v,,york:894404
Abp_Reg_08_0113,55,r,,york:894405
Abp_Reg_08_0114,55,v,,york:894406
Abp_Reg_08_0115,56,r,,york:894407
Abp_Reg_08_0116,56,v,,york:894408
Abp_Reg_08_0117,57,r,,york:894409
Abp_Reg_08_0118,57,v,,york:894410
Abp_Reg_08_0119,58,r,,york:894411
Abp_Reg_08_0120,58,v,,york:894412
Abp_Reg_08_0121,59,r,,york:894413
Abp_Reg_08_0122,59,v,,york:894414
Abp_Reg_08_0123,60,r,,york:894415
Abp_Reg_08_0124,60,v,,york:894416
Abp_Reg_08_0125,61,r,,york:894417
Abp_Reg_08_0126,61,v,,york:894418
Abp_Reg_08_0127,62,r,,york:894419
Abp_Reg_08_0128,62,v,,york:894420
Abp_Reg_08_0129,63,r,,york:894421
Abp_Reg_08_0130,63,v,,york:894422
Abp_Reg_08_0131,64,r,,york:894423
Abp_Reg_08_0132,64,v,,york:894424
Abp_Reg_08_0133,65,r,,york:894425
Abp_Reg_08_0134,65,v,,york:894426
Abp_Reg_08_0135,66,r,,york:894427
Abp_Reg_08_0136,66,v,,york:894428
Abp_Reg_08_0137,67,r,,york:894429
Abp_Reg_08_0138,67,v,,york:894430
Abp_Reg_08_0139,68,r,,york:894431
Abp_Reg_08_0140,68,v,,york:894432
Abp_Reg_08_0141,69,r,,york:894433
Abp_Reg_08_0142,69,v,,york:894434
Abp_Reg_08_0143,70,r,,york:894435
Abp_Reg_08_0144,70,v,,york:894436
Abp_Reg_08_0145,71,r,,york:894437
Abp_Reg_08_0146,71,v,,york:894438
Abp_Reg_08_0147,72,r,,york:894439
Abp_Reg_08_0148,72,v,,york:894440
Abp_Reg_08_0149,73,r,,york:894441
Abp_Reg_08_0150,73,v,,york:894442
Abp_Reg_08_0151,74,r,,york:894443
Abp_Reg_08_0152,74,v,,york:894444
Abp_Reg_08_0153,75,r,,york:894445
Abp_Reg_08_0154,75,v,,york:894446
Abp_Reg_08_0155,76,r,,york:894447
Abp_Reg_08_0156,76,v,,york:894448
Abp_Reg_08_0157,77,r,,york:894449
Abp_Reg_08_0158,77,v,,york:894450
Abp_Reg_08_0159,78,r,,york:894451
Abp_Reg_08_0160,78,v,,york:894452
Abp_Reg_08_0161,79,r,,york:894453
Abp_Reg_08_0162,79,v,,york:894454
Abp_Reg_08_0163,80,r,,york:894455
Abp_Reg_08_0164,80,v,,york:894456
Abp_Reg_08_0165,81,r,,york:894457
Abp_Reg_08_0166,81,v,,york:894458
Abp_Reg_08_0167,82,r,,york:894459
Abp_Reg_08_0168,82,v,,york:894460
Abp_Reg_08_0169,83,r,,york:894461
Abp_Reg_08_0170,83,v,,york:894462
Abp_Reg_08_0171,84,r,,york:894463
Abp_Reg_08_0172,84,v,,york:894464
Abp_Reg_08_0173,85,r,,york:894465
Abp_Reg_08_0174,85,v,,york:894466
Abp_Reg_08_0175,86,r,,york:894467
Abp_Reg_08_0176,86,v,,york:894468
Abp_Reg_08_0177,87,r,,york:894469
Abp_Reg_08_0178,87,v,,york:894470
Abp_Reg_08_0179,88,r,,york:894471
Abp_Reg_08_0180,88,v,,york:894472
Abp_Reg_08_0181,89,r,,york:894473
Abp_Reg_08_0182,89,v,,york:894474
Abp_Reg_08_0183,90,r,,york:894475
Abp_Reg_08_0184,90,v,,york:894476
Abp_Reg_08_0185,91,r,,york:894477
Abp_Reg_08_0186,91,v,,york:894478
Abp_Reg_08_0187,92,r,,york:894479
Abp_Reg_08_0188,92,v,,york:894480
Abp_Reg_08_0189,93,r,,york:894481
Abp_Reg_08_0190,93,v,,york:894482
Abp_Reg_08_0191,94,r,,york:894483
Abp_Reg_08_0192,94,v,,york:894484
Abp_Reg_08_0193,95,r,,york:894485
Abp_Reg_08_0194,95,v,,york:894486
Abp_Reg_08_0195,96,r,,york:894487
Abp_Reg_08_0196,96,v,,york:894488
Abp_Reg_08_0197,97,r,,york:894489
Abp_Reg_08_0198,97,v,,york:894490
Abp_Reg_08_0199,98,r,,york:894491
Abp_Reg_08_0200,98,v,,york:894492
Abp_Reg_08_0201,99,r,,york:894493
Abp_Reg_08_0202,99,v,,york:894494
