Image,Membrane,Face/Dorse,Notes,,PID
Abp_Reg_08A_0001,,,Inside of cloth cover attached to top of roll,,york:893385
Abp_Reg_08A_0002,1,f,,,york:893386
Abp_Reg_08A_0003,2,f,,,york:893387
Abp_Reg_08A_0004,3,f,,,york:893388
Abp_Reg_08A_0005,4,f,,,york:893389
Abp_Reg_08A_0006,5,f,,,york:893390
Abp_Reg_08A_0007,6,f,,,york:893391
Abp_Reg_08A_0008,7,f,,,york:893392
Abp_Reg_08A_0009,8,f,,,york:893393
Abp_Reg_08A_0010,9,f,,,york:893394
Abp_Reg_08A_0011,10,f,,,york:893395
Abp_Reg_08A_0012,11,f,,,york:893396
Abp_Reg_08A_0013,12,f,,,york:893397
Abp_Reg_08A_0014,13,f,,,york:893398
Abp_Reg_08A_0015,14,f,,,york:893399
Abp_Reg_08A_0016,15,f,,,york:893400
Abp_Reg_08A_0017,16,f,,,york:893401
Abp_Reg_08A_0018,17,f,,,york:893402
Abp_Reg_08A_0019,18,f,,,york:893403
Abp_Reg_08A_0020,1,d,,,york:893404
Abp_Reg_08A_0021,18,d,,,york:893405
Abp_Reg_08A_2000,,,Colour reference image,,york:893406
