Image,Membrane,Face/Dorse,Notes,UV,PID
Abp_Reg_08B_0001,,,Inside of cloth cover attached to top of roll,,york:893407
Abp_Reg_08B_0002,1,f,,,york:893408
Abp_Reg_08B_0003,2,f,,,york:893409
Abp_Reg_08B_0004,3,f,,,york:893410
Abp_Reg_08B_0005,4,f,,,york:893411
Abp_Reg_08B_0006,5,f,,,york:893412
Abp_Reg_08B_0007,6,f,,,york:893413
Abp_Reg_08B_0008,7,f,,,york:893414
Abp_Reg_08B_0009,8,f,,,york:893415
Abp_Reg_08B_0010,9,f,,,york:893416
Abp_Reg_08B_0011,10,f,,,york:893417
Abp_Reg_08B_0012,11,f,,,york:893418
Abp_Reg_08B_0013,12,f,,,york:893419
Abp_Reg_08B_0014,13,f,,,york:893420
Abp_Reg_08B_0015,14,f,,,york:893421
Abp_Reg_08B_0016,15,f,,,york:893422
Abp_Reg_08B_0017,16,f,,,york:893423
Abp_Reg_08B_0018,17,f,,,york:893424
Abp_Reg_08B_0019,1,d,,,york:893425
Abp_Reg_08B_0020,17,d,,,york:893426
Abp_Reg_08B_2000,,,Colour reference image,,york:893427
