Image,folio,recto/verso,Notes,UV,PID
Abp_Reg_09A_0001,,,Outside of front board,,york:901520
Abp_Reg_09A_0002,,,Pastedown on inside of front board; Paper,,york:901521
Abp_Reg_09A_0003,,,Front flyleaf 1 (recto); Paper,,york:901522
Abp_Reg_09A_0004,,,Front flyleaf 1 (verso); Paper,,york:901523
Abp_Reg_09A_0005,,,Front flyleaf 2 (recto); Paper,,york:901524
Abp_Reg_09A_0006,,,Front flyleaf 2 (verso); Paper,,york:901525
Abp_Reg_09A_0007,i,r,,,york:901526
Abp_Reg_09A_0008,i,v,,,york:901527
Abp_Reg_09A_0009,1,r,,,york:901528
Abp_Reg_09A_0010,1,v,,,york:901529
Abp_Reg_09A_0011,2,r,Index,,york:901530
Abp_Reg_09A_0012,2,v,Index,,york:901531
Abp_Reg_09A_0013,3,r,Index,,york:901532
Abp_Reg_09A_0014,3,v,Index,,york:901533
Abp_Reg_09A_0015,4,r,Guard,,york:901534
Abp_Reg_09A_0016,3,v,Guard,,york:901535
Abp_Reg_09A_0017,4,r,Index,,york:901536
Abp_Reg_09A_0018,4,v,Index,,york:901537
Abp_Reg_09A_0019,5,r,Index,,york:901538
Abp_Reg_09A_0020,5,v,Index,,york:901539
Abp_Reg_09A_0021,6,r,Index,,york:901540
Abp_Reg_09A_0022,6,v,Index,,york:901541
Abp_Reg_09A_0023,7,r,,,york:901542
Abp_Reg_09A_0024,7,r,,UV,york:901543
Abp_Reg_09A_0025,7,v,,,york:901544
Abp_Reg_09A_0026,7,v,,UV,york:901545
Abp_Reg_09A_0027,8,r,,,york:901546
Abp_Reg_09A_0028,8,v,,,york:901547
Abp_Reg_09A_0029,9,r,,,york:901548
Abp_Reg_09A_0030,9,v,,,york:901549
Abp_Reg_09A_0031,10,r,,,york:901550
Abp_Reg_09A_0032,10,r,,,york:901551
Abp_Reg_09A_0033,10,r,,,york:901552
Abp_Reg_09A_0034,10,v,,,york:901553
Abp_Reg_09A_0035,11,r,,,york:901554
Abp_Reg_09A_0036,11,v,,,york:901555
Abp_Reg_09A_0037,12,r,,,york:901556
Abp_Reg_09A_0038,12,v,,,york:901557
Abp_Reg_09A_0039,13,r,,,york:901558
Abp_Reg_09A_0040,13A,r,,,york:901559
Abp_Reg_09A_0041,13,v,,,york:901560
Abp_Reg_09A_0042,14,r,,,york:901561
Abp_Reg_09A_0043,14,v,,,york:901562
Abp_Reg_09A_0044,15,r,,,york:901563
Abp_Reg_09A_0045,15,v,,,york:901564
Abp_Reg_09A_0046,16,r,,,york:901565
Abp_Reg_09A_0047,16,v,,,york:901566
Abp_Reg_09A_0048,17,r,,,york:901567
Abp_Reg_09A_0049,17,v,,,york:901568
Abp_Reg_09A_0050,18,r,,,york:901569
Abp_Reg_09A_0051,18,v,,,york:901570
Abp_Reg_09A_0052,19,r,,,york:901571
Abp_Reg_09A_0053,19,v,,,york:901572
Abp_Reg_09A_0054,20,r,,,york:901573
Abp_Reg_09A_0055,20,v,,,york:901574
Abp_Reg_09A_0056,21,r,,,york:901575
Abp_Reg_09A_0057,21,v,,,york:901576
Abp_Reg_09A_0058,22,r,,,york:901577
Abp_Reg_09A_0059,22,v,,,york:901578
Abp_Reg_09A_0060,23,r,,,york:901579
Abp_Reg_09A_0061,23,v,,,york:901580
Abp_Reg_09A_0062,24,r,,,york:901581
Abp_Reg_09A_0063,24,v,,,york:901582
Abp_Reg_09A_0064,25,r,,,york:901583
Abp_Reg_09A_0065,25,v,,,york:901584
Abp_Reg_09A_0066,26,r,,,york:901585
Abp_Reg_09A_0067,26,v,,,york:901586
Abp_Reg_09A_0068,27,r,,,york:901587
Abp_Reg_09A_0069,27,v,,,york:901588
Abp_Reg_09A_0070,27,r,,,york:901589
Abp_Reg_09A_0071,27,v,,,york:901590
Abp_Reg_09A_0072,28,r,,,york:901591
Abp_Reg_09A_0073,28,v,,,york:901592
Abp_Reg_09A_0074,29,r,,,york:901593
Abp_Reg_09A_0075,29,v,,,york:901594
Abp_Reg_09A_0076,30,r,,,york:901595
Abp_Reg_09A_0077,30,r,,,york:901596
Abp_Reg_09A_0078,30,r,,,york:901597
Abp_Reg_09A_0079,30,v,,,york:901598
Abp_Reg_09A_0080,31,r,Guard,,york:901599
Abp_Reg_09A_0081,30,v,Guard,,york:901600
Abp_Reg_09A_0082,31,r,,,york:901601
Abp_Reg_09A_0083,31,v,,,york:901602
Abp_Reg_09A_0084,32,r,,,york:901603
Abp_Reg_09A_0085,32,v,,,york:901604
Abp_Reg_09A_0086,33,r,,,york:901605
Abp_Reg_09A_0087,33,v,,,york:901606
Abp_Reg_09A_0088,34,r,,,york:901607
Abp_Reg_09A_0089,34,v,,,york:901608
Abp_Reg_09A_0090,35,r,,,york:901609
Abp_Reg_09A_0091,35,v,,,york:901610
Abp_Reg_09A_0092,36,r,,,york:901611
Abp_Reg_09A_0093,36,v,,,york:901612
Abp_Reg_09A_0094,37,r,,,york:901613
Abp_Reg_09A_0095,37,v,,,york:901614
Abp_Reg_09A_0096,38,r,,,york:901615
Abp_Reg_09A_0097,38,v,,,york:901616
Abp_Reg_09A_0098,38,r,,,york:901617
Abp_Reg_09A_0099,38,v,,,york:901618
Abp_Reg_09A_0100,39,r,,,york:901619
Abp_Reg_09A_0101,39,v,,,york:901620
Abp_Reg_09A_0102,40,r,,,york:901621
Abp_Reg_09A_0103,40,v,,,york:901622
Abp_Reg_09A_0104,41,r,,,york:901623
Abp_Reg_09A_0105,41,v,,,york:901624
Abp_Reg_09A_0106,42,r,,,york:901625
Abp_Reg_09A_0107,42,v,,,york:901626
Abp_Reg_09A_0108,43,r,,,york:901627
Abp_Reg_09A_0109,43,v,,,york:901628
Abp_Reg_09A_0110,44,r,,,york:901629
Abp_Reg_09A_0111,44,v,,,york:901630
Abp_Reg_09A_0112,45,r,,,york:901631
Abp_Reg_09A_0113,45,v,,,york:901632
Abp_Reg_09A_0114,46,r,,,york:901633
Abp_Reg_09A_0115,46,v,,,york:901634
Abp_Reg_09A_0116,47,r,,,york:901635
Abp_Reg_09A_0117,47,v,,,york:901636
Abp_Reg_09A_0118,48,r,,,york:901637
Abp_Reg_09A_0119,48,v,,,york:901638
Abp_Reg_09A_0120,49,r,,,york:901639
Abp_Reg_09A_0121,49,v,,,york:901640
Abp_Reg_09A_0122,50,r,,,york:901641
Abp_Reg_09A_0123,50,v,,,york:901642
Abp_Reg_09A_0124,51,r,,,york:901643
Abp_Reg_09A_0125,51,v,,,york:901644
Abp_Reg_09A_0126,52,r,,,york:901645
Abp_Reg_09A_0127,52,v,,,york:901646
Abp_Reg_09A_0128,53,r,,,york:901647
Abp_Reg_09A_0129,53,v,,,york:901648
Abp_Reg_09A_0130,54,r,,,york:901649
Abp_Reg_09A_0131,54,v,,,york:901650
Abp_Reg_09A_0132,55,r,,,york:901651
Abp_Reg_09A_0133,55,v,,,york:901652
Abp_Reg_09A_0134,56,r,,,york:901653
Abp_Reg_09A_0135,56,v,,,york:901654
Abp_Reg_09A_0136,57,r,,,york:901655
Abp_Reg_09A_0137,57,v,,,york:901656
Abp_Reg_09A_0138,58,r,,,york:901657
Abp_Reg_09A_0139,58,v,,,york:901658
Abp_Reg_09A_0140,59,r,,,york:901659
Abp_Reg_09A_0141,59,v,,,york:901660
Abp_Reg_09A_0142,60,r,,,york:901661
Abp_Reg_09A_0143,60,v,,,york:901662
Abp_Reg_09A_0144,61,r,,,york:901664
Abp_Reg_09A_0145,61,v,,,york:901665
Abp_Reg_09A_0146,62,r,,,york:901666
Abp_Reg_09A_0147,62,v,,,york:901667
Abp_Reg_09A_0148,63,r,,,york:901668
Abp_Reg_09A_0149,63,v,,,york:901669
Abp_Reg_09A_0150,64,r,,,york:901670
Abp_Reg_09A_0151,64,v,,,york:901671
Abp_Reg_09A_0152,65,r,,,york:901672
Abp_Reg_09A_0153,65,v,,,york:901673
Abp_Reg_09A_0154,66,r,,,york:901674
Abp_Reg_09A_0155,66,v,,,york:901675
Abp_Reg_09A_0156,67,r,,,york:901676
Abp_Reg_09A_0157,67,v,,,york:901677
Abp_Reg_09A_0158,68,r,,,york:901678
Abp_Reg_09A_0159,68,v,,,york:901679
Abp_Reg_09A_0160,69,r,,,york:901680
Abp_Reg_09A_0161,69,v,,,york:901681
Abp_Reg_09A_0162,70,r,,,york:901682
Abp_Reg_09A_0163,70,v,,,york:901683
Abp_Reg_09A_0164,71,r,,,york:901684
Abp_Reg_09A_0165,71,v,,,york:901685
Abp_Reg_09A_0166,72,r,,,york:901686
Abp_Reg_09A_0167,72,v,,,york:901687
Abp_Reg_09A_0168,73,r,,,york:901688
Abp_Reg_09A_0169,73,v,,,york:901689
Abp_Reg_09A_0170,74,r,,,york:901690
Abp_Reg_09A_0171,74,v,,,york:901691
Abp_Reg_09A_0172,75,r,,,york:901692
Abp_Reg_09A_0173,75,v,,,york:901693
Abp_Reg_09A_0174,76,r,,,york:901694
Abp_Reg_09A_0175,76,v,,,york:901695
Abp_Reg_09A_0176,77,r,,,york:901696
Abp_Reg_09A_0177,77,v,,,york:901697
Abp_Reg_09A_0178,78,r,,,york:901698
Abp_Reg_09A_0179,78,v,,,york:901699
Abp_Reg_09A_0180,79,r,,,york:901700
Abp_Reg_09A_0181,79,v,,,york:901701
Abp_Reg_09A_0182,80,r,,,york:901702
Abp_Reg_09A_0183,80,v,,,york:901703
Abp_Reg_09A_0184,81,r,,,york:901704
Abp_Reg_09A_0185,81,v,,,york:901705
Abp_Reg_09A_0186,82,r,,,york:901706
Abp_Reg_09A_0187,82,v,,,york:901707
Abp_Reg_09A_0188,83,r,,,york:901708
Abp_Reg_09A_0189,83,v,,,york:901709
Abp_Reg_09A_0190,84,r,,,york:901710
Abp_Reg_09A_0191,84,v,,,york:901711
Abp_Reg_09A_0192,85,r,,,york:901712
Abp_Reg_09A_0193,85,v,,,york:901713
Abp_Reg_09A_0194,86,r,,,york:901714
Abp_Reg_09A_0195,86,v,,,york:901715
Abp_Reg_09A_0196,87,r,,,york:901716
Abp_Reg_09A_0197,87,v,,,york:901717
Abp_Reg_09A_0198,88,r,,,york:901718
Abp_Reg_09A_0199,88,v,,,york:901719
Abp_Reg_09A_0200,89,r,,,york:901720
Abp_Reg_09A_0201,89,v,,,york:901721
Abp_Reg_09A_0202,90,r,,,york:901722
Abp_Reg_09A_0203,90,v,,,york:901723
Abp_Reg_09A_0204,91,r,,,york:901724
Abp_Reg_09A_0205,91,v,,,york:901725
Abp_Reg_09A_0206,92,r,,,york:901726
Abp_Reg_09A_0207,92,v,,,york:901727
Abp_Reg_09A_0208,93,r,,,york:901728
Abp_Reg_09A_0209,93,v,,,york:901729
Abp_Reg_09A_0210,94,r,,,york:901730
Abp_Reg_09A_0211,94,v,,,york:901731
Abp_Reg_09A_0212,95,r,,,york:901732
Abp_Reg_09A_0213,95,v,,,york:901733
Abp_Reg_09A_0214,96,r,,,york:901734
Abp_Reg_09A_0215,96,v,,,york:901735
Abp_Reg_09A_0216,97,r,,,york:901736
Abp_Reg_09A_0217,97,v,,,york:901737
Abp_Reg_09A_0218,98,r,,,york:901738
Abp_Reg_09A_0219,98,v,,,york:901739
Abp_Reg_09A_0220,99,r,,,york:901740
Abp_Reg_09A_0221,99,v,,,york:901741
Abp_Reg_09A_0222,100,r,,,york:901742
Abp_Reg_09A_0223,100,v,,,york:901743
Abp_Reg_09A_0224,101,r,,,york:901744
Abp_Reg_09A_0225,101,v,,,york:901745
Abp_Reg_09A_0226,102,r,,,york:901746
Abp_Reg_09A_0227,102,v,,,york:901747
Abp_Reg_09A_0228,103,r,,,york:901748
Abp_Reg_09A_0229,103,v,,,york:901749
Abp_Reg_09A_0230,104,r,,,york:901750
Abp_Reg_09A_0231,104,v,,,york:901751
Abp_Reg_09A_0232,105,r,,,york:901752
Abp_Reg_09A_0233,105,v,,,york:901753
Abp_Reg_09A_0234,106,r,,,york:901754
