Image,folio,recto/verso,Notes,UV,PID
Abp_Reg_09B_0001,,,Outside of front board,,york:896364
Abp_Reg_09B_0002,,,Pastedown on inside of front board; Paper,,york:896365
Abp_Reg_09B_0003,,,Front flyleaf 1 (recto); Paper,,york:896366
Abp_Reg_09B_0004,,,Front flyleaf 1 (verso); Paper,,york:896367
Abp_Reg_09B_0005,,,Front flyleaf 2 (recto); Paper,,york:896368
Abp_Reg_09B_0006,,,Front flyleaf 2 (verso); Paper,,york:896369
Abp_Reg_09B_0007,,,Front flyleaf 3 (recto); Paper,,york:896370
Abp_Reg_09B_0008,,,Front flyleaf 3 (verso); Paper,,york:896371
Abp_Reg_09B_0009,,,Front flyleaf 4 (recto); Paper,,york:896372
Abp_Reg_09B_0010,,,Front flyleaf 4 (verso); Paper,,york:896373
Abp_Reg_09B_0011,400,r,,,york:896374
Abp_Reg_09B_0012,400,r,,UV,york:896375
Abp_Reg_09B_0013,400,v,,,york:896376
Abp_Reg_09B_0014,400,v,,UV,york:896377
Abp_Reg_09B_0015,401,r,,,york:896378
Abp_Reg_09B_0016,401,v,,,york:896379
Abp_Reg_09B_0017,402,r,,,york:896380
Abp_Reg_09B_0018,402,v,,,york:896381
Abp_Reg_09B_0019,403,r,,,york:896382
Abp_Reg_09B_0020,403,v,,,york:896383
Abp_Reg_09B_0021,404,r,,,york:896384
Abp_Reg_09B_0022,404,v,,,york:896385
Abp_Reg_09B_0023,405,r,,,york:896386
Abp_Reg_09B_0024,405,v,,,york:896387
Abp_Reg_09B_0025,406,r,,,york:896388
Abp_Reg_09B_0026,406,v,,,york:896389
Abp_Reg_09B_0027,407,r,,,york:896390
Abp_Reg_09B_0028,407,v,,,york:896391
Abp_Reg_09B_0029,408,r,,,york:896392
Abp_Reg_09B_0030,408,v,,,york:896393
Abp_Reg_09B_0031,409,r,,,york:896394
Abp_Reg_09B_0032,409,v,,,york:896395
Abp_Reg_09B_0033,410,r,,,york:896396
Abp_Reg_09B_0034,410,v,,,york:896397
Abp_Reg_09B_0035,411,r,,,york:896398
Abp_Reg_09B_0036,411,v,,,york:896399
Abp_Reg_09B_0037,412,r,,,york:896400
Abp_Reg_09B_0038,412,v,,,york:896401
Abp_Reg_09B_0039,413,r,,,york:896402
Abp_Reg_09B_0040,413,v,,,york:896403
Abp_Reg_09B_0041,414,r,Guard,,york:896404
Abp_Reg_09B_0042,414,r,,,york:896405
Abp_Reg_09B_0043,414,v,,,york:896406
Abp_Reg_09B_0044,415,r,,,york:896407
Abp_Reg_09B_0045,415,v,,,york:896408
Abp_Reg_09B_0046,416,r,,,york:896409
Abp_Reg_09B_0047,416,v,,,york:896410
Abp_Reg_09B_0048,416A,r,,,york:896411
Abp_Reg_09B_0049,416A,v,,,york:896412
Abp_Reg_09B_0050,417,r,,,york:896413
Abp_Reg_09B_0051,417,v,,,york:896414
Abp_Reg_09B_0052,418,r,,,york:896415
Abp_Reg_09B_0053,418,v,,,york:896416
Abp_Reg_09B_0054,419,r,,,york:896417
Abp_Reg_09B_0055,419,v,,,york:896418
Abp_Reg_09B_0056,420,r,,,york:896419
Abp_Reg_09B_0057,420,v,,,york:896420
Abp_Reg_09B_0058,421,r,,,york:896421
Abp_Reg_09B_0059,421,v,,,york:896422
Abp_Reg_09B_0060,422,r,,,york:896423
Abp_Reg_09B_0061,422,v,,,york:896424
Abp_Reg_09B_0062,423,r,,,york:896425
Abp_Reg_09B_0063,423,v,,,york:896426
Abp_Reg_09B_0064,424,r,,,york:896427
Abp_Reg_09B_0065,424,v,,,york:896428
Abp_Reg_09B_0066,425,r,,,york:896429
Abp_Reg_09B_0067,425,v,,,york:896430
Abp_Reg_09B_0068,426,r,,,york:896431
Abp_Reg_09B_0069,426,v,,,york:896432
Abp_Reg_09B_0070,427,r,,,york:896433
Abp_Reg_09B_0071,427,v,,,york:896434
Abp_Reg_09B_0072,428,r,,,york:896435
Abp_Reg_09B_0073,428,v,,,york:896436
Abp_Reg_09B_0074,429,r,,,york:896437
Abp_Reg_09B_0075,429,v,,,york:896438
Abp_Reg_09B_0076,430,r,,,york:896439
Abp_Reg_09B_0077,430,v,,,york:896440
Abp_Reg_09B_0078,431,r,,,york:896441
Abp_Reg_09B_0079,431,v,,,york:896442
Abp_Reg_09B_0080,432,r,,,york:896443
Abp_Reg_09B_0081,432,v,,,york:896444
Abp_Reg_09B_0082,433,r,,,york:896445
Abp_Reg_09B_0083,433,v,,,york:896446
Abp_Reg_09B_0084,434,r,,,york:896447
Abp_Reg_09B_0085,434,v,,,york:896448
Abp_Reg_09B_0086,435,r,,,york:896449
Abp_Reg_09B_0087,435,v,,,york:896450
Abp_Reg_09B_0088,436,r,,,york:896451
Abp_Reg_09B_0089,436,v,,,york:896452
Abp_Reg_09B_0090,437,r,,,york:896453
Abp_Reg_09B_0091,437,v,,,york:896454
Abp_Reg_09B_0092,438,r,,,york:896455
Abp_Reg_09B_0093,438,v,,,york:896456
Abp_Reg_09B_0094,439,r,,,york:896457
Abp_Reg_09B_0095,439,v,,,york:896458
Abp_Reg_09B_0096,440,r,,,york:896459
Abp_Reg_09B_0097,440,v,,,york:896460
Abp_Reg_09B_0098,441,r,,,york:896461
Abp_Reg_09B_0099,441,v,,,york:896462
Abp_Reg_09B_0100,442,r,,,york:896463
Abp_Reg_09B_0101,442,v,,,york:896464
Abp_Reg_09B_0102,443,r,,,york:896465
Abp_Reg_09B_0103,443,v,,,york:896466
Abp_Reg_09B_0104,444,r,,,york:896467
Abp_Reg_09B_0105,444,v,,,york:896468
Abp_Reg_09B_0106,445,r,,,york:896469
Abp_Reg_09B_0107,445,v,,,york:896470
Abp_Reg_09B_0108,446,r,Guard,,york:896471
Abp_Reg_09B_0109,446,v,Guard,,york:896472
Abp_Reg_09B_0110,446,r,,,york:896473
Abp_Reg_09B_0111,446,v,,,york:896474
Abp_Reg_09B_0112,447,r,,,york:896475
Abp_Reg_09B_0113,447,v,,,york:896476
Abp_Reg_09B_0114,448,r,,,york:896477
Abp_Reg_09B_0115,448,v,,,york:896478
Abp_Reg_09B_0116,449,r,,,york:896479
Abp_Reg_09B_0117,449,v,,,york:896480
Abp_Reg_09B_0118,450,r,,,york:896481
Abp_Reg_09B_0119,450,v,,,york:896482
Abp_Reg_09B_0120,451,r,,,york:896483
Abp_Reg_09B_0121,451,v,,,york:896484
Abp_Reg_09B_0122,452,r,,,york:896485
Abp_Reg_09B_0123,452,v,,,york:896486
Abp_Reg_09B_0124,453,r,,,york:896487
Abp_Reg_09B_0125,453,v,,,york:896488
Abp_Reg_09B_0126,454,r,,,york:896489
Abp_Reg_09B_0127,454,v,,,york:896490
Abp_Reg_09B_0128,455,r,,,york:896491
Abp_Reg_09B_0129,455,v,,,york:896492
Abp_Reg_09B_0130,456,r,,,york:896493
Abp_Reg_09B_0131,456,v,,,york:896494
Abp_Reg_09B_0132,457,r,,,york:896495
Abp_Reg_09B_0133,457,v,,,york:896496
Abp_Reg_09B_0134,458,r,,,york:896497
Abp_Reg_09B_0135,458,v,,,york:896498
Abp_Reg_09B_0136,459,r,,,york:896499
Abp_Reg_09B_0137,459,v,,,york:896500
Abp_Reg_09B_0138,460,r,,,york:896501
Abp_Reg_09B_0139,460,v,,,york:896502
Abp_Reg_09B_0140,461,r,,,york:896503
Abp_Reg_09B_0141,461,v,,,york:896504
Abp_Reg_09B_0142,462,r,,,york:896505
Abp_Reg_09B_0143,462,v,,,york:896506
Abp_Reg_09B_0144,463,r,,,york:896507
Abp_Reg_09B_0145,463,v,,,york:896508
Abp_Reg_09B_0146,464,r,,,york:896509
Abp_Reg_09B_0147,464,v,,,york:896510
Abp_Reg_09B_0148,465,r,,,york:896511
Abp_Reg_09B_0149,465,v,,,york:896512
Abp_Reg_09B_0150,466,r,,,york:896513
Abp_Reg_09B_0151,466,r,,,york:896514
Abp_Reg_09B_0152,466,r,,,york:896515
Abp_Reg_09B_0153,466,v,,,york:896516
Abp_Reg_09B_0154,467,r,,,york:896517
Abp_Reg_09B_0155,467,v,,,york:896518
Abp_Reg_09B_0156,468,r,,,york:896519
Abp_Reg_09B_0157,468,v,,,york:896520
Abp_Reg_09B_0158,469,r,,,york:896521
Abp_Reg_09B_0159,469,v,,,york:896522
Abp_Reg_09B_0160,470,r,,,york:896523
Abp_Reg_09B_0161,470,v,,,york:896524
Abp_Reg_09B_0162,471A,r,,,york:896525
Abp_Reg_09B_0163,471A,v,,,york:896526
Abp_Reg_09B_0164,471,r,,,york:896527
Abp_Reg_09B_0165,471,v,,,york:896528
Abp_Reg_09B_0166,472,r,,,york:896529
Abp_Reg_09B_0167,472,v,,,york:896530
Abp_Reg_09B_0168,473,r,,,york:896531
Abp_Reg_09B_0169,473,v,,,york:896532
Abp_Reg_09B_0170,474,r,,,york:896533
Abp_Reg_09B_0171,474,v,,,york:896534
Abp_Reg_09B_0172,475,r,,,york:896535
Abp_Reg_09B_0173,475,v,,,york:896536
Abp_Reg_09B_0174,476,r,,,york:896537
Abp_Reg_09B_0175,476,v,,,york:896538
Abp_Reg_09B_0176,477,r,,,york:896539
Abp_Reg_09B_0177,477,v,,,york:896540
Abp_Reg_09B_0178,478,r,,,york:896541
Abp_Reg_09B_0179,478,v,,,york:896542
Abp_Reg_09B_0180,479,r,,,york:896543
Abp_Reg_09B_0181,479,v,,,york:896544
Abp_Reg_09B_0182,480,r,,,york:896545
Abp_Reg_09B_0183,480,r,,UV,york:896546
Abp_Reg_09B_0184,480,v,,,york:896547
Abp_Reg_09B_0185,481,r,,,york:896548
Abp_Reg_09B_0186,481,v,,,york:896549
Abp_Reg_09B_0187,482,r,,,york:896550
Abp_Reg_09B_0188,482,v,,,york:896551
Abp_Reg_09B_0189,483,r,,,york:896552
Abp_Reg_09B_0190,483,v,,,york:896553
Abp_Reg_09B_0191,484,r,,,york:896554
Abp_Reg_09B_0192,484,v,,,york:896555
Abp_Reg_09B_0193,485,r,,,york:896556
Abp_Reg_09B_0194,485,v,,,york:896557
Abp_Reg_09B_0195,486,r,,,york:896558
Abp_Reg_09B_0196,486,v,,,york:896559
Abp_Reg_09B_0197,487A,r,,,york:896560
Abp_Reg_09B_0198,487A,v,,,york:896561
Abp_Reg_09B_0199,487B,r,,,york:896562
Abp_Reg_09B_0200,487B,v,,,york:896563
Abp_Reg_09B_0201,488,r,,,york:896564
Abp_Reg_09B_0202,488,v,,,york:896565
Abp_Reg_09B_0203,489,r,,,york:896566
Abp_Reg_09B_0204,489,v,,,york:896567
Abp_Reg_09B_0205,490,r,,,york:896568
Abp_Reg_09B_0206,490,v,,,york:896569
Abp_Reg_09B_0207,491,r,,,york:896570
Abp_Reg_09B_0208,491,v,,,york:896571
Abp_Reg_09B_0209,492,r,,,york:896572
Abp_Reg_09B_0210,492,v,,,york:896573
Abp_Reg_09B_0211,493,r,,,york:896574
Abp_Reg_09B_0212,493,v,,,york:896575
Abp_Reg_09B_0213,494,r,,,york:896576
Abp_Reg_09B_0214,494,v,,,york:896577
Abp_Reg_09B_0215,495,r,,,york:896578
Abp_Reg_09B_0216,495,v,,,york:896579
Abp_Reg_09B_0217,496,r,,,york:896580
Abp_Reg_09B_0218,496,v,,,york:896581
Abp_Reg_09B_0219,497,r,,,york:896582
Abp_Reg_09B_0220,497,v,,,york:896583
Abp_Reg_09B_0221,498,r,,,york:896584
Abp_Reg_09B_0222,498,v,,,york:896585
Abp_Reg_09B_0223,499,r,,,york:896586
Abp_Reg_09B_0224,499,v,,,york:896587
Abp_Reg_09B_0225,500,r,,,york:896588
Abp_Reg_09B_0226,500,v,,,york:896589
Abp_Reg_09B_0227,501,r,,,york:896590
Abp_Reg_09B_0228,501,v,,,york:896591
Abp_Reg_09B_0229,502,r,,,york:896592
Abp_Reg_09B_0230,502,v,,,york:896593
Abp_Reg_09B_0231,503,r,,,york:896594
Abp_Reg_09B_0232,503,v,,,york:896595
Abp_Reg_09B_0233,504,r,,,york:896596
Abp_Reg_09B_0234,504,v,,,york:896597
Abp_Reg_09B_0235,505,r,,,york:896598
Abp_Reg_09B_0236,505,v,,,york:896599
Abp_Reg_09B_0237,506,r,Guard,,york:896600
Abp_Reg_09B_0238,506,r,,,york:896601
Abp_Reg_09B_0239,506,v,,,york:896602
Abp_Reg_09B_0240,507,r,,,york:896603
Abp_Reg_09B_0241,507,v,,,york:896604
Abp_Reg_09B_0242,508,r,,,york:896605
Abp_Reg_09B_0243,508,v,,,york:896606
Abp_Reg_09B_0244,509,r,,,york:896607
Abp_Reg_09B_0245,509,v,,,york:896608
Abp_Reg_09B_0246,510,r,,,york:896609
Abp_Reg_09B_0247,510,v,,,york:896610
Abp_Reg_09B_0248,511,r,,,york:896611
Abp_Reg_09B_0249,511,v,,,york:896612
Abp_Reg_09B_0250,512A,r,,,york:896613
Abp_Reg_09B_0251,512A,v,,,york:896614
Abp_Reg_09B_0252,512B,r,,,york:896615
Abp_Reg_09B_0253,512B,v,,,york:896616
Abp_Reg_09B_0254,513,r,,,york:896617
Abp_Reg_09B_0255,513,v,,,york:896618
Abp_Reg_09B_0256,514,r,,,york:896619
Abp_Reg_09B_0257,514,v,,,york:896620
Abp_Reg_09B_0258,515,r,,,york:896621
Abp_Reg_09B_0259,515,v,,,york:896622
Abp_Reg_09B_0260,516,r,,,york:896623
Abp_Reg_09B_0261,516,v,,,york:896624
Abp_Reg_09B_0262,517,r,,,york:896625
Abp_Reg_09B_0263,517,v,,,york:896626
Abp_Reg_09B_0264,518,r,,,york:896627
Abp_Reg_09B_0265,518,r,,,york:896628
Abp_Reg_09B_0266,518,r,,,york:896629
Abp_Reg_09B_0267,518,v,,,york:896630
Abp_Reg_09B_0268,519,r,,,york:896631
Abp_Reg_09B_0269,519,v,,,york:896632
Abp_Reg_09B_0270,520,r,,,york:896633
Abp_Reg_09B_0271,520,v,,,york:896634
Abp_Reg_09B_0272,521,r,,,york:896635
Abp_Reg_09B_0273,521,v,,,york:896636
Abp_Reg_09B_0274,522,r,,,york:896637
Abp_Reg_09B_0275,522,v,,,york:896638
Abp_Reg_09B_0276,523,r,,,york:896639
Abp_Reg_09B_0277,523,v,,,york:896640
Abp_Reg_09B_0278,524,r,,,york:896641
Abp_Reg_09B_0279,524,v,,,york:896642
Abp_Reg_09B_0280,525,r,,,york:896643
Abp_Reg_09B_0281,525,r,,,york:896644
Abp_Reg_09B_0282,525,r,,,york:896645
Abp_Reg_09B_0283,525,v,,,york:896646
Abp_Reg_09B_0284,526,r,,,york:896647
Abp_Reg_09B_0285,526,v,,,york:896648
Abp_Reg_09B_0286,527,r,,,york:896649
Abp_Reg_09B_0287,527,v,,,york:896650
Abp_Reg_09B_0288,528,r,,,york:896651
Abp_Reg_09B_0289,528,v,,,york:896652
Abp_Reg_09B_0290,529,r,,,york:896653
Abp_Reg_09B_0291,529,v,,,york:896654
