Image,folio,recto/verso,Notes,UV,PID
Abp_Reg_10A_0001,,,Outside of front board,,york:897122
Abp_Reg_10A_0002,,,Pastedown on inside of front board; Paper,,york:897123
Abp_Reg_10A_0003,,,Front flyleaf 1 (recto); Paper,,york:897124
Abp_Reg_10A_0004,,,Front flyleaf 1 (verso); Paper,,york:897125
Abp_Reg_10A_0005,,,Front flyleaf 2 (recto); Paper,,york:897126
Abp_Reg_10A_0006,,,Front flyleaf 2 (verso); Paper,,york:897127
Abp_Reg_10A_0007,,,Front flyleaf 3 (recto); Paper,,york:897128
Abp_Reg_10A_0008,,,Front flyleaf 3 (verso); Paper,,york:897129
Abp_Reg_10A_0009,,,Outside of trimmed front cover of limp parchment case,,york:897130
Abp_Reg_10A_0010,,,Outside of trimmed front cover of limp parchment case,UV,york:897131
Abp_Reg_10A_0011,,,Inside of trimmed front cover of limp parchment case,,york:897132
Abp_Reg_10A_0012,1,r,,,york:897133
Abp_Reg_10A_0013,1,r,,UV,york:897134
Abp_Reg_10A_0014,1,v,,,york:897135
Abp_Reg_10A_0015,1,v,,UV,york:897136
Abp_Reg_10A_0016,2,r,,,york:897137
Abp_Reg_10A_0017,2,r,,UV,york:897138
Abp_Reg_10A_0018,2,v,,,york:897139
Abp_Reg_10A_0019,2,v,,UV,york:897140
Abp_Reg_10A_0020,3,r,,,york:897141
Abp_Reg_10A_0021,3,v,,,york:897142
Abp_Reg_10A_0022,4,r,,,york:897143
Abp_Reg_10A_0023,4,r,,UV,york:897144
Abp_Reg_10A_0024,4,v,,,york:897145
Abp_Reg_10A_0025,4,v,,UV,york:897146
Abp_Reg_10A_0026,5,r,,,york:897147
Abp_Reg_10A_0027,5,v,,,york:897148
Abp_Reg_10A_0028,6,r,,,york:897149
Abp_Reg_10A_0029,6,v,,,york:897150
Abp_Reg_10A_0030,7,r,,,york:897151
Abp_Reg_10A_0031,7,v,,,york:897152
Abp_Reg_10A_0032,8,r,,,york:897153
Abp_Reg_10A_0033,8,r,,UV,york:897154
Abp_Reg_10A_0034,8,v,,,york:897155
Abp_Reg_10A_0035,9,r,,,york:897156
Abp_Reg_10A_0036,9,v,,,york:897157
Abp_Reg_10A_0037,9,v,,UV,york:897158
Abp_Reg_10A_0038,10,r,,,york:897159
Abp_Reg_10A_0039,10,v,,,york:897160
Abp_Reg_10A_0040,11,r,,,york:897161
Abp_Reg_10A_0041,11,v,,,york:897162
Abp_Reg_10A_0042,12,r,,,york:897163
Abp_Reg_10A_0043,12,v,,,york:897164
Abp_Reg_10A_0044,13,r,,,york:897165
Abp_Reg_10A_0045,13,v,,,york:897166
Abp_Reg_10A_0046,14,r,,,york:897167
Abp_Reg_10A_0047,14,v,,,york:897168
Abp_Reg_10A_0048,15,r,,,york:897169
Abp_Reg_10A_0049,15,v,,,york:897170
Abp_Reg_10A_0050,15,v,,UV,york:897171
Abp_Reg_10A_0051,16,r,,,york:897172
Abp_Reg_10A_0052,16,r,,UV,york:897173
Abp_Reg_10A_0053,16,v,,,york:897174
Abp_Reg_10A_0054,17,r,,,york:897175
Abp_Reg_10A_0055,17,v,,,york:897176
Abp_Reg_10A_0056,18B,r,,,york:897177
Abp_Reg_10A_0057,18B,r,,UV,york:897178
Abp_Reg_10A_0058,18A,v,,,york:897179
Abp_Reg_10A_0059,18A,v,,,york:897180
Abp_Reg_10A_0060,18,r,,,york:897181
Abp_Reg_10A_0061,18,v,,,york:897182
Abp_Reg_10A_0062,19,r,,,york:897183
Abp_Reg_10A_0063,19,v,,,york:897184
Abp_Reg_10A_0064,20,r,,,york:897185
Abp_Reg_10A_0065,20,v,,,york:897186
Abp_Reg_10A_0066,21,r,,,york:897187
Abp_Reg_10A_0067,21,v,,,york:897188
Abp_Reg_10A_0068,22,r,,,york:897189
Abp_Reg_10A_0069,22,v,,,york:897190
Abp_Reg_10A_0070,23,r,,,york:897191
Abp_Reg_10A_0071,23,v,,,york:897192
Abp_Reg_10A_0072,24,r,,,york:897193
Abp_Reg_10A_0073,24,v,,,york:897194
Abp_Reg_10A_0074,25,r,,,york:897195
Abp_Reg_10A_0075,25,v,,,york:897196
Abp_Reg_10A_0076,26,r,,,york:897197
Abp_Reg_10A_0077,26,v,,,york:897198
Abp_Reg_10A_0078,27,r,,,york:897199
Abp_Reg_10A_0079,27,v,,,york:897200
Abp_Reg_10A_0080,28,r,,,york:897201
Abp_Reg_10A_0081,28,v,,,york:897202
Abp_Reg_10A_0082,29,r,,,york:897203
Abp_Reg_10A_0083,29,v,,,york:897204
Abp_Reg_10A_0084,30,r,,,york:897205
Abp_Reg_10A_0085,30,v,,,york:897206
Abp_Reg_10A_0086,31,r,,,york:897207
Abp_Reg_10A_0087,31,v,,,york:897208
Abp_Reg_10A_0088,31,v,,UV,york:897209
Abp_Reg_10A_0089,32,r,,,york:897210
Abp_Reg_10A_0090,32,v,,,york:897211
Abp_Reg_10A_0091,33,r,,,york:897212
Abp_Reg_10A_0092,33,v,,,york:897213
Abp_Reg_10A_0093,34,r,,,york:897214
Abp_Reg_10A_0094,34,v,,,york:897215
Abp_Reg_10A_0095,35,r,,,york:897216
Abp_Reg_10A_0096,35,v,,,york:897217
Abp_Reg_10A_0097,36,r,,,york:897218
Abp_Reg_10A_0098,36,v,,,york:897219
Abp_Reg_10A_0099,37,r,,,york:897220
Abp_Reg_10A_0100,37,v,,,york:897221
Abp_Reg_10A_0101,38,r,,,york:897222
Abp_Reg_10A_0102,38,v,,,york:897223
Abp_Reg_10A_0103,38,v,,UV,york:897224
Abp_Reg_10A_0104,39,r,,,york:897225
Abp_Reg_10A_0105,39,v,,,york:897226
Abp_Reg_10A_0106,40,r,,,york:897227
Abp_Reg_10A_0107,40,v,,,york:897228
Abp_Reg_10A_0108,41,r,,,york:897229
Abp_Reg_10A_0109,41,v,,,york:897230
Abp_Reg_10A_0110,41,v,,UV,york:897231
Abp_Reg_10A_0111,42,r,,,york:897232
Abp_Reg_10A_0112,42,v,,,york:897233
Abp_Reg_10A_0113,43,r,,,york:897234
Abp_Reg_10A_0114,43,v,,,york:897235
Abp_Reg_10A_0115,43,v,,UV,york:897236
Abp_Reg_10A_0116,44,r,,,york:897237
Abp_Reg_10A_0117,44,v,,,york:897238
Abp_Reg_10A_0118,44,v,,UV,york:897239
Abp_Reg_10A_0119,45,r,,,york:897240
Abp_Reg_10A_0120,45,v,,,york:897241
Abp_Reg_10A_0121,45,v,,UV,york:897242
Abp_Reg_10A_0122,46,r,,,york:897243
Abp_Reg_10A_0123,46,v,,,york:897244
Abp_Reg_10A_0124,46,v,,UV,york:897245
Abp_Reg_10A_0125,47,r,,,york:897246
Abp_Reg_10A_0126,47,v,,,york:897247
Abp_Reg_10A_0127,48,r,,,york:897248
Abp_Reg_10A_0128,48,v,,,york:897249
Abp_Reg_10A_0129,49,r,,,york:897250
Abp_Reg_10A_0130,49,v,,,york:897251
Abp_Reg_10A_0131,49,v,,UV,york:897252
Abp_Reg_10A_0132,50,r,,,york:897253
Abp_Reg_10A_0133,50,v,,,york:897254
Abp_Reg_10A_0134,51,r,,,york:897255
Abp_Reg_10A_0135,51,v,,,york:897256
Abp_Reg_10A_0136,52,r,,,york:897257
Abp_Reg_10A_0137,52,v,,,york:897258
Abp_Reg_10A_0138,53,r,,,york:897259
Abp_Reg_10A_0139,53,v,,,york:897260
Abp_Reg_10A_0140,54,r,,,york:897261
Abp_Reg_10A_0141,54,r,,UV,york:897262
Abp_Reg_10A_0142,54,v,,,york:897263
