Image,Folio,Recto/Verso,Notes,UV,PID
Abp_Reg_11_0001,,,Outside of front board,,york:912393
Abp_Reg_11_0002,,,Pastedown on inside of front board,,york:912394
Abp_Reg_11_0003,,,Front flyleaf 1 (recto); Guard,,york:912395
Abp_Reg_11_0004,,,Pastedown on inside of front board; Guard,,york:912396
Abp_Reg_11_0005,,,Front flyleaf 1 (recto),,york:912397
Abp_Reg_11_0006,,,Front flyleaf 1 (verso),,york:912398
Abp_Reg_11_0007,,,Front flyleaf 2 (recto),,york:912399
Abp_Reg_11_0008,,,Front flyleaf 2 (verso),,york:912400
Abp_Reg_11_0009,,,Front flyleaf 3 (recto),,york:912401
Abp_Reg_11_0010,,,Front flyleaf 3 (verso),,york:912402
Abp_Reg_11_0011,i,r,,,york:912403
Abp_Reg_11_0012,i,v,,,york:912404
Abp_Reg_11_0013,ii,r,,,york:912405
Abp_Reg_11_0014,ii,v,,,york:912406
Abp_Reg_11_0015,iii,r,,,york:912407
Abp_Reg_11_0016,iii,v,,,york:912408
Abp_Reg_11_0017,1,r,,,york:912409
Abp_Reg_11_0018,1,v,,,york:912410
Abp_Reg_11_0019,2,r,,,york:912411
Abp_Reg_11_0020,2,v,,,york:912412
Abp_Reg_11_0021,3,r,,,york:912413
Abp_Reg_11_0022,3,v,,,york:912414
Abp_Reg_11_0023,4,r,,,york:912415
Abp_Reg_11_0024,4,v,,,york:912416
Abp_Reg_11_0025,5,r,,,york:912417
Abp_Reg_11_0026,5,v,,,york:912418
Abp_Reg_11_0027,5A,r,,,york:912419
Abp_Reg_11_0028,5A,v,,,york:912420
Abp_Reg_11_0029,6,r,,,york:912421
Abp_Reg_11_0030,6,v,,,york:912422
Abp_Reg_11_0031,7,r,,,york:912423
Abp_Reg_11_0032,7,v,,,york:912424
Abp_Reg_11_0033,8,r,,,york:912425
Abp_Reg_11_0034,8,v,,,york:912426
Abp_Reg_11_0035,8A,r,,,york:912427
Abp_Reg_11_0036,8A,v,,,york:912428
Abp_Reg_11_0037,8B,r,,,york:912429
Abp_Reg_11_0038,8B,v,,,york:912430
Abp_Reg_11_0039,9,r,,,york:912431
Abp_Reg_11_0040,9,v,,,york:912432
Abp_Reg_11_0041,10,r,,,york:912433
Abp_Reg_11_0042,10,v,,,york:912434
Abp_Reg_11_0043,10A,r,,,york:912435
Abp_Reg_11_0044,10A,v,,,york:912436
Abp_Reg_11_0045,11,r,,,york:912437
Abp_Reg_11_0046,11,v,,,york:912438
