Image,folio,recto/verso,Notes ,UV,PID
Abp_Reg_23_0001,,,Outside of front board,,york:910350
Abp_Reg_23_0002,,,Pastedown on inside of front board; Paper,,york:910351
Abp_Reg_23_0003,,,Front flyleaf (recto); Paper,,york:910352
Abp_Reg_23_0004,,,Front flyleaf (verso); Paper,,york:910353
Abp_Reg_23_0005,,,Contemporary front flyleaf (recto),,york:910354
Abp_Reg_23_0006,,,Contemporary front flyleaf (verso),,york:910355
Abp_Reg_23_0007,i,r,Guard,,york:910356
Abp_Reg_23_0008,,v,Guard,,york:910357
Abp_Reg_23_0009,i,r,Index,,york:910358
Abp_Reg_23_0010,i,v,Index,,york:910359
Abp_Reg_23_0011,ii,r,Index,,york:910360
Abp_Reg_23_0012,ii,v,Index,,york:910361
Abp_Reg_23_0013,iii,r,Index,,york:910362
Abp_Reg_23_0014,iii,v,Index,,york:910363
Abp_Reg_23_0015,iv,r,Index,,york:910364
Abp_Reg_23_0016,iv,v,Index,,york:910365
Abp_Reg_23_0017,v,r,Index,,york:910366
Abp_Reg_23_0018,v,v,Index,,york:910367
Abp_Reg_23_0019,vi,r,Index,,york:910368
Abp_Reg_23_0020,vi,v,Index,,york:910369
Abp_Reg_23_0021,vii,r,Index,,york:910370
Abp_Reg_23_0022,vii,v,Index,,york:910371
Abp_Reg_23_0023,viii,r,Index,,york:910372
Abp_Reg_23_0024,viii,v,Index,,york:910373
Abp_Reg_23_0025,1,r,,,york:910374
Abp_Reg_23_0026,1,v,,,york:910375
Abp_Reg_23_0027,2,r,,,york:910376
Abp_Reg_23_0028,2,v,,,york:910377
Abp_Reg_23_0029,3,r,,,york:910378
Abp_Reg_23_0030,3,v,,,york:910379
Abp_Reg_23_0031,4,r,,,york:910380
Abp_Reg_23_0032,4,v,,,york:910381
Abp_Reg_23_0033,5,r,,,york:910382
Abp_Reg_23_0034,5,v,,,york:910383
Abp_Reg_23_0035,6,r,,,york:910384
Abp_Reg_23_0036,6,v,,,york:910385
Abp_Reg_23_0037,7,r,,,york:910386
Abp_Reg_23_0038,7,v,,,york:910387
Abp_Reg_23_0039,8,r,,,york:910388
Abp_Reg_23_0040,8,v,,,york:910389
Abp_Reg_23_0041,9,r,,,york:910390
Abp_Reg_23_0042,9,v,,,york:910391
Abp_Reg_23_0043,10,r,,,york:910392
Abp_Reg_23_0044,10,v,,,york:910393
Abp_Reg_23_0045,11,r,,,york:910394
Abp_Reg_23_0046,11,v,,,york:910395
Abp_Reg_23_0047,12,r,,,york:910396
Abp_Reg_23_0048,12,v,,,york:910397
Abp_Reg_23_0049,13,r,,,york:910398
Abp_Reg_23_0050,13,v,,,york:910399
Abp_Reg_23_0051,14,r,,,york:910400
Abp_Reg_23_0052,14,v,,,york:910401
