Image,folio,recto/verso,Description,Notes,PID
Abp_Reg_27_0001,,,Outside of front board,,york:903334
Abp_Reg_27_0002,,,Pastedown on inside of front board; Paper,,york:903335
Abp_Reg_27_0003,,,Front flyleaf 1 (recto); Paper,,york:903336
Abp_Reg_27_0004,,,Front flyleaf 1 (verso); Paper,,york:903337
Abp_Reg_27_0005,,,Front flyleaf 2 (recto); Paper,,york:903338
Abp_Reg_27_0006,,,Front flyleaf 2 (verso); Paper,,york:903339
Abp_Reg_27_0007,,,Contemporary front pastedown (recto),,york:903340
Abp_Reg_27_0008,,,Contemporary front pastedown (verso),,york:903341
Abp_Reg_27_0009,,,Contemporary front flyleaf (recto),,york:903342
Abp_Reg_27_0010,,,Contemporary front flyleaf (verso),,york:903343
Abp_Reg_27_0011,1,r,,,york:903344
Abp_Reg_27_0012,1,v,,,york:903345
Abp_Reg_27_0013,2,r,,,york:903346
Abp_Reg_27_0014,2,v,,,york:903347
Abp_Reg_27_0015,3,r,,,york:903348
Abp_Reg_27_0016,3,v,,,york:903349
Abp_Reg_27_0017,4,r,,,york:903350
Abp_Reg_27_0018,4,v,,,york:903351
Abp_Reg_27_0019,5,r,,,york:903352
Abp_Reg_27_0020,5,v,,,york:903353
Abp_Reg_27_0021,6,r,,,york:903354
Abp_Reg_27_0022,6,v,,,york:903355
Abp_Reg_27_0023,7,r,,,york:903356
Abp_Reg_27_0024,7,v,,,york:903357
Abp_Reg_27_0025,8,r,,,york:903358
Abp_Reg_27_0026,8,v,,,york:903359
Abp_Reg_27_0027,9,r,,,york:903360
Abp_Reg_27_0028,9,v,,,york:903361
Abp_Reg_27_0029,10,r,,,york:903362
Abp_Reg_27_0030,10,v,,,york:903363
Abp_Reg_27_0031,11,r,,,york:903364
Abp_Reg_27_0032,11,v,,,york:903365
Abp_Reg_27_0033,12,r,,,york:903366
Abp_Reg_27_0034,12,v,,,york:903367
Abp_Reg_27_0035,13,r,,,york:903368
Abp_Reg_27_0036,13,v,,,york:903369
Abp_Reg_27_0037,14,r,,,york:903370
Abp_Reg_27_0038,14,v,,,york:903371
Abp_Reg_27_0039,15,r,,,york:903372
Abp_Reg_27_0040,15,v,,,york:903373
Abp_Reg_27_0041,16,r,,,york:903374
Abp_Reg_27_0042,16,v,,,york:903375
Abp_Reg_27_0043,17,r,,,york:903376
Abp_Reg_27_0044,17,v,,,york:903377
Abp_Reg_27_0045,18,r,,,york:903378
Abp_Reg_27_0046,18,v,,,york:903379
Abp_Reg_27_0047,19,r,,,york:903380
Abp_Reg_27_0048,19,v,,,york:903381
Abp_Reg_27_0049,20,r,,,york:903382
Abp_Reg_27_0050,20,v,,,york:903383
Abp_Reg_27_0051,21,r,,,york:903384
Abp_Reg_27_0052,21,v,,,york:903385
Abp_Reg_27_0053,22,r,,,york:903386
Abp_Reg_27_0054,22,v,,,york:903387
Abp_Reg_27_0055,23,r,,,york:903388
Abp_Reg_27_0056,23,v,,,york:903389
Abp_Reg_27_0057,24,r,,,york:903390
Abp_Reg_27_0058,24,v,,,york:903391
Abp_Reg_27_0059,25,r,,,york:903392
Abp_Reg_27_0060,25,v,,,york:903393
Abp_Reg_27_0061,26,r,,,york:903394
Abp_Reg_27_0062,26,v,,,york:903395
Abp_Reg_27_0063,27,r,,,york:903396
Abp_Reg_27_0064,27,v,,,york:903397
Abp_Reg_27_0065,28,r,,,york:903398
Abp_Reg_27_0066,28,v,,,york:903399
Abp_Reg_27_0067,29,r,,,york:903400
Abp_Reg_27_0068,29,v,,,york:903401
Abp_Reg_27_0069,30,r,,,york:903402
Abp_Reg_27_0070,30,v,,,york:903403
Abp_Reg_27_0071,31,r,,,york:903404
Abp_Reg_27_0072,31,v,,,york:903405
Abp_Reg_27_0073,32,r,,,york:903406
Abp_Reg_27_0074,32,v,,,york:903407
Abp_Reg_27_0075,33,r,,,york:903408
Abp_Reg_27_0076,33,v,,,york:903409
Abp_Reg_27_0077,34,r,,,york:903410
Abp_Reg_27_0078,34,v,,,york:903411
Abp_Reg_27_0079,35,r,,,york:903412
Abp_Reg_27_0080,35,v,,,york:903413
Abp_Reg_27_0081,36,r,,,york:903414
Abp_Reg_27_0082,36,v,,,york:903415
Abp_Reg_27_0083,37,r,,,york:903416
Abp_Reg_27_0084,37,v,,,york:903417
Abp_Reg_27_0085,38,r,,,york:903418
Abp_Reg_27_0086,38,v,,,york:903419
Abp_Reg_27_0087,39,r,,,york:903420
Abp_Reg_27_0088,39,v,,,york:903421
Abp_Reg_27_0089,40,r,,,york:903422
Abp_Reg_27_0090,40,v,,,york:903423
Abp_Reg_27_0091,41,r,,,york:903424
Abp_Reg_27_0092,41,v,,,york:903425
Abp_Reg_27_0093,42,r,,,york:903426
Abp_Reg_27_0094,42,v,,,york:903427
Abp_Reg_27_0095,43,r,,,york:903428
Abp_Reg_27_0096,43,v,,,york:903429
Abp_Reg_27_0097,44,r,,,york:903430
Abp_Reg_27_0098,44,v,,,york:903431
Abp_Reg_27_0099,45,r,,,york:903432
Abp_Reg_27_0100,45,v,,,york:903433
Abp_Reg_27_0101,46,r,,,york:903434
Abp_Reg_27_0102,46,v,,,york:903435
Abp_Reg_27_0103,47,r,,,york:903436
Abp_Reg_27_0104,47,v,,,york:903437
Abp_Reg_27_0105,48,r,,,york:903438
Abp_Reg_27_0106,48,v,,,york:903439
Abp_Reg_27_0107,49,r,,,york:903440
Abp_Reg_27_0108,49,v,,,york:903441
Abp_Reg_27_0109,50,r,,,york:903442
Abp_Reg_27_0110,50,v,,,york:903443
Abp_Reg_27_0111,51,r,,,york:903444
Abp_Reg_27_0112,51,v,,,york:903445
Abp_Reg_27_0113,52,r,,,york:903446
Abp_Reg_27_0114,52,v,,,york:903447
Abp_Reg_27_0115,53,r,,,york:903448
Abp_Reg_27_0116,53,v,,,york:903449
Abp_Reg_27_0117,54,r,,,york:903450
Abp_Reg_27_0118,54,v,,,york:903451
Abp_Reg_27_0119,55,r,,,york:903452
Abp_Reg_27_0120,55,v,,,york:903453
Abp_Reg_27_0121,56,r,,,york:903454
Abp_Reg_27_0122,56,v,,,york:903455
Abp_Reg_27_0123,57,r,,,york:903456
Abp_Reg_27_0124,57,v,,,york:903457
Abp_Reg_27_0125,58,r,,,york:903458
Abp_Reg_27_0126,58,v,,,york:903459
Abp_Reg_27_0127,59,r,,,york:903460
Abp_Reg_27_0128,59,v,,,york:903461
Abp_Reg_27_0129,60,r,,,york:903462
Abp_Reg_27_0130,60,v,,,york:903463
Abp_Reg_27_0131,61,r,,,york:903464
Abp_Reg_27_0132,61,v,,,york:903465
Abp_Reg_27_0133,62,r,,,york:903466
Abp_Reg_27_0134,62,v,,,york:903467
Abp_Reg_27_0135,63,r,,,york:903468
Abp_Reg_27_0136,63,v,,,york:903469
Abp_Reg_27_0137,64,r,,,york:903470
