Image,Folio,Recto/Verso,Notes,UV
Abp_Reg_31_0001,,,Outside of front board,
Abp_Reg_31_0002,,,Pastedown on inside of front board and pocket attached to inside of front board holding indices; Paper,
Abp_Reg_31_0003,i,r,"Index, Paper",
Abp_Reg_31_0004,i,v,"Index, Paper",
Abp_Reg_31_0005,ii,r,"Index, Paper",
Abp_Reg_31_0006,ii,v,"Index, Paper",
Abp_Reg_31_0007,iii,r,"Index, Paper",
Abp_Reg_31_0008,iii,v,"Index, Paper",
Abp_Reg_31_0009,iv,r,"Index, Paper",
Abp_Reg_31_0010,iv,v,"Index, Paper",
Abp_Reg_31_0011,,,Front flyleaf 1 (recto); Paper,
Abp_Reg_31_0012,,,Front flyleaf 1 (verso); Paper,
Abp_Reg_31_0013,,,Front flyleaf 2 (recto); Paper,
Abp_Reg_31_0014,,,Front flyleaf 2 (verso); Paper,
Abp_Reg_31_0015,,,Contemporary front flyleaf 1 (recto),
Abp_Reg_31_0016,,,Contemporary front flyleaf 1 (verso),
Abp_Reg_31_0017,,,Contemporary front flyleaf 2 (recto),
Abp_Reg_31_0018,,,Contemporary front flyleaf 2 (recto),UV
Abp_Reg_31_0019,,,Contemporary front flyleaf 2 (verso),
Abp_Reg_31_0020,,,Contemporary front flyleaf 3 (recto),
Abp_Reg_31_0021,,,Contemporary front flyleaf 3 (verso),
Abp_Reg_31_0022,,,Contemporary front flyleaf 4 (recto),
Abp_Reg_31_0023,,,Contemporary front flyleaf 4 (verso),
Abp_Reg_31_0024,1,r,,
Abp_Reg_31_0025,1,r,,UV
Abp_Reg_31_0026,1,v,,
Abp_Reg_31_0027,2,r,,
Abp_Reg_31_0028,2,v,,
Abp_Reg_31_0029,3,r,,
Abp_Reg_31_0030,3,v,,
Abp_Reg_31_0031,4,r,,
Abp_Reg_31_0032,4,v,,
Abp_Reg_31_0033,5,r,,
Abp_Reg_31_0034,5,v,,
Abp_Reg_31_0035,6,r,,
Abp_Reg_31_0036,6,v,,
Abp_Reg_31_0037,7,r,,
Abp_Reg_31_0038,7,v,,
Abp_Reg_31_0039,8,r,,
Abp_Reg_31_0040,8,v,,
Abp_Reg_31_0041,9,r,,
Abp_Reg_31_0042,9,v,,
Abp_Reg_31_0043,10,r,,
Abp_Reg_31_0044,10,v,,
Abp_Reg_31_0045,11,r,,
Abp_Reg_31_0046,11,v,,
Abp_Reg_31_0047,12,r,,
Abp_Reg_31_0048,12,v,,
Abp_Reg_31_0049,13,r,,
Abp_Reg_31_0050,13,v,,
Abp_Reg_31_0051,14,r,,
Abp_Reg_31_0052,14,v,,
Abp_Reg_31_0053,15,r,,
Abp_Reg_31_0054,15,v,,
Abp_Reg_31_0055,16,r,,
Abp_Reg_31_0056,16,v,,
Abp_Reg_31_0057,17,r,,
Abp_Reg_31_0058,17,v,,
Abp_Reg_31_0059,18,r,,
Abp_Reg_31_0060,18,v,,
Abp_Reg_31_0061,19,r,,
Abp_Reg_31_0062,19,v,,
Abp_Reg_31_0063,20,r,,
Abp_Reg_31_0064,20,v,,
Abp_Reg_31_0065,21,r,,
Abp_Reg_31_0066,21,v,,
Abp_Reg_31_0067,22,r,,
Abp_Reg_31_0068,22,v,,
Abp_Reg_31_0069,23,r,,
Abp_Reg_31_0070,23,v,,
Abp_Reg_31_0071,24,r,,
Abp_Reg_31_0072,24,v,,
Abp_Reg_31_0073,25,r,,
Abp_Reg_31_0074,25,v,,
Abp_Reg_31_0075,26,r,,
Abp_Reg_31_0076,26,v,,
Abp_Reg_31_0077,27,r,,
Abp_Reg_31_0078,27,v,,
Abp_Reg_31_0079,28,r,,
Abp_Reg_31_0080,28,v,,
Abp_Reg_31_0081,29,r,,
Abp_Reg_31_0082,29,v,,
Abp_Reg_31_0083,30,r,,
Abp_Reg_31_0084,30,v,,
