Image,folio,recto/verso,Notes,UV,PID
Abp_Reg_32_0001,,,Outside of front board,,york:856118
Abp_Reg_32_0002,,,Pastedown on inside of front board; Paper,,york:856119
Abp_Reg_32_0003,,,Front flyleaf 1 (recto); Paper,,york:856120
Abp_Reg_32_0004,,,Front flyleaf 1 (verso); Paper,,york:856121
Abp_Reg_32_0005,,,Front flyleaf 2 (recto); Paper,,york:856122
Abp_Reg_32_0006,,,Front flyleaf 2 (verso); Paper,,york:856123
Abp_Reg_32_0007,,,Front flyleaf 3 (recto); Paper,,york:856124
Abp_Reg_32_0008,,,Front flyleaf 3 (verso); Paper,,york:856125
Abp_Reg_32_0009,i,r,Index; Paper,,york:856126
Abp_Reg_32_0010,i,v,Index; Paper,,york:856127
Abp_Reg_32_0011,ii,r,Index; Paper,,york:856128
Abp_Reg_32_0012,ii,v,Index; Paper,,york:856129
Abp_Reg_32_0013,iii,r,Index; Paper,,york:856130
Abp_Reg_32_0014,iii,v,Index; Paper,,york:856131
Abp_Reg_32_0015,iv,r,Index; Paper,,york:856132
Abp_Reg_32_0016,iv,v,Index; Paper,,york:856133
Abp_Reg_32_0017,v,r,Index; Paper,,york:856134
Abp_Reg_32_0018,v,r,Index; Paper,UV,york:856135
Abp_Reg_32_0019,v,v,Index; Paper,,york:856136
Abp_Reg_32_0020,vi,r,Index; Paper,,york:856137
Abp_Reg_32_0021,vi,v,Index; Paper,,york:856138
Abp_Reg_32_0022,vii,r,Index; Paper,,york:856139
Abp_Reg_32_0023,vii,v,Index; Paper,,york:856140
Abp_Reg_32_0024,viii,r,Index; Paper,,york:856141
Abp_Reg_32_0025,viii,v,Index; Paper,,york:856142
Abp_Reg_32_0026,ix,r,Index; Paper,,york:856143
Abp_Reg_32_0027,ix,v,Index; Paper,,york:856144
Abp_Reg_32_0028,x,r,Index; Paper,,york:856145
Abp_Reg_32_0029,x,v,Index; Paper,,york:856146
Abp_Reg_32_0030,xi,r,Index; Paper,,york:856147
Abp_Reg_32_0031,xi,v,Index; Paper,,york:856148
Abp_Reg_32_0032,1,r,,,york:856149
Abp_Reg_32_0033,1,v,,,york:856150
Abp_Reg_32_0034,2,r,,,york:856151
Abp_Reg_32_0035,2,v,,,york:856152
Abp_Reg_32_0036,3,r,,,york:856153
Abp_Reg_32_0037,3,v,,,york:856154
Abp_Reg_32_0038,4,r,,,york:856155
Abp_Reg_32_0039,4,v,,,york:856156
Abp_Reg_32_0040,5,r,,,york:856157
Abp_Reg_32_0041,5,v,,,york:856158
Abp_Reg_32_0042,6,r,,,york:856159
Abp_Reg_32_0043,6,v,,,york:856160
Abp_Reg_32_0044,7,r,,,york:856161
Abp_Reg_32_0045,7,v,,,york:856162
Abp_Reg_32_0046,8,r,,,york:856163
Abp_Reg_32_0047,8,v,,,york:856164
Abp_Reg_32_0048,9,r,,,york:856165
Abp_Reg_32_0049,9,v,,,york:856166
Abp_Reg_32_0050,10,r,,,york:856167
Abp_Reg_32_0051,10,v,,,york:856168
Abp_Reg_32_0052,11,r,,,york:856169
Abp_Reg_32_0053,11,v,,,york:856170
Abp_Reg_32_0054,12,r,,,york:856171
Abp_Reg_32_0055,12,v,,,york:856172
Abp_Reg_32_0056,13,r,,,york:856173
Abp_Reg_32_0057,13,v,,,york:856174
Abp_Reg_32_0058,14,r,,,york:856175
Abp_Reg_32_0059,14,v,,,york:856176
Abp_Reg_32_0060,15,r,,,york:856177
Abp_Reg_32_0061,15,v,,,york:856178
Abp_Reg_32_0062,16,r,,,york:856179
Abp_Reg_32_0063,16,v,,,york:856180
Abp_Reg_32_0064,17,r,,,york:856181
Abp_Reg_32_0065,17,v,,,york:856182
Abp_Reg_32_0066,18,r,,,york:856183
Abp_Reg_32_0067,18,v,,,york:856184
Abp_Reg_32_0068,19,r,,,york:856185
Abp_Reg_32_0069,19,v,,,york:856186
Abp_Reg_32_0070,20,r,,,york:856187
Abp_Reg_32_0071,20,v,,,york:856188
Abp_Reg_32_0072,21,r,,,york:856189
Abp_Reg_32_0073,21,v,,,york:856190
Abp_Reg_32_0074,22,r,,,york:856191
Abp_Reg_32_0075,22,v,,,york:856192
Abp_Reg_32_0076,23,r,,,york:856193
Abp_Reg_32_0077,23,v,,,york:856194
Abp_Reg_32_0078,24,r,,,york:856195
Abp_Reg_32_0079,24,v,,,york:856196
Abp_Reg_32_0080,25,r,,,york:856197
Abp_Reg_32_0081,25,v,,,york:856198
Abp_Reg_32_0082,26,r,,,york:856199
Abp_Reg_32_0083,26,v,,,york:856200
Abp_Reg_32_0084,27,r,,,york:856201
Abp_Reg_32_0085,27,v,,,york:856202
Abp_Reg_32_0086,28,r,,,york:856203
Abp_Reg_32_0087,28,v,,,york:856204
Abp_Reg_32_0088,29,r,,,york:856205
Abp_Reg_32_0089,29,v,,,york:856206
Abp_Reg_32_0090,30,r,,,york:856207
Abp_Reg_32_0091,30,v,,,york:856208
Abp_Reg_32_0092,31,r,,,york:856209
Abp_Reg_32_0093,31,v,,,york:856210
Abp_Reg_32_0094,32,r,,,york:856211
Abp_Reg_32_0095,32,v,,,york:856212
Abp_Reg_32_0096,33,r,,,york:856213
Abp_Reg_32_0097,33,v,,,york:856214
