Image,folio,recto/verso,Notes,UV,PID
Inst_AB_01_0001,,,Outside of front board,,york:906785
Inst_AB_01_0002,,,Pastedown on inside of front board,,york:906786
Inst_AB_01_0003,,,Front flyleaf 1 (recto),,york:906787
Inst_AB_01_0004,,,Front flyleaf 1 (verso),,york:906788
Inst_AB_01_0005,,,Front flyleaf 2 (recto),,york:906789
Inst_AB_01_0006,,,Front flyleaf 2 (verso),,york:906790
Inst_AB_01_0007,,,Outside of front cover of contemporary limp parchment case,,york:906791
Inst_AB_01_0008,,,Inside of front cover of contemporary limp parchment case,,york:906792
Inst_AB_01_0009,1A,v,Parchment,,york:906793
Inst_AB_01_0010,1A,r,Parchment,,york:906794
Inst_AB_01_0011,1A,r,Parchment,UV,york:906795
Inst_AB_01_0012,1A,v,Parchment,,york:906796
Inst_AB_01_0013,1A,v,Parchment,UV,york:906797
Inst_AB_01_0014,1A,v,Parchment,,york:906798
Inst_AB_01_0015,1,r,Guard,,york:906799
Inst_AB_01_0016,1A,v,Guard,,york:906800
Inst_AB_01_0017,1,r,,,york:906801
Inst_AB_01_0018,1,v,,,york:906802
Inst_AB_01_0019,2,r,,,york:906803
Inst_AB_01_0020,2,v,,,york:906804
Inst_AB_01_0021,3,r,,,york:906805
Inst_AB_01_0022,3,v,,,york:906806
Inst_AB_01_0023,4,r,,,york:906807
Inst_AB_01_0024,4,v,,,york:906808
Inst_AB_01_0025,6,r,No folio 5,,york:906809
Inst_AB_01_0026,6,v,,,york:906810
Inst_AB_01_0027,7,r,,,york:906811
Inst_AB_01_0028,7,v,,,york:906812
Inst_AB_01_0029,9,r,No folio 8,,york:906813
Inst_AB_01_0030,9,v,,,york:906814
Inst_AB_01_0031,10,r,,,york:906815
Inst_AB_01_0032,10,v,,,york:906816
Inst_AB_01_0033,11,r,,,york:906817
Inst_AB_01_0034,11,v,,,york:906818
Inst_AB_01_0035,12,r,,,york:906819
Inst_AB_01_0036,12,v,,,york:906820
Inst_AB_01_0037,13,r,,,york:906821
Inst_AB_01_0038,13,v,,,york:906822
Inst_AB_01_0039,14,r,,,york:906823
Inst_AB_01_0040,14,v,,,york:906824
Inst_AB_01_0041,15,r,,,york:906825
Inst_AB_01_0042,15,v,,,york:906826
Inst_AB_01_0043,16,r,,,york:906827
Inst_AB_01_0044,16,v,,,york:906828
Inst_AB_01_0045,17,r,,,york:906829
Inst_AB_01_0046,17,v,,,york:906830
Inst_AB_01_0047,18,r,,,york:906831
Inst_AB_01_0048,18,v,,,york:906832
Inst_AB_01_0049,19,r,,,york:906833
Inst_AB_01_0050,19,v,,,york:906834
Inst_AB_01_0051,20,r,,,york:906835
Inst_AB_01_0052,20,v,,,york:906836
Inst_AB_01_0053,21,r,,,york:906837
Inst_AB_01_0054,21,v,,,york:906838
Inst_AB_01_0055,22,r,,,york:906839
Inst_AB_01_0056,22,v,,,york:906840
Inst_AB_01_0057,23,r,,,york:906841
Inst_AB_01_0058,23,v,,,york:906842
Inst_AB_01_0059,24,r,,,york:906843
Inst_AB_01_0060,24,v,,,york:906844
Inst_AB_01_0061,25,r,,,york:906845
Inst_AB_01_0062,25,v,,,york:906846
Inst_AB_01_0063,26,r,,,york:906847
Inst_AB_01_0064,26,v,,,york:906848
Inst_AB_01_0065,27,r,,,york:906849
Inst_AB_01_0066,27,v,,,york:906850
Inst_AB_01_0067,28,r,,,york:906851
Inst_AB_01_0068,28,v,,,york:906852
Inst_AB_01_0069,29,r,,,york:906853
Inst_AB_01_0070,29,v,,,york:906854
Inst_AB_01_0071,30,r,,,york:906855
Inst_AB_01_0072,30,v,,,york:906856
Inst_AB_01_0073,31,r,,,york:906857
Inst_AB_01_0074,31,v,,,york:906858
Inst_AB_01_0075,32,r,,,york:906859
Inst_AB_01_0076,32,v,,,york:906860
Inst_AB_01_0077,33,r,,,york:906861
Inst_AB_01_0078,33,v,,,york:906862
Inst_AB_01_0079,34,r,,,york:906863
Inst_AB_01_0080,34,v,,,york:906864
Inst_AB_01_0081,35,r,,,york:906865
Inst_AB_01_0082,35,v,,,york:906866
Inst_AB_01_0083,36,r,,,york:906867
Inst_AB_01_0084,36,v,,,york:906868
Inst_AB_01_0085,37,r,,,york:906869
Inst_AB_01_0086,37,v,,,york:906870
Inst_AB_01_0087,38,r,,,york:906871
Inst_AB_01_0088,38,v,,,york:906872
Inst_AB_01_0089,39,r,,,york:906873
Inst_AB_01_0090,39,v,,,york:906874
Inst_AB_01_0091,40,r,,,york:906875
Inst_AB_01_0092,40,v,,,york:906876
Inst_AB_01_0093,41,r,,,york:906877
Inst_AB_01_0094,41,v,,,york:906878
Inst_AB_01_0095,42,r,,,york:906879
Inst_AB_01_0096,42,v,,,york:906880
Inst_AB_01_0097,43,r,,,york:906881
Inst_AB_01_0098,43,v,,,york:906882
Inst_AB_01_0099,44,r,,,york:906883
Inst_AB_01_0100,44,v,,,york:906884
Inst_AB_01_0101,45,r,,,york:906885
Inst_AB_01_0102,45,v,,,york:906886
Inst_AB_01_0103,46,r,,,york:906887
Inst_AB_01_0104,46,v,,,york:906888
