Image,folio,recto/verso,Notes,Part,UV,PID
Inst_AB_02_0001,,,Outside of front board,,,york:907265
Inst_AB_02_0002,,,Pastedown on inside of front board,,,york:907266
Inst_AB_02_0003,,,Front flyleaf 1 (recto),,,york:907267
Inst_AB_02_0004,,,Front flyleaf 1 (verso),,,york:907268
Inst_AB_02_0005,,,Extract from Public Record Office State Papers 12/10 p.183 (verso),,,york:907269
Inst_AB_02_0006,,,Extract from Public Record Office State Papers 12/10 p.183 (recto 1),,,york:907270
Inst_AB_02_0007,,,Extract from Public Record Office State Papers 12/10 p.183 (recto 2),,,york:907271
Inst_AB_02_0008,,,Front flyleaf 2 (verso),,,york:907272
Inst_AB_02_0009,,,Outside of front cover of contemporary limp parchment case,Part i,,york:907273
Inst_AB_02_0010,,,Inside of front cover of contemporary limp parchment case,Part i,,york:907274
Inst_AB_02_0011,,,Contemporary front flyleaf (recto),Part i,,york:907275
Inst_AB_02_0012,,,Contemporary front flyleaf (verso),Part i,,york:907276
Inst_AB_02_0013,1,r,,Part i,,york:907277
Inst_AB_02_0014,1,v,,Part i,,york:907278
Inst_AB_02_0015,2,r,,Part i,,york:907279
Inst_AB_02_0016,2,v,,Part i,,york:907280
Inst_AB_02_0017,3,r,,Part i,,york:907281
Inst_AB_02_0018,3,v,,Part i,,york:907282
Inst_AB_02_0019,4,r,,Part i,,york:907283
Inst_AB_02_0020,4,v,,Part i,,york:907284
Inst_AB_02_0021,5,r,,Part i,,york:907285
Inst_AB_02_0022,5,v,,Part i,,york:907286
Inst_AB_02_0023,6,r,,Part i,,york:907287
Inst_AB_02_0024,6,v,,Part i,,york:907288
Inst_AB_02_0025,7,r,,Part i,,york:907289
Inst_AB_02_0026,7,v,,Part i,,york:907290
Inst_AB_02_0027,8,r,,Part i,,york:907291
Inst_AB_02_0028,8,v,,Part i,,york:907292
Inst_AB_02_0029,9,r,,Part i,,york:907293
Inst_AB_02_0030,9,r,,Part i,,york:907294
Inst_AB_02_0031,10,v,,Part i,,york:907295
Inst_AB_02_0032,10,r,,Part i,,york:907296
Inst_AB_02_0033,11,v,,Part i,,york:907297
Inst_AB_02_0034,11,r,,Part i,,york:907298
Inst_AB_02_0035,12,v,,Part i,,york:907299
Inst_AB_02_0036,12,r,,Part i,,york:907300
Inst_AB_02_0037,13,v,,Part i,,york:907301
Inst_AB_02_0038,13,r,,Part i,,york:907302
Inst_AB_02_0039,14,v,,Part i,,york:907303
Inst_AB_02_0040,14,r,,Part i,,york:907304
Inst_AB_02_0041,15,v,,Part i,,york:907305
Inst_AB_02_0042,15,r,,Part i,,york:907306
Inst_AB_02_0043,16,v,,Part i,,york:907307
Inst_AB_02_0044,16,r,,Part i,,york:907308
Inst_AB_02_0045,17,v,,Part i,,york:907309
Inst_AB_02_0046,17,r,,Part i,,york:907310
Inst_AB_02_0047,18,r,,Part i,,york:907311
Inst_AB_02_0048,18,v,,Part i,,york:907312
Inst_AB_02_0049,19,r,,Part i,,york:907313
Inst_AB_02_0050,19,v,,Part i,,york:907314
Inst_AB_02_0051,20,r,,Part i,,york:907315
Inst_AB_02_0052,20,v,,Part i,,york:907316
Inst_AB_02_0053,21,r,,Part i,,york:907317
Inst_AB_02_0054,21,v,,Part i,,york:907318
Inst_AB_02_0055,22,r,,Part i,,york:907319
Inst_AB_02_0056,22,v,,Part i,,york:907320
Inst_AB_02_0057,23,r,,Part i,,york:907321
Inst_AB_02_0058,23,v,,Part i,,york:907322
Inst_AB_02_0059,24,r,,Part i,,york:907323
Inst_AB_02_0060,24,v,,Part i,,york:907324
Inst_AB_02_0061,25,r,,Part i,,york:907325
Inst_AB_02_0062,25,v,,Part i,,york:907326
Inst_AB_02_0063,26,r,,Part i,,york:907327
Inst_AB_02_0064,26,r,,Part i,,york:907328
Inst_AB_02_0065,27,v,,Part i,,york:907329
Inst_AB_02_0066,27,r,,Part i,,york:907330
Inst_AB_02_0067,28,v,,Part i,,york:907331
Inst_AB_02_0068,28,r,,Part i,,york:907332
Inst_AB_02_0069,29,v,,Part i,,york:907333
Inst_AB_02_0070,29,r,,Part i,,york:907334
Inst_AB_02_0071,30,v,,Part i,,york:907335
Inst_AB_02_0072,30,r,,Part i,,york:907336
