Abp Reg 20,Abp Reg 20: William Booth (1452-1464),1452-1464,,"http://dlib.york.ac.uk/cgi-bin/iipsrv.fcgi?IIIF=/usr/digilib-webdocs/digilibImages/HOA/current/A/20151223/Abp_Reg_20_0247.jp2/4700,1000,1000,1000/200,/0/default.jpg",22,h702q6403,855470
Abp Reg 21,Abp Reg 21: George Neville (1465-1476) Part I [register extra diocesim],1465-1476,Abp Reg 21 is bound together with Abp Reg 17 in one volume,"http://dlib.york.ac.uk/cgi-bin/iipsrv.fcgi?IIIF=/usr/digilib-webdocs/digilibImages/HOA/current/A/20151216/Abp_Reg_21_0040.jp2/2200,650,1100,1100/200,/0/default.jpg",23,h702q6403,855470
Abp Reg 22,Abp Reg 22: George Neville (1465-1476) Part II,1465-1476,,"http://dlib.york.ac.uk/cgi-bin/iipsrv.fcgi?IIIF=/usr/digilib-webdocs/digilibImages/HOA/current/A/20151219/Abp_Reg_22_0009.jp2/1600,3700,2200,2200/200,/0/default.jpg",24,h702q6403,855470
Abp Reg 23,Abp Reg 23: Thomas Rotherham (1480-1500),1480-1500,,"http://dlib.york.ac.uk/cgi-bin/iipsrv.fcgi?IIIF=/usr/digilib-webdocs/digilibImages/HOA/current/A/20151222/Abp_Reg_23_0236.jp2/2500,1200,500,500/200,/0/default.jpg",25,h702q6403,855470
Abp Reg 24,Abp Reg 24: Thomas Rotherham (1480-1500),1480-1500,,"http://dlib.york.ac.uk/cgi-bin/iipsrv.fcgi?IIIF=/usr/digilib-webdocs/digilibImages/HOA/current/A/20151214/Abp_Reg_24_0106.jp2/1500,650,1100,1100/200,/0/default.jpg",26,h702q6403,855470
Abp Reg 25,Abp Reg 25: Thomas Savage (1501-1507),1501-1507,,"http://dlib.york.ac.uk/cgi-bin/iipsrv.fcgi?IIIF=/usr/digilib-webdocs/digilibImages/HOA/current/A/20151214/Abp_Reg_25_0010.jp2/400,700,1000,1000/200,/0/default.jpg",27,h702q6403,855470
Abp Reg 26,Abp Reg 26: Christopher Bainbridge (1508-1514):  Sede Vacante Register 1514,1508-1514,,"http://dlib.york.ac.uk/cgi-bin/iipsrv.fcgi?IIIF=/usr/digilib-webdocs/digilibImages/HOA/current/A/20151215/Abp_Reg_26_0223.jp2/1800,2700,2700,2700/200,/0/default.jpg",28,h702q6403,855470
Abp Reg 28,Abp Reg 28: Edward Lee (1531-1544),1531-1544,,"http://dlib.york.ac.uk/cgi-bin/iipsrv.fcgi?IIIF=/usr/digilib-webdocs/digilibImages/HOA/current/A/20151219/Abp_Reg_28_0249.jp2/0,400,1800,1800/200,/0/default.jpg",30,h702q6403,855470
Abp Reg 29,Abp Reg 29: Robert Holgate (1545-1554):  Nicholas Heath (1555-1559),1545-1559,,"http://dlib.york.ac.uk/cgi-bin/iipsrv.fcgi?IIIF=/usr/digilib-webdocs/digilibImages/HOA/current/A/20151215/Abp_Reg_29_0022.jp2/1700,6000,800,800/200,/0/default.jpg",31,h702q6403,855470
Abp Reg 30,Abp Reg 30: Thomas Young (1561-1568):  Sede Vacante Register (1568-1570):  Edmund Grindal (1570-1576),1561-1576,,"http://dlib.york.ac.uk/cgi-bin/iipsrv.fcgi?IIIF=/usr/digilib-webdocs/digilibImages/HOA/current/A/20151217/Abp_Reg_30_0239.jp2/2700,4900,500,500/200,/0/default.jpg",32,h702q6403,855470
