Abp Reg 1A,Abp Reg 1A: Walter de Gray (1215-1255) Major roll 1225-1235,1225-1235,,"http://dlib.york.ac.uk/cgi-bin/iipsrv.fcgi?IIIF=/usr/digilib-webdocs/digilibImages/HOA/current/A/20151203/Abp_Reg_01A_0043.jp2/200,900,1000,1000/200,/0/default.jpg",0,8w32r578c
Abp Reg 1B,Abp Reg 1B: Walter de Gray (1215-1255) Minor roll 1235-1255,1235-1255,,"http://dlib.york.ac.uk/cgi-bin/iipsrv.fcgi?IIIF=/usr/digilib-webdocs/digilibImages/HOA/current/A/20151203/Abp_Reg_01B_0028.jp2/300,2000,2600,3120/200,/0/default.jpg",1,8w32r578c
Abp Reg 2,Abp Reg 2: Walter Giffard (1266-1270),1266-1270,,"http://dlib.york.ac.uk/cgi-bin/iipsrv.fcgi?IIIF=/usr/digilib-webdocs/digilibImages/HOA/current/A/20151204/Abp_Reg_02_0307.jp2/0,300,2000,2000/200,/0/default.jpg",2,8w32r578c
Abp Reg 3,Abp Reg 3: Wiliam Wickwane (1279-1285),1279-1285,,"http://dlib.york.ac.uk/cgi-bin/iipsrv.fcgi?IIIF=/usr/digilib-webdocs/digilibImages/HOA/current/A/20151206/Abp_Reg_03_0277.jp2/1350,200,1600,1600/200,/0/default.jpg",3,8w32r578c
Abp Reg 4,Abp Reg 4: John Le Romeyn (1286-1296),1286-1296,,"http://dlib.york.ac.uk/cgi-bin/iipsrv.fcgi?IIIF=/usr/digilib-webdocs/digilibImages/HOA/current/A/20151206/Abp_Reg_04_0260.jp2/500,2500,3000,3000/200,/0/default.jpg",4,8w32r578c
Abp Reg 5,Abp Reg 5: Henry Neward (1298-1296),1298-1296,,"http://dlib.york.ac.uk/cgi-bin/iipsrv.fcgi?IIIF=/usr/digilib-webdocs/digilibImages/HOA/current/A/20151207/Abp_Reg_05_0023.jp2/0,6000,2000,2000/200,/0/default.jpg",5,8w32r578c
Abp Reg 6,Abp Reg 6: Thomas Corbridge (1300-1304),1300-1304,,"http://dlib.york.ac.uk/cgi-bin/iipsrv.fcgi?IIIF=/usr/digilib-webdocs/digilibImages/HOA/current/A/20151208/Abp_Reg_06_0284.jp2/300,4200,800,800/200,/0/default.jpg",7,8w32r578c
Abp Reg 8,Abp Reg 8: William Greenfield (1306-1315) Part II 1311-1315,1311-1315,,"http://dlib.york.ac.uk/cgi-bin/iipsrv.fcgi?IIIF=/usr/digilib-webdocs/digilibImages/HOA/current/A/20151208/Abp_Reg_08_0282.jp2/300,1800,2000,2000/200,/0/default.jpg",8,8w32r578c
Abp Reg 8A,Abp Reg 8A: William Greenfield (1306-1315),1306-1315,,"http://dlib.york.ac.uk/cgi-bin/iipsrv.fcgi?IIIF=/usr/digilib-webdocs/digilibImages/HOA/current/A/20151207/Abp_Reg_08A_0019.jp2/1100,1600,1400,1400/200,/0/default.jpg",9,8w32r578c
Abp Reg 8B,Abp Reg 8B: William Greenfield (1306-1315),1306-1315,,"http://dlib.york.ac.uk/cgi-bin/iipsrv.fcgi?IIIF=/usr/digilib-webdocs/digilibImages/HOA/current/A/20151207/Abp_Reg_08B_0001.jp2/0,4000,4515,4515/200,/270/default.jpg",10,8w32r578c
