New Folio No. and Face,Entry No.,Entry Part,Date Range-Standard-Start,Date Range-Standard-End,Date-Inferred,Date-Uncertain,Date-Approximate,Date-Type,Place-As Written,Place-Type,Place- Function,Date-Notes,Recited Date 1 Range-Standard-Start,Recited Date Range-Standard-End,Recited Date-Inferred,Recited Date-Uncertain,Recited Date-Approximate,Recited Date 1-Function,Recited Date 1-Place-As Written,Recited Date 1-Place-Type,Recited Date 1- Notes,Recited date 2-standard,Recited date 2-place-as written,Recited date 2-place – function,Recited date 2-place – type
1 r - 1 r,1,,1374-06-15,,,,,Document date,London',,Document dated at,,1374-06-14,,,,,,London',in hospitio ?habitationis domini de Nevell fratris nostri,,,,,
1 r - 1 r,2,a,1374-06-16,,,,,Document date,Claverynge,,Document dated at,"Annotated '48 Ed, 3.' in a later (?16th cent) hand",,,,,,,,,,,,,
1 r - 1 r,2,b,1374-06-16,,,,,Document date,Claverynge,,Document dated at,"Annotated '48 Ed, 3.' in a later (?16th cent) hand",,,,,,,,,,,,,
1 r - 1 r,3,,1374-07-30,,,,,Document date,Claveryng',,Document dated at,,,,,,,,,,,,,,
1 v - 1 v,4,,[1374-00-00],,,Yes,Yes,Document date,London',,Document dated at,"Undated, but document appears with others dated in 1374",1374-10-10,,,,,,London',in capella habitationis mee,,0000-07-04,"Orgonum, Avinionesis dioc.",,
1 v - 1 v,5,,1374-08-23,,,,,Document date,Claveryng',,Document dated at,,,,,,,,,,,,,,
1 v - 1 v,6,,1374-10-24,,,,,Document date,London',,Document dated at,,,,,,,,,,,,,,
1 v - 1 v,7,,1374-12-25,,,,,Document date,Thorpe iuxta Ebor',,Document dated at,,,,,,,,,,,,,,
2 r - 2 r,8,,1375-01-15,,,,,Document date,Thorpe iuxta Ebor',,Document dated at,,,,,,,,,,,,,,
2 r - 2 r,9,,1375-01-31,,,,,Document date,Thorpe iuxta Ebor',,Document dated at,,,,,,,,,,,,,,
2 r - 2 r,10,,1375-09-15,,,,,Document date,Cawode,,Document dated at,,,,,,,,,,,,,,
2 r - 2 r,11,,1375-09-15,,,,,Document date,Cawode,,Document dated at,,,,,,,,,,,,,,
2 r - 2 r,12,,1375-09-16,,,,,Document date,Cawod,,Document dated at,,,,,,,,,,,,,,
2 r - 2 r,13,,[1375-00-00],,,Yes,Yes,Document date,,,,"Undated, but document appears with others dated in 1375",,,,,,,,,,,,,
2 v - 3 r,14,,1376-11-26,,,,,Document date,Ebor',,Document dated at,,,,,,,,,,,,,,
3 r - 3 r,15,,1376-11-26,,,,,Document date,Ebor',,Document dated at,,,,,,,,,,,,,,
3 v - 3 v,16,,1375-06-15,,,,,Document date,Ebor',,Document dated at,,,,,,,,,,,,,,
3 v - 3 v,17,,1375-10-20,,,,,Memorandum date,Ebor',monastery of St Mary,Document dated at,,,,,,,,,,,,,,
3 v - 3 v,18,,[1375-00-00],,,Yes,Yes,Document date,,,,"Undated, ?incomplete, but document appears with others dated in 1375",,,,,,,,,,,,,
3 v - 3 v,19,,1379-03-23,,,,,Document date,Cawode,,Document dated at,,,,,,,,,,,,,,
3 v - 3 v,20,,1375-02-16,,,,,Event date,Ripon',church,Document dated at,,,,,,,,,,,,,,
4 r - 4 r,21,,1375-10-26,,,,,Memorandum date,Hemmyngburgh,parish church,Document dated at,,,,,,,,,,,,,,
4 r - 4 r,22,,[1375]-10-27,,,Yes,Yes,Memorandum date,Howeden',"manor, of bishop of Durham",Document dated at,"No year given, but presumably dated in 1375 (hand is the same as in entry 21 above)",,,,,,,,,,,,,
4 r - 4 r,23,,1375-12-31,,,,,Document date,Cawode,,Document dated at,,,,,,,,,,,,,,
4 r - 4 r,24,,1376-04-10,,,,,Document date,Cawode,,Document dated at,,,,,,,,,,,,,,
4 r - 4 r,25,,[1375]-08-13,,,Yes,Yes,Document date,Cawode,,Document dated at,"Year unclear in part, but probably 1375",,,,,,,,,,,,,
4 v - 4 v,26,,1376-05-09,,Yes,,,Document date,London',,Document dated at,"Date given as 'vij Idus maii anno domini predicto Et nostre cons' anno septimo', referring to bishop of Chichester's seventh year",,,,,,,,,,,,,
4 v - 4 v,27,,1376-05-11,,,,,Document date,London',"manor, of archbishop of York, near Westminster",Document dated at,,,,,,,,,,,,,,
4 v - 4 v,28,,1376-05-14,,,,,Document date,Westm',"manor, of archbishop of York, near Westminster",Document dated at,,,,,,,,,,,,,,
4 v - 4 v,29,,1376-08-01,,,,,Document date,Cawode,,Document dated at,,,,,,,,,,,,,,
4 v - 5 r,30,,1376-07-23,,,,,Document date,"Ebor', chapter",chapter house,Event place,,1375-10-15,,,,,,Thorp' iuxta Ebor',,,1375-10-16,"[York], chapter house",event date,
5 r - 5 r,31,,1376-08-08,,,,,Document date,Cawode,,Document dated at,,,,,,,,,,,,,,
5 r - 5 r,32,,1376-08-08,,,,,Document date,Cawode,,,,,,,,,,,,,,,,
5 r - 5 r,33,,1376-12-22,,,,,Document date,Cawode,,Document dated at,,,,,,,,,,,,,,
5 r - 5 v,34,,1377-04-04,,,,,Document date,Cawod,"manor, of archbishop of York",Document dated at,,1375-06-01,,,,,,Ripon',chapter house,,,,,
5 v - 5 v,35,,1377-03-17,,,,,Document date,Peyngtoun',"manor, of archbishop of York",Document dated at,,1377-03-03,,,,,,"London', Westm'","manor, of archbishop of York, near Westminster",,,,,
5v – 6r,36,,1377-06-07,,,,,Document date,Cawode,,Document dated at,,,,,,,,,,,,,,
6 r - 6 r,37,,1377-05-24,,,,,Document date,Cawod,,Document dated at,,,,,,,,,,,,,,
6 r - 6 r,38,,1377-08-14,,,,,Document date,Cawode,,Document dated at,,,,,,,,,,,,,,
6 r - 6 r,39,,1377-12-28,,,,,Document date,Cawod,"manor, of archbishop of York",Document dated at,,,,,,,,,,,,,,
6 r - 6 r,40,,[0000-00-00],,,,,Memorandum date,,,,"Undated, but document appears with others dated in late 1377 and early 1378",,,,,,,,,,,,,
6 v - 6 v,41,,[0000-00-00],,,,,Document date,,,,"Undated, but document appears with others dated in late 1377 and early 1378",,,,,,,,,,,,,
6 v - 6 v,42,,1378-03-24,,,,,Document date,Cawode,,,,1377-09-29,,,,,,Westm',,,,,,
6v  - 7 r,43,,1378-05-03,,,,,Document date,Cawode,,,,,,,,,,,,,,,,
7 r - 7 r,44,,1378-08-11,,,,,Document date,Cawode,,,,,,,,,,,,,,,,
7 r - 7 r,45,,1378-08-11,,,,,Memorandum date,Cawode,,,,,,,,,,,,,,,,
7 r - 7 r,46,,1378-11-18,,,,,Document date,Gloucestr',,,,,,,,,,,,,,,,
7 r - 7 r,47,,1378-11-18,,,,,Memorandum date,Gloucestr',,,,,,,,,,,,,,,,
7 r - 7 r,48,,1378-08-09,,,,,Document date,Cawode,,,,,,,,,,,,,,,,
7 r - 7 r,49,,1378-08-09,,,,,Memorandum date,Cawode,,,,,,,,,,,,,,,,
7 r - 7 r,50,,1379-02-02,,,,,Document date,Cawode,,,,,,,,,,,,,,,,
7 r - 7 v,51,,1379-06-21,,,,,Document date,Cawode,,,,,,,,,,,,,,,,
7 v - 7 v,52,,1379-06-20,,,,,Document date,Cawode,,,,[0000-00-00],,,,,,,,,,,,
7 v - 7 v,53,,1379-09-21,,,,,Document date,Cawode,,,,,,,,,,,,,,,,
7 v - 7 v,54,,1379-11-05,,,,,Event date,Cawode,in the chapel within the archbishop's manor,,,,,,,,,,,,,,,
