New Folio No. and Face,Position in volume,Format,Language,Entry No.,Entry Part,Section - Type,Subject - Main,Subject - Additional,Printed,(Do not include),Document Notes,Editors' Notes,Condition - Conservation Survey
1 r - 1 r,,Parchment,Latin,1,,"chapter, cathedral; chapter, collegiate",Exchange,,"Smith, Guide to Bishops' Registers, pp. 239-240",,,,Faint
1 r - 1 r,,Parchment,Latin,2,a,"chapter, cathedral; chapter, collegiate",Induction,of prebendary,,,,,Faint
1 r - 1 r,,Parchment,Latin,2,b,"chapter, cathedral; chapter, collegiate",Installation,of prebendary,,,,,Faint
1 r - 1 r,,Parchment,Latin,3,,"chapter, cathedral; chapter, collegiate",Inquisition,into defects of prebend (commission for),,,,,Faint
1 v - 1 v,,Parchment,Latin,4,,"chapter, cathedral; chapter, collegiate",Pall,letter to papal curia on receipt of,,,,,
1 v - 1 v,,Parchment,Latin,5,,"chapter, cathedral; chapter, collegiate",Admission,"of cardinal, into archdeaconry",,,,,
1 v - 1 v,,Parchment,Latin,6,,"chapter, cathedral; chapter, collegiate",Muniments,order to enquire into,,,,,
1 v - 1 v,,Parchment,Latin,7,,"chapter, cathedral; chapter, collegiate",Confessions,commission to hear,,,,,
2 r - 2 r,,Parchment,Latin,8,,"chapter, cathedral; chapter, collegiate",Taxation,"clerical tenth, collectors of (abbot and convent of St Mary,York), order to distrain ",,,,,
2 r - 2 r,,Parchment,Latin,9,,"chapter, cathedral; chapter, collegiate",Collation,to Ripon hospital,,,,,
2 r - 2 r,,Parchment,Latin,10,,"chapter, cathedral; chapter, collegiate",Collation,to prebend,,,,,
2 r - 2 r,,Parchment,Latin,11,,"chapter, cathedral; chapter, collegiate",Induction,of prebendary,,,,,
2 r - 2 r,,Parchment,Latin,12,,"chapter, cathedral; chapter, collegiate",Admission,"of Treasurer, into cathedral",,,,,
2 r - 2 r,,Parchment,Latin,13,,"chapter, cathedral; chapter, collegiate",Admission,of canon and prebendary,,,,,
2 v - 3 r,,Parchment,Latin,14,,"chapter, cathedral; chapter, collegiate",Ordination/Ordinances,for a Chapel,,,,,
3 r - 3 r,,Parchment,Latin,15,,"chapter, cathedral; chapter, collegiate",Subscription,to ordinances? Correction of error???,,,,,
3 v - 3 v,,Parchment,Latin,16,,"chapter, cathedral; chapter, collegiate",Testament,,"Testamenta, p. 94",,,,
3 v - 3 v,,Parchment,Latin,17,,"chapter, cathedral; chapter, collegiate",Probate,of testament (entry no. 16),,,,,
3 v - 3 v,,Parchment,Latin,18,,"chapter, cathedral; chapter, collegiate",Visitation,,,,,,
3 v - 3 v,,Parchment,Latin,19,,"chapter, cathedral; chapter, collegiate",Exchange,,,,,,
3 v - 3 v,,Parchment,Latin,20,,"chapter, cathedral; chapter, collegiate",Correction,,,,,,
4 r - 4 r,,Parchment,Latin,21,,"chapter, cathedral; chapter, collegiate",Confession and Submission,,,,,,
4 r - 4 r,,Parchment,Latin,22,,"chapter, cathedral; chapter, collegiate",Admission,of proctor?,,,,,
4 r - 4 r,,Parchment,Latin,23,,"chapter, cathedral; chapter, collegiate",Admission,of prebendary,,,,,
4 r - 4 r,,Parchment,Latin,24,,"chapter, cathedral; chapter, collegiate",Exchange,of prebends,,,,,
4 r - 4 r,,Parchment,Latin,25,,"chapter, cathedral; chapter, collegiate",Marriage,"between apostate and concubine, forbidding of",,,,,
4 v - 4 v,,Parchment,Latin,26,,"chapter, cathedral; chapter, collegiate",Admission?,of prebendary,,,,,
4 v - 4 v,,Parchment,Latin,27,,"chapter, cathedral; chapter, collegiate",Admission,of prebendary,,,,,
4 v - 4 v,,Parchment,Latin,28,,"chapter, cathedral; chapter, collegiate",Admission,of canon and prebendary (cardinal),,,,,
4 v - 4 v,,Parchment,Latin,29,,"chapter, cathedral; chapter, collegiate",Sequestration,"delivery of goods of Norwell prebend, Southwell, by sequestrator?",,,,,
4 v - 5 r,,Parchment,Latin,30,,"chapter, cathedral; chapter, collegiate",Visitation,certification of actions taken and not taken,,,,,
5 r - 5 r,,Parchment,Latin,31,,"chapter, cathedral; chapter, collegiate",Prayers,"for good weather, also state of king, for peace, and for state of whole realm, orders for",,,,,
5 r - 5 r,,Parchment,Latin,32,,"chapter, cathedral; chapter, collegiate",Prayers,"for good weather, also state of king, for peace, and for state of whole realm, orders for",,,,,
5 r - 5 r,,Parchment,Latin,33,,"chapter, cathedral; chapter, collegiate",Admission,of canon and prebendary,,,,,
5 r - 5 v,,Parchment,Latin,34,,"chapter, cathedral; chapter, collegiate",Tithes,"of sheaves and hay, confirmation of ordinances rel to",,,,,
5 v - 5 v,,Parchment,Latin,35,,"chapter, cathedral; chapter, collegiate",Exchange,,,,,,
5v-6r,,Parchment,Latin,36,,"chapter, cathedral; chapter, collegiate",Dispensation,for Chantry chaplain from canonical hours because Receiver,,,,,
6 r - 6 r,,Parchment,Latin,37,,"chapter, cathedral; chapter, collegiate",Induction,of prebendary,,,,,
6 r - 6 r,,Parchment,Latin,38,,"chapter, cathedral; chapter, collegiate",Admission,of canon and prebendary,,,,,
6 r - 6 r,,Parchment,Latin,39,,"chapter, cathedral; chapter, collegiate",Exchange,between prebendary and vicar,,,,,
6 r - 6 r,,Parchment,Latin,40,,"chapter, cathedral; chapter, collegiate",Exchange,between succentor and rector,,,,,
6 v - 6 v,,Parchment,Latin,41,,"chapter, cathedral; chapter, collegiate",Purgation,,,,,,
6 v - 6 v,,Parchment,Latin,42,,"chapter, cathedral; chapter, collegiate",Taxation,"appointment of collectors, two clerical tenths, 1378, York Province",,,,,
6v  - 7 r,,Parchment,Latin,43,,"chapter, cathedral; chapter, collegiate",Sequestration,"relaxation of, prebend",,,,,
7 r - 7 r,,Parchment,Latin,44,,"chapter, cathedral; chapter, collegiate",Admission?,"of canon, prebendary and sacrist",,,,,
7 r - 7 r,,Parchment,Latin,45,,"chapter, cathedral; chapter, collegiate",Induction,"of canon, prebendary and sacrist",,,,,
7 r - 7 r,,Parchment,Latin,46,,"chapter, cathedral; chapter, collegiate",Collation,to prebend,,,,,
7 r - 7 r,,Parchment,Latin,47,,"chapter, cathedral; chapter, collegiate",Induction,"to prebend, mandate for",,,,,
7 r - 7 r,,Parchment,Latin,48,,"chapter, cathedral; chapter, collegiate",Collation,to prebend,,,,,
7 r - 7 r,,Parchment,Latin,49,,"chapter, cathedral; chapter, collegiate",Induction,"to prebend, mandate for",,,,,
7 r - 7 r,,Parchment,Latin,50,,"chapter, cathedral; chapter, collegiate",Rents,"annual, 13 s 4 d, manor of Sculcoates, indenture rel to",,,,,
7 r - 7 v,,Parchment,Latin,51,,"chapter, cathedral; chapter, collegiate",Admission,of canon and prebendary,,,,,
7 v - 7 v,,Parchment,Latin,52,,"chapter, cathedral; chapter, collegiate",Taxation,"appointment of collectors, graduated clerical poll tax, 1379, York Province",,,,,
7 v - 7 v,,Parchment,Latin,53,,"chapter, cathedral; chapter, collegiate",Admission,of canon and prebendary,,,,,
7 v - 7 v,,Parchment,Latin,54,,"chapter, cathedral; chapter, collegiate",Collation/Conferral?,of canon and prebendary,,,,,
7 v - 7 v,,Parchment,Latin,55,,"chapter, cathedral; chapter, collegiate",Induction,of canon and prebendary,,,,,
8 r - 9 r,,Parchment,Latin,56,,"chapter, cathedral; chapter, collegiate",Ordination/Ordinances,for chantry,,,,,Obscured text - damage
9 r - 9 r,,Parchment,Latin,57,,"chapter, cathedral; chapter, collegiate",Collation,"of precentor, by biretta",,,,,
