New Folio No. ,Entry No.,Entry Part,Date Range - Standard - Start,Date Range - Standard - End,Date - Inferred,Date - Uncertain,Date - Approximate,Date - Type,Place - As Written,Place - Type,Date - Notes,Recited Date 1 Range - Standard - Start,Recited Date Range - Standard - End,Recited Date - Inferred,Recited Date - Uncertain,Recited Date - Approximate,Recited Date 1 - Type,Recited Date 1 - Place - As Written,Recited Date 1 - Place - Type,Recited Date 1- Notes,Recited date 2 - standard,Recited date 2 - place - as written,Recited date 2 - place - type
108 v - 108 v,1401,,[1375-00-00],[1376-00-00],,Yes,,Event date,,,"Undated, but document perhaps created between 1375 and 1376",,,,,,,,,,,,
108 v - 108 v,1402,,[1375-00-00],[1376-00-00],,Yes,,Event date,,,"Undated, but document perhaps created between 1375 and 1376",,,,,,,,,,,,
108 v - 108 v,1403,,[1375-00-00],[1376-00-00],,Yes,,Event date,,,"Undated, but document perhaps created between 1375 and 1376",,,,,,,,,,,,
108 v - 108 v,1404,,[1375-00-00],[1376-00-00],,Yes,,Event date,,,"Undated, but document perhaps created between 1375 and 1376",,,,,,,,,,,,
108 v - 108 v,1405,,[1375-00-00],[1376-00-00],,Yes,,Event date,,,"Undated, but document perhaps created between 1375 and 1376",,,,,,,,,,,,
108 v - 108 v,1406,,[1375-00-00],[1376-00-00],,Yes,,Event date,,,"Undated, but document perhaps created between 1375 and 1376",,,,,,,,,,,,
108 v - 108 v,1407,,[1375-00-00],[1376-00-00],,Yes,,Event date,,,"Undated, but document perhaps created between 1375 and 1376",,,,,,,,,,,,
108 v - 108 v,1408,,[1375-00-00],[1376-00-00],,Yes,,Event date,,,"Undated, but document perhaps created between 1375 and 1376",,,,,,,,,,,,
108 v - 108 v,1409,,[1375-00-00],[1376-00-00],,Yes,,Event date,,,"Undated, but document perhaps created between 1375 and 1376",,,,,,,,,,,,
108 v - 108 v,1410,,[1375-00-00],[1376-00-00],,Yes,,Event date,,,"Undated, but document perhaps created between 1375 and 1376",,,,,,,,,,,,
108 v - 108 v,1411,,[1375-00-00],[1376-00-00],,Yes,,Event date,,,"Undated, but document perhaps created between 1375 and 1376",,,,,,,,,,,,
108 v - 108 v,1412,,[1375-00-00],[1376-00-00],,Yes,,Event date,,,"Undated, but document perhaps created between 1375 and 1376",,,,,,,,,,,,
108 v - 108 v,1413,,[1375-00-00],[1376-00-00],,Yes,,Event date,,,"Undated, but document perhaps created between 1375 and 1376",,,,,,,,,,,,
108 v - 108 v,1414,,[1375-00-00],[1376-00-00],,Yes,,Event date,,,"Undated, but document perhaps created between 1375 and 1376",,,,,,,,,,,,
108 v - 108 v,1415,,[1375-00-00],[1376-00-00],,Yes,,Event date,,,"Undated, but document perhaps created between 1375 and 1376",,,,,,,,,,,,
108 v - 108 v,1416,,[1375-00-00],[1376-00-00],,Yes,,Event date,,,"Undated, but document perhaps created between 1375 and 1376",,,,,,,,,,,,
