unnumbered folio A r - unnumbered folio A v,Front cover,Parchment,Blank,,Latin,,Front cover,Name of 'Egidius Fenay' appears (?early 17th cent),,
unnumbered folio B r - unnumbered folio B v,Title page between cover and index,Parchment,Blank,,Latin,,Title page,Title (?early-mid 16th cent),  Name of 'Egidius Fenay' appears (?early 17th cent),  note (?date)
i r - i v,index between cover and folio 1,Paper,,,Latin,,index (17th cent),,,
ii r - ii v,index between cover and folio 1,Paper,,,Latin,,index (17th cent),,,
iii r - iii v,index between cover and folio 1,Paper,,,Latin,,index (17th cent),,,
iv r - iv v,index between cover and folio 1,Paper,,,Latin,,index (17th cent),,,
v r - v v,index between cover and folio 1,Paper,Blank,,Latin,,index (17th cent),,,
vi r - vi v,index between cover and folio 1,Paper,Blank,,Latin,,index (17th cent),,,
118 r - 118 r,,Parchment,,,Latin,,Ordinations,,,
118 v - 118 v,,Parchment,,,Latin,,Ordinations,,,
119 r - 119 r,,Parchment,,folio 119 r is torn (no loss of text),Latin,,Ordinations,,,
119 v - 119 v,,Parchment,,,Latin,,Ordinations,,,
120 r - 120 r,,Parchment,,,Latin,,Ordinations,,,
120 v - 120 v,,Parchment,,,Latin,,Ordinations,Noted by Smith (p.240),,
121 r - 121 r,,Parchment,,Obscured text - cockling,Latin,,Ordinations,,,
121 v - 121 v,,Parchment,,,Latin,,Ordinations,,,
122 r - 122 r,,Parchment,,Obscured text - cockling,Latin,,Ordinations,,,
122 v - 122 v,,Parchment,,,Latin,,Ordinations,,,
123 r - 123 r,,Parchment,,Obscured text - cockling,Latin,,Ordinations,,,
123 v - 123 v,,Parchment,,,Latin,,Ordinations,,,
124 r - 124 r,,Parchment,,,Latin,,Ordinations,,,
124 v - 124 v,,Parchment,,,Latin,,Ordinations,,,
125 r - 125 r,,Parchment,,,Latin,,Ordinations,,,
125 v - 125 v,,Parchment,,,Latin,,Ordinations,,,
126 r - 126 r,,Parchment,,,Latin,,Ordinations,"Smith states folio missing between fols. 138-139, but is this the case?",,
126 v - 126 v,,Parchment,,,Latin,,Ordinations,,,
127 r - 127 r,,Parchment,,,Latin,,Ordinations,,,
127 v - 127 v,,Parchment,,,Latin,,Ordinations,,,
128 r - 128 r,,Parchment,,hole,Latin,,Ordinations,,,
128 v - 128 v,,Parchment,,hole (v slight loss of text);   Obscured text – gutters,Latin,,Ordinations,,,
129 r - 129 r,,Parchment,,,Latin,,Ordinations,,,
129 v - 129 v,,Parchment,,Obscured text - gutters,Latin,,Ordinations,,,
130 r - 130 r,,Parchment,,,Latin,,Ordinations,,,
130 v - 130 v,,Parchment,,,Latin,,Ordinations,,,
131 r - 131 r,,Parchment,,,Latin,,Ordinations,,,
131 v - 131 v,,Parchment,,,Latin,,Ordinations,,,
132 r - 132 r,,Parchment,,,Latin,,Ordinations,,,
132 v - 132 v,,Parchment,,,Latin,,Ordinations,,,
133 A r - 133 A r,folio missing between folio 132 and folio 133,,,,,,,,,
133 r - 133 r,,Parchment,,,Latin,,Ordinations,,,
133 v - 133 v,,Parchment,,,Latin,,Ordinations,,,
134 r - 134 r,,Parchment,,Obscured text - damage,Latin,,Ordinations,,,
134 v - 134 v,,Parchment,,Obscured text - damage,Latin,,Ordinations,,,
135 r - 135 r,,Parchment,,,Latin,,Ordinations,,,
135 v - 135 v,,Parchment,,,Latin,,Ordinations,,,
136 r - 136 r,,Parchment,,,Latin,,Ordinations,,,
136 v - 136 v,,Parchment,,,Latin,,Ordinations,,,
137 r - 137 r,,Parchment,,,Latin,,Ordinations,,,
137 v - 137 v,,Parchment,,,Latin,,Ordinations,,,
138 r - 138 r,,Parchment,,foot missing,Latin,,Ordinations,,,
138 v - 138 v,,Parchment,,foot missing,Latin,,Ordinations,,,
139 r - 139 r,,Parchment,,foot missing;   r-h edge cut away (slight loss of text),Latin,,Ordinations,,,
139 v - 139 v,,Parchment,,foot missing;   r-h edge cut away (slight loss of text),Latin,,Ordinations,,,
140 r - 140 r,,Parchment,,,Latin,,Ordinations,,,
140 v - 140 v,,Parchment,,,Latin,,Ordinations,,,
141 r- 141 r,,Parchment,,,Latin,,Ordinations,,,
141 v - 141 v,,Parchment,,,Latin,,Ordinations,,,
142 r - 142 v,Back cover,Parchment,folio 142 r and folio 142 v are blank,,,,Back cover,,,
