New Folio No. ,Entry No.,Entry Part,Date Range - Standard - Start,Date Range - Standard - End,Date - Inferred,Date - Uncertain,Date - Approximate,Date - Type,Place - As Written,Place - Type,Date - Notes,Recited Date 1 Range - Standard - Start,Recited Date Range - Standard - End,Recited Date - Inferred,Recited Date - Uncertain,Recited Date - Approximate,Recited Date 1 - Type,Recited Date 1 - Place - As Written,Recited Date 1 - Place - Type,Recited Date 1- Notes,Recited date 2 - standard,Recited date 2 - place - as written,Recited date 2 - place - type,,
1,1,,1374-06-15,,,,,Document date,London',,,1374-06-14,,,,,,London',in hospitio ?habitationis domini de Nevell fratris nostri,,,,,,
1,2,,1374-06-16,,,,,Document date,Claverynge,,"Annotated '48 Ed, 3.' in a later (?16th cent) hand",,,,,,,,,,,,,,
1,3,,1374-07-30,,,,,Document date,Claveryng',,,,,,,,,,,,,,,,
1,4,,[1374-00-00],,,Yes,Yes,Document date,London',,"Undated, but document appears with others dated in 1374",1374-10-10,,,,,,London',in capella habitationis mee,,0000-07-04,"Orgonum, Avinionesis dioc.",,,
1,5,,1374-08-23,,,,,Document date,Claveryng',,,,,,,,,,,,,,,,
1,6,,1374-10-24,,,,,Document date,London',,,,,,,,,,,,,,,,
1,7,,1374-12-25,,,,,Document date,Thorpe iuxta Ebor',,,,,,,,,,,,,,,,
2,8,,1375-01-15,,,,,Document date,Thorpe iuxta Ebor',,,,,,,,,,,,,,,,
2,9,,1375-01-31,,,,,Document date,Thorpe iuxta Ebor',,,,,,,,,,,,,,,,
2,10,,1375-09-15,,,,,Document date,Cawode,,,,,,,,,,,,,,,,
2,11,,1375-09-15,,,,,Document date,Cawode,,,,,,,,,,,,,,,,
2,12,,1375-09-16,,,,,Document date,Cawod,,,,,,,,,,,,,,,,
2,13,,[1375-00-00],,,Yes,Yes,Document date,,,"Undated, but document appears with others dated in 1375",,,,,,,,,,,,,,
2,14,,1376-11-26,,,,,Document date,Ebor',,,,,,,,,,,,,,,,
3,15,,1376-11-26,,,,,Document date,Ebor',,,,,,,,,,,,,,,,
3,16,,1375-06-15,,,,,Document date,Ebor',,,,,,,,,,,,,,,,
3,17,,1375-10-20,,,,,Memorandum date,Ebor',monastery of St Mary,,,,,,,,,,,,,,,
3,18,,[1375-00-00],,,Yes,Yes,Document date,,,"Undated, ?incomplete, but document appears with others dated in 1375",,,,,,,,,,,,,,
3,19,,1379-03-23,,,,,Document date,Cawode,,,,,,,,,,,,,,,,
3,20,,1375-02-16,,,,,Event date,Ripon',church,,,,,,,,,,,,,,,
4,21,,1375-10-26,,,,,Memorandum date,Hemmyngburgh,parish church,,,,,,,,,,,,,,,
4,22,,[1375]-10-27,,,Yes,Yes,Memorandum date,Howeden',"manor, of bishop of Durham","No year given, but presumably dated in 1375 (hand is the same as in entry 21 above)",,,,,,,,,,,,,,
4,23,,1375-12-31,,,,,Document date,Cawode,,,,,,,,,,,,,,,,
4,24,,1376-04-10,,,,,Document date,Cawode,,,,,,,,,,,,,,,,
4,25,,[1375]-08-13,,,Yes,Yes,Document date,Cawode,,"Year unclear in part, but probably 1375",,,,,,,,,,,,,,
4,26,,1376-05-09,,Yes,,,Document date,London',,"Date given as 'vij Idus maii anno domini predicto Et nostre cons' anno septimo', referring to bishop of Chichester's seventh year",,,,,,,,,,,,,,
4,27,,1376-05-11,,,,,Document date,London',"manor, of archbishop of York, near Westminster",,,,,,,,,,,,,,,
4,28,,1376-05-14,,,,,Document date,Westm',"manor, of archbishop of York, near Westminster",,,,,,,,,,,,,,,
4v,29,,1376-08-01,,,,,Document date,Cawode,,,,,,,,,,,,,,,,
4v - 5r,30,,1376-07-23,,,,,Document date,"Ebor', chapter",chapter house,,1375-10-15,,,,,,Thorp' iuxta Ebor',,,1375-10-16,"[York], chapter house",event date,,
5,31,,1376-08-08,,,,,Document date,Cawode,,,,,,,,,,,,,,,,
5,32,,1376-08-08,,,,,Document date,Cawode,,,,,,,,,,,,,,,,
5,33,,1376-12-22,,,,,Document date,Cawode,,,,,,,,,,,,,,,,
5,34,,1377-04-04,,,,,Document date,Cawod,"manor, of archbishop of York",,1375-06-01,,,,,,Ripon',chapter house,,,,,,
5,35,,1377-03-17,,,,,Document date,Peyngtoun',"manor, of archbishop of York",,1377-03-03,,,,,,Westm',"manor, of archbishop of York, near Westminster",,,,,,
5,36,,1377-06-07,,,,,Document date,Cawode,,,,,,,,,,,,,,,,
6,37,,1377-05-24,,,,,Document date,Cawod,,,,,,,,,,,,,,,,
6,38,,1377-08-14,,,,,Document date,Cawode,,,,,,,,,,,,,,,,
6,39,,1377-12-28,,,,,Document date,Cawod,"manor, of archbishop of York",,,,,,,,,,,,,,,
6,40,,[0000-00-00],,,,,Memorandum date,,,"Undated, but document appears with others dated in late 1377 and early 1378",,,,,,,,,,,,,,
6,41,,[0000-00-00],,,,,Document date,,,"Undated, but document appears with others dated in late 1377 and early 1378",,,,,,,,,,,,,,
6,42,,1378-03-24,,,,,Document date,Cawode,,,1377-09-29,,,,,,Westm',,,,,,,
6,43,,1378-05-03,,,,,Document date,Cawode,,,,,,,,,,,,,,,,
7,44,,1378-08-11,,,,,Document date,Cawode,,,,,,,,,,,,,,,,
7,45,,1378-08-11,,,,,Memorandum date,Cawode,,,,,,,,,,,,,,,,
7,46,,1378-11-18,,,,,Document date,Gloucestr',,,,,,,,,,,,,,,,
7,47,,1378-11-18,,,,,Memorandum date,Gloucestr',,,,,,,,,,,,,,,,
7,48,,1378-08-09,,,,,Document date,Cawode,,,,,,,,,,,,,,,,
7,49,,1378-08-09,,,,,Memorandum date,Cawode,,,,,,,,,,,,,,,,
7,50,,1379-02-02,,,,,Document date,Cawode,,,,,,,,,,,,,,,,
7,51,,1379-06-21,,,,,Document date,Cawode,,,,,,,,,,,,,,,,
7,52,,1379-06-20,,,,,Document date,Cawode,,,[0000-00-00],,,,,,,,,,,,,
7,53,,1379-09-21,,,,,Document date,Cawode,,,,,,,,,,,,,,,,
7,54,,1379-11-05,,,,,Event date,Cawode,in the chapel within the archbishop's manor,,,,,,,,,,,,,,,
7,55,,1379-11-05,,,,,Memorandum date,[Cawod],,,,,,,,,,,,,,,,
8,56,,1379-08-12,,,,,Document date,Cawode,,,1378-08-12,,,,,,Beverl',,,1378-07-01,Westm',,1373-05-16,London'
9,57,,1379-11-03,,,,,Document date,Ripon',,,,,,,,,,,,,,,,
9,58,,1379-11-03,,,,,Document date,Ripon',,,,,,,,,,,,,,,,
9,59,,1379-11-09,,,,,Document date,Ripon',,,,,,,,,,,,,,,,
9,60,,1379-11-09,,,,,Memorandum date,Ripon',,,,,,,,,,,,,,,,
9,61,,1379-11-09,,,,,Document date,Ripon',,,,,,,,,,,,,,,,
9,62,,1379-11-09,,,,,Memorandum date,Ripon',,,,,,,,,,,,,,,,
9,63,,1379-12-08,,,,,Document date,Cawode,,,,,,,,,,,,,,,,
9,64,,1380-06-26,,,,,Document date,Cawode,,,,,,,,,,,,,,,,
9,65,,1379-12-24,,,,,Document date,Cawode,,,,,,,,,,,,,,,,
9,66,,1380-01-23,,,,,Document date,Westm',,,,,,,,,,,,,,,,
9,67,,1380-04-30,,,,,Document date,Gloucestr',,,,,,,,,,,,,,,,
9,68,,1380-12-01,,,,,Event date,Ripon',,,,,,,,,,,,,,,,
9,69,,1380-12-14,,,,,Document date,Cawode,,,,,,,,,,,,,,,,
10,70,,1381-01-11,,,,,Document date,Thorp iuxta Ebor',,,,,,,,,,,,,,,,
10,71,,1381-02-01,,,,,Document date,Cawode,,,,,,,,,,,,,,,,
10,72,,1381-02-03,,,,,Document date,Cawode,,,,,,,,,,,,,,,,
10,73,,1381-02-10,,,,,Document date,Cawode,,,,,,,,,,,,,,,,
10,74,,1381-02-10,,,,,Document date,Cawode,,,,,,,,,,,,,,,,
10,75,,1381-02-25,,,,,Document date,Beverlaco,in manerio nostro,,,,,,,,,,,,,,,
10,76,,1381-02-25,,,,,Memorandum date,Beverlaco,in manerio nostro,,,,,,,,,,,,,,,
10,77,,1381-02-25,,,,,Document date,Beverlaco,in manerio nostro,,,,,,,,,,,,,,,
10,78,,1381-02-25,,,,,Document date,Beverlaco,in manerio nostro,,,,,,,,,,,,,,,
10,79,,1381-02-25,,,,,Document date,Beverlaco,in manerio nostro,,,,,,,,,,,,,,,
10,80,,1381-02-25,,,,,Memorandum date,Beverlaco,in manerio nostro,,,,,,,,,,,,,,,
10,81,,1381-03-04,,,,,Document date,Beverl',in manerio nostro,,,,,,,,,,,,,,,
10,82,,1381-02-24,,,,,Document date,Beverlac',in manerio nostro,,1380-09-28,,,,,,Westm',,,,,,,
10,83,,1381-02-26,,,,,Document date,Beverlac',in manerio nostro,,1381-03-27,,,,,Event date,,,,,,,,
11,84,,1381-04-26,,,,,Document date,Beverlac',in manerio nostro,,,,,,,,,,,,,,,
11,85,,1381-05-29,,,,,Document date,Beverl',,,,,,,,,,,,,,,,
11,86,,1381-05-28,,,,,Document date,Beverl',in manerio nostro,,,,,,,,,,,,,,,
11,87,,1381-07-12,,,,,Document date,Beverlac',in manerio nostro,,,,,,,,,,,,,,,
11,88,,1381-07-06,,,,,Document date,Beverlac',,,,,,,,,,,,,,,,
11,89,,1381-07-20,,,,,Document date,Beverlacu',,,,,,,,,,,,,,,,
11,90,,1381-06-24,,,Yes,,Document date,Beverl',,"Dated 'in festo Sancti Johannis Bapte', presumably Nativity of St John the Baptist (24 June)",,,,,,,,,,,,,,
