New Folio No. and Face,Position in volume,Format,Language,Entry No.,Entry Part,Section - Type,Printed,Document Notes,Editors' Notes,Condition - Conservation Survey,Subject - Main heading 1,Subject - Sub-heading 1,Subject - Sub-sub-heading 1,Subject - Main heading 2,Subject - Sub-heading 2,Subject - Sub-sub-heading 2,Subject - Main heading 3,Subject - Sub-heading 3,Subject - Sub-sub-heading 3,Subject - Main heading 4,Subject - Sub-heading 4,Subject - Sub-sub-heading 4
1 r - 1 r,,Parchment,Latin,1,,Cathedral Chapter;Collegiate Chapter,,,,Faint,Benefice and office holding,Exchanges,,,,,,,,,,
1 r - 1 r,,Parchment,Latin,2,,Cathedral Chapter;Collegiate Chapter,,,,Faint,Benefice and office holding,Inductions,prebendary,Benefice and office holding,Installations,prebendary,,,,,,
1 r - 1 r,,Parchment,Latin,3,,Cathedral Chapter;Collegiate Chapter,,,,Faint,"Income, Revenues and Profits",Prebends,defects of,,,,,,,,,
1 v - 1 v,,Parchment,Latin,4,,Cathedral Chapter;Collegiate Chapter,,,,,Papacy,Pall,letter to papal curia on receipt of,,,,,,,,,
1 v - 1 v,,Parchment,Latin,5,,Cathedral Chapter;Collegiate Chapter,,,,,Benefice and office holding,Admissions,archdeacon,,,,,,,,,
1 v - 1 v,,Parchment,Latin,6,,Cathedral Chapter;Collegiate Chapter,,,,,Archives and manuscripts,Muniments,inquiries into,,,,,,,,,
1 v - 1 v,,Parchment,Latin,7,,Cathedral Chapter;Collegiate Chapter,,,,,"Rites, Sacraments, Sacramentals, Ceremonies and equipment",Confessions,commission to hear,,,,,,,,,
2 r - 2 r,,Parchment,Latin,8,,Cathedral Chapter;Collegiate Chapter,,,,,Taxation,Clerical taxation,"tenths, 1374, York province",,,,,,,,,
2 r - 2 r,,Parchment,Latin,9,,Cathedral Chapter;Collegiate Chapter,,,,,Benefice and office holding,Collations,master of hospital,,,,,,,,,
2 r - 2 r,,Parchment,Latin,10,,Cathedral Chapter;Collegiate Chapter,,,,,Benefice and office holding,Collations,prebendary,,,,,,,,,
2 r - 2 r,,Parchment,Latin,11,,Cathedral Chapter;Collegiate Chapter,,,,,Benefice and office holding,Inductions,prebendary,,,,,,,,,
2 r - 2 r,,Parchment,Latin,12,,Cathedral Chapter;Collegiate Chapter,,,,,Benefice and office holding,Admissions,treasurer,,,,,,,,,
2 r - 2 r,,Parchment,Latin,13,,Cathedral Chapter;Collegiate Chapter,,,,,Benefice and office holding,Admissions,canon and prebendary,,,,,,,,,
2 v - 3 r,,Parchment,Latin,14,,Cathedral Chapter;Collegiate Chapter,,,,,Benefices,Ordinances,chantry,,,,,,,,,
3 r - 3 r,,Parchment,Latin,15,,Cathedral Chapter;Collegiate Chapter,,"notarial subscription, correction of error",,,Benefices,Ordinances,,,,,,,,,,
3 v - 3 v,,Parchment,Latin,16,,Cathedral Chapter;Collegiate Chapter,"Testamenta, pp. 94-95",,,,"Courts, Ecclesiastical",Testament,,,,,,,,,,
3 v - 3 v,,Parchment,Latin,17,,Cathedral Chapter;Collegiate Chapter,"Testamenta, p. 95 (noted)",,,,"Courts, Ecclesiastical",Probate,testament,,,,,,,,,
3 v - 3 v,,Parchment,Latin,18,,Cathedral Chapter;Collegiate Chapter,,,,,Visitation,Visitations,forewarning of,Benefices,Spiritualities,,"Administrative Units, Ecclesiastical",Peculiars,lay,,,
3 v - 3 v,,Parchment,Latin,19,,Cathedral Chapter;Collegiate Chapter,,,,,Benefice and office holding,Exchanges,commission to expedite,,,,,,,,,
3 v - 3 v,,Parchment,Latin,20,,Cathedral Chapter;Collegiate Chapter,,,,,"Courts, Ecclesiastical",Correction,,"Sins, correction and forgiveness",Sins of flesh,,,,,,,
4 r - 4 r,,Parchment,Latin,21,,Cathedral Chapter;Collegiate Chapter,,for excommunication without archbishop's authority,,,"Sins, correction and forgiveness",Confession,,"Sins, correction and forgiveness",Submission,,"Sins, correction and forgiveness",Excommunication,,,,
4 r - 4 r,,Parchment,Latin,22,,Cathedral Chapter;Collegiate Chapter,,court of York,,,Benefice and office holding,Admissions,proctor,,,,,,,,,
4 r - 4 r,,Parchment,Latin,23,,Cathedral Chapter;Collegiate Chapter,,,,,Benefice and office holding,Admissions,prebendary,,,,,,,,,
4 r - 4 r,,Parchment,Latin,24,,Cathedral Chapter;Collegiate Chapter,,,,,Benefice and office holding,Exchanges,prebends,,,,,,,,,
4 r - 4 r,,Parchment,Latin,25,,Cathedral Chapter;Collegiate Chapter,,,,,"Rites, Sacraments, Sacramentals, Ceremonies and equipment",Marriages,forbidden,,,,,,,,,
4 v - 4 v,,Parchment,Latin,26,,Cathedral Chapter;Collegiate Chapter,,certification of,,,Benefice and office holding,Exchanges,,,,,,,,,,
4 v - 4 v,,Parchment,Latin,27,,Cathedral Chapter;Collegiate Chapter,,,,,Benefice and office holding,Admissions,prebendary,,,,,,,,,
4 v - 4 v,,Parchment,Latin,28,,Cathedral Chapter;Collegiate Chapter,,,,,Benefice and office holding,Admissions,canon and prebendary,,,,,,,,,
4 v - 4 v,,Parchment,Latin,29,,Cathedral Chapter;Collegiate Chapter,,,,,Benefices,Sequestrations,,"Courts, Ecclesiastical",Causes,,,,,,,
4 v - 5 r,,Parchment,Latin,30,,Cathedral Chapter;Collegiate Chapter,,,,,Visitation,Visitations,results of,,,,,,,,,
5 r - 5 r,,Parchment,Latin,31,,Cathedral Chapter;Collegiate Chapter,,,,,Liturgy and worship,Prayers,for good weather,Liturgy and worship,Prayers,state of king,Liturgy and worship,Prayers,peace,Liturgy and worship,Prayers,state of realm
5 r - 5 r,,Parchment,Latin,32,,Cathedral Chapter;Collegiate Chapter,,,,,Liturgy and worship,Prayers,for good weather,Liturgy and worship,Prayers,state of king,Liturgy and worship,Prayers,peace,Liturgy and worship,Prayers,state of realm
5 r - 5 r,,Parchment,Latin,33,,Cathedral Chapter;Collegiate Chapter,,,,,Benefice and office holding,Admissions,canon and prebendary,,,,,,,,,
5 r - 5 v,,Parchment,Latin,34,,Cathedral Chapter;Collegiate Chapter,,confirmation of ordinances rel to,,,"Dues and offerings, Ecclesiastical",Tithes,sheaves and hay,,,,,,,,,
5 v - 5 v,,Parchment,Latin,35,,Cathedral Chapter;Collegiate Chapter,,,,,Benefice and office holding,Exchanges,,,,,,,,,,
5 v - 6 r,,Parchment,Latin,36,,Cathedral Chapter;Collegiate Chapter,,,,,"Sins, correction and forgiveness",Dispensations,canonical hours,,,,,,,,,
6 r - 6 r,,Parchment,Latin,37,,Cathedral Chapter;Collegiate Chapter,,,,,Benefice and office holding,Inductions,prebendary,,,,,,,,,
