New Folio No. ,Entry No.,Entry Part,Person - Title,Person - First name,Person - Last Name - Prefix,Person - Last Name - as written,Person -  Qualification,Person - further description,Person - place of residence - as written,Role - role in entry,Role - associated place - as written,Role - associated place - type,Occupation 1  - employment,Status 1  - office,Status 1 - associated place - as written,Status 1 - associated place - standard,Status 1 - associated place - type,Status 2 - office,Status 2 - associated place - as written,Status 2 - associated place - type,Status 3 - office,Status 3 - Place - as written,Status 3 - Place - Type,Status 4,Status 4 - place - as written,Status 4 - place - type,Status 5,Status 5 - place - as written,Status 5 - place - type,Status 6,Status 6 - place - as written,Status 6 - place - type
1,1,,,Alexander,,[Neville],,,,addressee,,,,archbishop,Ebor',,archdiocese,,,,,,,,,,,,,,,
1,1,,,Simon,,[Sudbury],,,,sender,,,,bishop,Londonien',,diocese,,,,,,,,,,,,,,,
1,1,,,[Alexander],,[Neville],,,,sender,,,,[archbishop],[York],,archdiocese,,,,,,,,,,,,,,,
1,1,,,Simon,,[Sudbury],,,,addressee,,,,London,Londonien',,diocese,,,,,,,,,,,,,,,
1,1,,,Dionisius,de,Lopham,,,,notary,,,,clerk,Norwicen',,diocese,,,,,,,,,,,,,,,
1,1,,Sir,John,de,Stoke/Stokes,,,,subject of exchange,,,,canon,Sancti Pauli London',,church,prebendary,Cadington Magna,prebend,,,,,,,,,,,,
1,1,,Sir,Reginald,de,Hillingdon,,,,subject of exchange,,,,canon,Southwell,,church,prebendary,Rampton',prebend,,,,,,,,,,,,
1,1,,Master,Simon,de,Multon?,,,,notary,,,,,,,,,,,,,,,,,,,,,,
1,1,,Master,Robert,de,Dalton,,,,notary,,,,,,,,,,,,,,,,,,,,,,
1,1,,Master,Robert,,Manfeld,,,,notary,,,,clerk,,,,notary,,,,,,,,,,,,,,
1,2,,,Alexander,,[Neville],,,,sender,,,,archbishop,Ebor',,archdiocese,,,,,,,,,,,,,,,
1,2,,,,,,,,,addressees,,,,chapter,Suth',,collegiate church,,,,,,,,,,,,,,,
1,2,,,Simon,,[Sudbury],,,,mentioned,,,,bishop,Londonien',,diocese,,,,,,,,,,,,,,,
1,2,,Sir,John,,Stoke/Stoke,,,,subject of exchange,,,,canon,Londonien',,church,prebendary,Cadington Magna,prebend,,,,,,,,,,,,
1,2,,Sir,Reginald,de,Hillingdon,,,,subject of exchange,,,,canon,Suthwell,,church,prebendary,Rampton',prebend,,,,,,,,,,,,
1,3,,,Alexander,,[Neville],,,,sender,,,,archbishop,Ebor',,archdiocese,,,,,,,,,,,,,,,
1,3,,Master,John,,Crophull,,,,addressee,,,,canon,Suthwell,,church,,,,,,,,,,,,,,,
1,3,,Sir,John,de,Stoke,,,,petitioner,,,,canon,Suth',,church,prebendary of Rampton,Rampton,prebend,,,,,,,,,,,,
1,3,,Master,William,,Retforde,,,,prebendary (former),,,,prebendary,Rampton',,prebend,,,,,,,,,,,,,,,
1,4,,,Gregory XI,,,,,,addressee,,,,Pope,,,,,,,,,,,,,,,,,,
1,4,,,Alexander,,[Neville],,,,sender,,,,archbishop,Ebor',,archdiocese,,,,,,,,,,,,,,,
1,4,,,Thomas,,[Hatfield],,,,intermediary,,,,bishop,Dunelmen',,diocese,,,,,,,,,,,,,,,
1,4,,,,,,,,,intermediary,,,,bishop,Roffen',,diocese,,,,,,,,,,,,,,,
1,4,,,Thomas,,[Hatfield],,,,addressee,,,,bishop,Dunelmen',,diocese,,,,,,,,,,,,,,,
1,4,,,William,de,Norwyco,,,,intermediary,,,,rector,"Stanehope, Dunelmen' dioc'",,parish church,,,,,,,,,,,,,,,
1,4,,,William,,Bryan,,,,intermediary,,,,clerk,Ebor',,diocese,,,,,,,,,,,,,,,
1,5,,,Alexander,,[Neville],,,,sender,,,,[archbishop],[York],,archdiocese,,,,,,,,,,,,,,,
1,5,,,,,,,,,addressee,,,,dean,beati Petri Ebor',,cathdral church,,,,,,,,,,,,,,,
