New Folio No. and Face,Position in volume,Format,Language,Entry No.,Entry Part,Section - Type,Printed,Document Notes,Editors' Notes,Condition - Conservation Survey,Subject - Main heading 1,Subject - Sub-heading 1,Subject - Sub-sub-heading 1,Subject - Main heading 2,Subject - Sub-heading 2,Subject - Sub-sub-heading 2,Subject - Main heading 3,Subject - Sub-heading 3,Subject - Sub-sub-heading 3,Subject - Main heading 4,Subject - Sub-heading 4,Subject - Sub-sub-heading 4
38 r - 38 r,,Parchment,Latin,512,,Archdeaconry of Cleveland,,,,,Benefice and office holding,Collations,chantry chaplain,,,,,,,,,
38 r - 38 r,,Parchment,Latin,513,,Archdeaconry of Cleveland,,mandate,,,Benefice and office holding,Inductions,chantry chaplain,,,,,,,,,
38 r - 38 r,,Parchment,Latin,514,,Archdeaconry of Cleveland,,,,,Benefice and office holding,Institutions,rector,,,,,,,,,
38 r - 38 r,,Parchment,Latin,515,,Archdeaconry of Cleveland,,mandate,,,Benefice and office holding,Inductions,rector,,,,,,,,,
38 r - 38 v,,Parchment,Latin,516,,Archdeaconry of Cleveland,,,,,Visitation,Visitations,clergy and people,,,,,,,,,
38 v - 38 v,,Parchment,Latin,517,,Archdeaconry of Cleveland,,,,,Benefice and office holding,Institutions,rector,,,,,,,,,
38 v - 38 v,,Parchment,Latin,518,,Archdeaconry of Cleveland,,mandate,,,Benefice and office holding,Inductions,rector,,,,,,,,,
38 v - 38 v,,Parchment,Latin,519,,Archdeaconry of Cleveland,,,,,Benefice and office holding,Non-residence,fixed term,,,,,,,,,
38 v - 38 v,,Parchment,Latin,520,,Archdeaconry of Cleveland,,,,,Benefice and office holding,Resignation,,,,,,,,,,
38 v - 38 v,,Parchment,Latin,521,,Archdeaconry of Cleveland,,,,,Benefice and office holding,Non-residence,fixed term,,,,,,,,,
38 v - 38 v,,Parchment,Latin,522,,Archdeaconry of Cleveland,,,,,Benefice and office holding,Institutions,rector,,,,,,,,,
38 v - 38 v,,Parchment,Latin,523,,Archdeaconry of Cleveland,,mandate,,,Benefice and office holding,Inductions,rector,,,,,,,,,
38 v - 39 r,,Parchment,Latin,524,,Archdeaconry of Cleveland,,,,,Benefice and office holding,Exchanges,,,,,,,,,,
39 r - 39 r,,Parchment,Latin,525,,Archdeaconry of Cleveland,,,,,Benefice and office holding,Institutions,rector,,,,,,,,,
39 r - 39 r,,Parchment,Latin,526,,Archdeaconry of Cleveland,,,,,Benefice and office holding,Institutions,rector (moiety),,,,,,,,,
39 r - 39 r,,Parchment,Latin,527,,Archdeaconry of Cleveland,,mandate,,,Benefice and office holding,Inductions,rector (moiety),,,,,,,,,
39 r - 39 r,,Parchment,Latin,528,,Archdeaconry of Cleveland,,,,,Benefice and office holding,Institutions,rector,,,,,,,,,
39 r - 39 r,,Parchment,Latin,529,,Archdeaconry of Cleveland,,,,,Benefice and office holding,Collations,rector,,,,,,,,,
39 r - 39 r,,Parchment,Latin,530,,Archdeaconry of Cleveland,,,,,Benefice and office holding,Institutions,rector,,,,,,,,,
39 r - 39 v,,Parchment,Latin,531,,Archdeaconry of Cleveland,,,,,"Sins, correction and forgiveness",Indulgences,for heretic,,,,,,,,,
39 v - 39 v,,Parchment,Latin,532,,Archdeaconry of Cleveland,,,,,Benefice and office holding,Institutions,vicar,,,,,,,,,
39 v - 39 v,,Parchment,Latin,533,,Archdeaconry of Cleveland,,mandate,,,Benefice and office holding,Inductions,vicar,,,,,,,,,
39 v - 39 v,,Parchment,Latin,534,,Archdeaconry of Cleveland,,,,,"Finance, Money, Accounts and accounting",Acquittances,procurations,,,,,,,,,
39 v - 39 v,,Parchment,Latin,535,,Archdeaconry of Cleveland,,,,,"Occupations, offices and status",Chantry priest,,"Income, revenue and profits",Revenues,chantry,,,,,,
39 v - 39 v,,Parchment,Latin,536,,Archdeaconry of Cleveland,,,,,"Councils, Convocations and Synods",Synods,licence not to attend,,,,,,,,,
39 v - 39 v,,Parchment,Latin,537,,Archdeaconry of Cleveland,,"noted 'as for Rievaulx above', but relevant entry not yet found",,,Archives and manuscripts,Leases,appropriated churches,,,,,,,,,
39 v - 39 v,,Parchment,Latin,538,,Archdeaconry of Cleveland,,,,,Liturgy and worship,Masses,"licence to celebrate, during pleasure",Liturgy and worship,Divine service,"suspension, relaxation",,,,,,
39 v - 39 v,,Parchment,Latin,539,,Archdeaconry of Cleveland,,,,,Benefice and office holding,Absence,fixed term,,,,,,,,,
39 v - 39 v,,Parchment,Latin,540,,Archdeaconry of Cleveland,,,,,Benefice and office holding,Absence,fixed term,Benefice and office holding,Absence,"synods, not to attend",,,,,,
39 v - 39 v,,Parchment,Latin,541,,Archdeaconry of Cleveland,,,,,Benefice and office holding,Absence,service,,,,,,,,,
39 v - 39 v,,Parchment,Latin,542,,Archdeaconry of Cleveland,,,,,Benefice and office holding,Absence,service,,,,,,,,,
40 r - 40 r,,Parchment,Latin,543,,Archdeaconry of Cleveland,,,,Obscured text - folds/damage,Benefice and office holding,Institutions,rector,,,,,,,,,
40 r - 40 r,,Parchment,Latin,544,,Archdeaconry of Cleveland,,mandate,,Obscured text - folds/damage,Benefice and office holding,Inductions,rector,,,,,,,,,
40 r - 40 r,,Parchment,Latin,545,,Archdeaconry of Cleveland,,"order to enquire into and certify the behaviour ('vita et conversatio') of clerk, rel to purgation",,Obscured text - folds/damage,"Sins, correction and forgiveness",Purgation,inquiries into,,,,,,,,,
