New Folio No. ,Entry No.,Entry Part,Person - Title,Person - First name,Person - Last Name - Prefix,Person - Last Name - as written,Person -  Qualification,Person - further description,Person - place of residence - as written,Role - role in entry,Role - associated place - as written,Role - associated place - type,Occupation 1  - employment,Status 1  - office,Status 1 - associated place - as written,Status 1 - associated place - standard,Status 1 - associated place - type,Status 2 - office,Status 2 - associated place - as written,Status 2 - associated place - type,Status 3 - office,Status 3 - Place - as written,Status 3 - Place - Type,Status 4,Status 4 - place - as written,Status 4 - place - type,Status 5,Status 5 - place - as written,Status 5 - place - type,Status 6,Status 6 - place - as written,Status 6 - place - type
43 v - 43 v,604,,,John,de,Percy,,senior,de Kildall,testator,,,,,,,,,,,,,,,,,,,,,,
53 v - 53 v,671,,,Patrick,de,Langdale,,,,testator,,,,,,,,,,,,,,,,,,,,,,
54 r - 54 r,674,,,John,,Chaumberleyn,,,de Beverlaco,testator,,,,,,,,,,,,,,,,,,,,,,
55 v - 55 v,699,,,John,Chamberlayn,,,,de Beverlaco,testator,,,,,,,,,,,,,,,,,,,,,,
57 r - 57 r,715,,,John,,Constable,,,de Holm in Spaldyngmore,testator,,,,,,,,,,,,,,,,,,,,,,
57 v - 57 v,717,,Sir,John,de,Meaux,,,de Bewik,testator,,,knight,,,,,,,,,,,,,,,,,,,
58 v - 58 v,729,,,Agnes,del,Cotes,,,,testatrix,,,,,,,,,,,,,,,,,,,,,,
58 v - 58 v,730,,,Thomas,del,Clay,,,de Etton',testator,,,,,,,,,,,,,,,,,,,,,,
59 r - 59 r,731,,Sir,Marmaduke,,Constable,,,,testator,,,knight,,,,,,,,,,,,,,,,,,,
59 r - 59 r,732,,Sir,Marmaduke,,Constable,,,,testator,,,knight,,,,,,,,,,,,,,,,,,,
60 v - 60 v,753,,,Thomas/Peter,de,Grymesby,,,,testator,,,,,,,,,,,,,,,,,,,,,,
62 v - 62 v,770,,,John,,Constable,,,de Frysmersk',testator,,,,,,,,,,,,,,,,,,,,,,
62 v - 62 v,771,,,John,,Constable,,,de Frysmersk',testator,,,,,,,,,,,,,,,,,,,,,,
63 r - 63 r,777,,,Roger,de,Boudon',,,,testator,,,,rector,Beford,,church,,,,,,,,,,,,,,,
63 r - 63 r,778,,,Roger,de,Boudon',,,,testator,,,,rector,Beford,,church,,,,,,,,,,,,,,,
63 r - 63 v,781,,,Richard,de,Feryby,,senior,,testator,,,,,,,,,,,,,,,,,,,,,,
63 v - 63 v,785,,,Katherine,,,,"widow of Sir William de la Pole, senior, knight",,testatrix,,,,,,,,,,,,,,,,,,,,,,
63 v - 63 v,785,,Sir,William,de la,Pole,,senior,,testatrix's late husband,,,knight,,,,,,,,,,,,,,,,,,,
64 r - 64 r,788,,Sir,William,de,Sixendale,,,,testator,,,chaplain,,,,,,,,,,,,,,,,,,,
64 v - 64 v,796,,,John,[de],Redmar/Redmer,,,,testator,,,,,,,,,,,,,,,,,,,,,,
64 v - 64 v,801,,,Joan,,Steller,,,de Kyngston' super Hull,testatrix,,,,,,,,,,,,,,,,,,,,,,
64 v - 64 v,802,,,William,,Fymer,,,,testator,,,,,,,,,,,,,,,,,,,,,,
65 r - 65 v,815,,,Thomas,,Wilton,,,de Beverlaco,testator,,,,,,,,,,,,,,,,,,,,,,
69 v - 69 v,850,,Sir,Thomas,de,Heth,,knight,,testator,,,,,,,,,,,,,,,,,,,,,,
73 v - 73 v,923,,Sir,William,de,Greyngham,,,,testator,,,,vicar,Walkryngham,,,,,,,,,,,,,,,,,
73 v - 73 v,924,,,,,,,,,addressee,,,,dean,Retteford,,,,,,,,,,,,,,,,,
73 v - 73 v,924,,Sir,William,de,Greyngham,,,,testator,,,,vicar,Walkryngham,,,,,,,,,,,,,,,,,
75 r - 75 r,940,,Sir,William,,Auncell,,,,testator,,,,perpetual vicar,Stoke iuxta Newerk,,church,,,,,,,,,,,,,,,
