Register No.,Folio No.,Folio side,Entry No.,Entry Type 1,Entry Type 2,Entry Type 3,Section Type,Folio No.,Folio side,Summary,,,,Subject 1,Subject 2,Subject 3,Subject 4,Note,Referenced By,Date (yyyy/mm/dd),Certainty,Type,Date Role,Note,Date (yyyy/mm/dd),Certainty,Type,Date Role,Note,Place as written,Place Name Authority,Place Role,Place Type,Note,As Written,Person or Group,Group Name Authority,Gender,Person Role,Descriptor,Note,As Written,Person or Group,Group Name Authority,Gender,Person Role,Descriptor,Note,Person as written,Person or Group,People Name Authority,Gender,Person Role,Descriptor,Note,Person as written,Person or Group,People Name Authority,Gender,Person Role,Descriptor,Note,Person as written,Person or Group,People Name Authority,Gender,Person Role,Descriptor,Note
Register 7,132,(verso),6,Licence,,,Archdeaconry of York,,,"Licence for Thomas de Waddesleye [Wadsley], rector of South Kilvington, priest (for non residence) to study for two years.",,,,,,,,"For a note that this entry relates to the Archdeaconry of Cleveland, see Brown, William, and A. Hamilton Thompson. (eds.). 1934. The Register of William Greenfield Lord Archbishop of York 1306-1315 Part II. Surtees Society 149, 49, note 2.","Brown, William, and A. Hamilton Thompson. (eds.). 1934. The Register of William Greenfield Lord Archbishop of York 1306-1315 Part II. Surtees Society 149, 49.",1308/04/28,certain,single,document date,,,,,,,Wylton,Bishop Wilton,place of dating,none given,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Register 7,134,(verso),4,Request,,,Archdeaconry of York,,,"Request to Roger, rector of Arksey (Arkesey), to supervise the affairs and goods of the prioress and convent of Hampole (Hanepol).",,,,Prioresses,Nuns,"Religious Houses, Female",Women,,"Brown, William, and A. Hamilton Thompson. (eds.). 1934. The Register of William Greenfield Lord Archbishop of York 1306-1315 Part II. Surtees Society 149, 52.",1308/05/03,certain,single,document date,,,,,,,Wilton,Bishop Wilton,place of dating,none given,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Register 7,134,(verso),5,Memorandum,Commission,,Archdeaconry of York,,,"Memorandum of a commission to Master Robert de Pykering [Pickering] and John de Merkyngfeld [Markenfield], to reconcile the churchyard of Adlingfleet (Athelingflet), polluted by bloodshed (commission recited, therefore two entries).",,,,,,,,,"Brown, William, and A. Hamilton Thompson. (eds.). 1934. The Register of William Greenfield Lord Archbishop of York 1306-1315 Part II. Surtees Society 149, 51, note 2.",1308/05/13,certain,single,document date,"Date in memorandum given as 3 Kal Maii (29 April), but in commission, as 3 Id Maii (13 May).",,,,,,Kirkeham,Kirkham,place of dating,none given,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Register 7,135,(recto),7,Memorandum,,,Archdeaconry of York,,,Memorandum of issue of letters of caption against Alice de Rybbestan [Ribston].,,,,,,,,See TNA: C 85/182/59.,,1308/07/20,certain,single,event date,,,,,,,Rievall',,place of event,none given,Rievaulx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Register 7,135,(recto),8,Forewarning,,,Archdeaconry of York,,,"Forewarning to the dean of Ripon of a visitation, including of the church and deanery of Ripon (details given).",,,,,,,,,"Brown, William, and A. Hamilton Thompson. (eds.). 1934. The Register of William Greenfield Lord Archbishop of York 1306-1315 Part II. Surtees Society 149, 53.",1308/07/24,certain,single,document date,,,,,,,Middelton,,place of dating,none given,Middleton by Pickering,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Register 7,136,(recto),1,,,,Archdeaconry of York,,,Blank except for endorsement.,,,,,,,,This side of the document is more properly the verso.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Register 7,136,(verso),1,Letter/s,,,Archdeaconry of York,,,"Letter of Nicholas, bishop of Ostia and Velletri [Niccolo degli Alberti de' Conti di Prato in Tuscany], containing an order to the archbishop to restrain Adam [Polet], vicar of Pontefract, for various misdeeds (details given); endorsed with a note of the addressee and the title of the sender (Ostien').",,,,,,,,"Letter on paper, an insert.","Brown, William, and A. Hamilton Thompson. (eds.). 1934. The Register of William Greenfield Lord Archbishop of York 1306-1315 Part II. Surtees Society 149, 54.",1308/08/17,uncertain,single,document date,"The date is given as 16 Kal September (17 August), but with no year, but possibly created in 1308.",,,,,,Poitiers,,place of dating,none given,Poitiers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Register 7,140,(verso),1,Absolution,,,Archdeaconry of York,,,"Letter to the prior of Nostell, containing absolution for Ralph, called the cook of Nostell, from the sentence of excommunication incurred for laying violent hands on Brother John de Dewesbiry [Dewsbury], subcellarer of Nostell, penance having been imposed upon him.",,,,,,,,,"Brown, William, and A. Hamilton Thompson. (eds.). 1934. The Register of William Greenfield Lord Archbishop of York 1306-1315 Part II. Surtees Society 149, 60-61.",1309/03/28,certain,single,document date,,,,,,,Wylton,Bishop Wilton,place of dating,none given,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Register 7,140,(verso),2,Sentence,Notarial Instrument,,Archdeaconry of York,,,"Sentence, in the form of a notarial instrument, in the cause between the prior and convent of Pontefract and Henry, vicar of Darrington, concerning tithes from the vills of Stapleton (Stepilton) and Cridling (Credeling).",,,,,,,,,"Brown, William, and A. Hamilton Thompson. (eds.). 1934. The Register of William Greenfield Lord Archbishop of York 1306-1315 Part II. Surtees Society 149, 61-64.",1309/03/22,certain,single,document date,,,,,,,Burton iuxta Beverl',Bishop Burton,place of dating,archbishop's manor,In the chapel of the archbishop's manor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Register 7,142,(recto),3,Order,,,Archdeaconry of York,142,(verso),"Order to the official of the archdeacon of York to warn the parishioners of Harewood (Harewode; Horwode) to obey Roger de Ledis (or Ledes) [Leeds], rector of Harewood and pay him their tithes and other oblations, and to warn Humphrey de Bello campo [Beauchamp] to allow the official access to the church under pain of excommunication, to be published in the deanery of the Ainsty.",,,,,,,,,"Brown, William, and A. Hamilton Thompson. (eds.). 1934. The Register of William Greenfield Lord Archbishop of York 1306-1315 Part II. Surtees Society 149, 65.",1309/07/06,certain,single,document date,,,,,,,Carlton in Linderink,Carlton in Lindrick,place of dating,none given,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
